# Mackey - Capilano Watershed - PSME - ITRDB CAN719
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/39899
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-39899.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can719-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can719.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/can719.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2024-10-18
#--------------------
# File_Last_Modified_Date
#   Date: 2024-10-18
#--------------------
# Title
#   Study_Name: Mackey - Capilano Watershed - PSME - ITRDB CAN719
#--------------------
# Investigators
#   Investigators: Mackey, Laura (https://orcid.org/0009-0008-2202-8035)
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Capilano Watershed
#   Location: Canada
#   Northernmost_Latitude: 49.357
#   Southernmost_Latitude: 49.357
#   Easternmost_Longitude: -123.113
#   Westernmost_Longitude: -123.113
#   Elevation_m: 66
#--------------------
# Data_Collection
#   Collection_Name: CAN719
#   First_Year: 1981
#   Last_Year: 2021
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## capt1c2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: capt1c2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## capt3c2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: capt3c2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## capt4c3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: capt4c3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## capt5c2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: capt5c2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	capt1c2_raw	capt3c2_raw	capt4c3_raw	capt5c2_raw
1958	NA	3.39	NA	NA
1959	NA	3.3	NA	NA
1960	NA	3.05	NA	NA
1961	NA	3.81	NA	NA
1962	NA	3.05	NA	NA
1963	NA	0.78	NA	NA
1964	NA	2.81	NA	NA
1965	NA	2.06	1.69	NA
1966	NA	2.48	1.78	NA
1967	NA	2.47	1.86	NA
1968	NA	3.58	2.12	NA
1969	NA	3.22	2.03	NA
1970	NA	2.21	2.54	NA
1971	NA	2.8	2.29	NA
1972	NA	2.8	2.54	NA
1973	NA	2.62	2.71	NA
1974	NA	2.29	3.13	NA
1975	NA	2.2	3.22	NA
1976	NA	5.16	3.64	NA
1977	NA	3.89	3.81	NA
1978	NA	2.37	3.64	NA
1979	NA	4.15	3.39	NA
1980	NA	0.7	3.9	NA
1981	NA	4.08	3.98	NA
1982	5	4.94	2.8	3.57
1983	4.91	5.33	3.13	4.59
1984	5.18	3.3	2.71	3.06
1985	3.92	2.37	2.37	2.84
1986	4.43	2.63	2.79	3.31
1987	4.16	3.13	2.54	3.13
1988	3.22	2.29	2.46	2.8
1989	3.22	2.54	2.46	2.03
1990	2.98	2.29	2.12	2.03
1991	2.96	2.21	2.03	1.44
1992	3.05	2.71	2.54	1.78
1993	2.47	2.46	2.12	1.96
1994	3.91	2.81	2.37	2.04
1995	4.34	2.72	3.22	2.2
1996	3.81	2.96	2.54	2.13
1997	4.33	3.81	2.96	2.03
1998	5.33	3.3	2.62	1.52
1999	4.06	4.23	2.2	2.12
2000	4.58	4.23	2.88	2.71
2001	3.98	3.13	2.54	2.71
2002	3.64	2.46	2.12	2.2
2003	3.64	1.78	1.78	2.12
2004	3.81	1.95	1.61	2.12
2005	3.13	2.12	1.52	2.2
2006	3.13	2.37	2.37	2.37
2007	2.37	2.12	2.03	2.12
2008	2.29	1.95	2.2	3.05
2009	2.47	1.95	1.78	2.29
2010	2.46	2.54	1.86	3.22
2011	2.46	2.71	1.7	2.37
2012	2.79	3.3	2.12	2.54
2013	2.2	2.88	1.53	2.04
2014	3.22	2.54	1.35	1.7
2015	1.36	1.52	0.93	1.28
2016	0.78	2.03	1.1	1.1
2017	1.28	1.95	0.68	1.02
2018	1.71	2.29	0.85	1.02
2019	2.57	2.97	1.1	1.86
2020	2.73	2.56	1.61	1.52
2021	1.7	1.81	1.61	1.18
2022	1.53	1.3	1.02	1.19
