# Esper - Zermatt HCZ09 - LADE - ITRDB CHE607
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42004
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42004.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che607x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che607x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che607x.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Zermatt HCZ09 - LADE - ITRDB CHE607
#--------------------
# Investigators
#   Investigators: Esper, Jan; Hartl, Claudia
#--------------------
# Description_Notes_and_Keywords
#   Description: MXD data
#--------------------
# Publication
#   Authors: Kunz, Marcel; Jan Esper; Eileen Kuhl; Lea Schneider; Ulf Büntgen; Claudia Hartl
#   Published_Date_or_Year: 2023
#   Published_Title: Combining Tree-Ring Width and Density to Separate the Effects of Climate Variation and Insect Defoliation
#   Journal_Name: Forests
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3390/f14071478
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Zermatt HCZ09
#   Location: Switzerland
#   Northernmost_Latitude: 46.004467
#   Southernmost_Latitude: 46.004467
#   Easternmost_Longitude: 7.761703
#   Westernmost_Longitude: 7.761703
#   Elevation_m: 2270
#--------------------
# Data_Collection
#   Collection_Name: CHE607
#   First_Year: 1430
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HCZ0905A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0905A
## HCZ0905B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0905B
## HCZ0907A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0907A
## HCZ0907B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0907B
## HCZ0908A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0908A
## HCZ0908B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0908B
## HCZ0910A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0910A
## HCZ0910B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0910B
## HCZ0912A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0912A
## HCZ0912B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0912B
## HCZ0913A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0913A
## HCZ0913B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0913B
## HCZ0918a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0918a
## HCZ0918B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0918B
## HCZ0919a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0919a
## HCZ0919b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0919b
## HCZ0923a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0923a
## HCZ0923b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0923b
## HCZ0924a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0924a
## HCZ0924b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0924b
## HCZ0926a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0926a
## HCZ0926B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0926B
## HCZ0927A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0927A
## HCZ0927B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: HCZ0927B
#---------------------
# Data:
# Missing_Values: NA
age_CE	HCZ0905A_raw	HCZ0905B_raw	HCZ0907A_raw	HCZ0907B_raw	HCZ0908A_raw	HCZ0908B_raw	HCZ0910A_raw	HCZ0910B_raw	HCZ0912A_raw	HCZ0912B_raw	HCZ0913A_raw	HCZ0913B_raw	HCZ0918a_raw	HCZ0918B_raw	HCZ0919a_raw	HCZ0919b_raw	HCZ0923a_raw	HCZ0923b_raw	HCZ0924a_raw	HCZ0924b_raw	HCZ0926a_raw	HCZ0926B_raw	HCZ0927A_raw	HCZ0927B_raw
1430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA	NA	NA
1431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA	NA	NA
1432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA	NA
1433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA	NA	NA
1434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA
1435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA	NA	NA
1436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA
1437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA	NA	NA
1438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA
1439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA
1440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA
1441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA
1442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA
1443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA
1444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA
1445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84	NA	NA	NA	NA	NA
1446	NA	NA	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA
1447	NA	NA	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA	NA
1448	NA	NA	0.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA
1449	NA	NA	0.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA
1450	NA	NA	0.84	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.94	NA	NA	NA	NA	NA
1451	NA	NA	0.84	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA
1452	NA	NA	1.01	0.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA
1453	NA	NA	0.87	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	NA	NA
1454	NA	NA	0.76	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	NA
1455	NA	NA	0.82	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA
1456	NA	NA	0.71	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA	NA
1457	NA	NA	0.9	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89	NA	NA	NA	NA	NA
1458	NA	NA	0.98	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA
1459	NA	NA	0.88	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA
1460	NA	NA	0.88	0.88	NA	NA	NA	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA
1461	NA	NA	0.86	0.9	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA
1462	NA	NA	0.86	0.86	NA	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	0.83	NA	NA	NA	NA	NA
1463	NA	NA	0.72	0.71	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA	NA
1464	NA	NA	0.91	0.97	NA	NA	NA	NA	NA	NA	NA	0.84	NA	NA	NA	NA	NA	NA	0.9	NA	NA	NA	NA	NA
1465	NA	NA	0.92	0.78	NA	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA	NA	NA	NA	0.66	NA	NA	NA	NA	NA
1466	NA	NA	0.77	0.79	NA	0.53	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA
1467	NA	NA	0.98	0.97	NA	0.8	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA
1468	NA	NA	0.97	0.94	NA	0.77	NA	NA	NA	NA	NA	0.88	NA	NA	NA	NA	NA	NA	0.84	NA	NA	NA	NA	NA
1469	NA	NA	0.96	0.97	NA	0.7	NA	NA	NA	NA	NA	0.89	NA	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA
1470	NA	NA	0.84	0.84	NA	0.61	NA	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA	NA	NA
