# Esper - Sotkamo Update - PISY - ITRDB FIN115
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42224
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42224.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fin115x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fin115x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fin115x.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-23
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-23
#--------------------
# Title
#   Study_Name: Esper - Sotkamo Update - PISY - ITRDB FIN115
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: MXD data
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Sotkamo
#   Location: Finland
#   Northernmost_Latitude: 64.11505
#   Southernmost_Latitude: 64.11505
#   Easternmost_Longitude: 28.341394
#   Westernmost_Longitude: 28.341394
#   Elevation_m: 150
#--------------------
# Data_Collection
#   Collection_Name: FIN115
#   First_Year: 1885
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ELS0201a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0201a
## ELS0201b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0201b
## ELS0202a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0202a
## ELS0203a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0203a
## ELS0204b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0204b
## ELS0205b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0205b
## ELS0206a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0206a
## ELS0207b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0207b
## ELS0208a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0208a
## ELS0208b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0208b
## ELS0209a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0209a
## ELS0211a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0211a
## ELS0219B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0219B
## ELS0227a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0227a
## ELS0230a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0230a
## ELS0232a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0232a
## ELS0234b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0234b
## ELS0251b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0251b
## ELS0261b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0261b
## ELS0262b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0262b
#---------------------
# Data:
# Missing_Values: NA
age_CE	ELS0201a_raw	ELS0201b_raw	ELS0202a_raw	ELS0203a_raw	ELS0204b_raw	ELS0205b_raw	ELS0206a_raw	ELS0207b_raw	ELS0208a_raw	ELS0208b_raw	ELS0209a_raw	ELS0211a_raw	ELS0219B_raw	ELS0227a_raw	ELS0230a_raw	ELS0232a_raw	ELS0234b_raw	ELS0251b_raw	ELS0261b_raw	ELS0262b_raw
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA	NA
1886	NA	NA	NA	NA	0.71	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA
1887	0.69	0.73	NA	NA	0.65	0.76	NA	NA	NA	NA	NA	NA	NA	0.52	NA	0.85	NA	NA	NA	NA
1888	0.82	0.71	NA	NA	0.68	0.75	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.78	NA	NA	NA	NA
1889	0.84	0.8	NA	0.73	0.77	0.82	NA	NA	NA	NA	NA	NA	NA	0.61	NA	0.8	NA	NA	NA	NA
1890	0.73	0.84	NA	0.85	0.78	0.74	NA	NA	NA	NA	NA	NA	NA	0.73	NA	0.87	NA	NA	NA	NA
1891	0.86	0.83	NA	0.78	0.72	0.73	NA	NA	NA	NA	NA	NA	NA	0.81	NA	0.83	NA	NA	NA	NA
1892	0.81	0.86	NA	0.89	0.78	0.68	NA	NA	NA	NA	NA	NA	NA	0.8	NA	0.81	NA	NA	NA	NA
1893	0.83	0.74	NA	0.86	0.83	0.71	NA	NA	NA	NA	NA	NA	0.8	0.73	NA	0.94	NA	NA	NA	NA
1894	0.95	0.9	NA	0.96	0.78	0.78	0.91	NA	NA	NA	NA	NA	0.82	0.82	NA	0.93	NA	NA	NA	NA
1895	0.98	0.91	NA	1	0.87	0.83	0.88	NA	NA	NA	NA	NA	0.96	0.92	NA	0.94	NA	NA	0.62	NA
1896	0.94	0.92	NA	1	0.89	0.85	1.01	NA	NA	NA	NA	NA	0.98	1.02	NA	0.96	NA	NA	0.63	NA
1897	0.97	1.03	NA	1.04	0.99	0.82	0.98	NA	NA	NA	NA	NA	0.96	0.97	NA	0.95	NA	NA	0.64	NA
1898	0.95	0.87	0.77	0.92	0.87	0.78	0.93	NA	NA	NA	NA	NA	1.01	0.91	NA	0.91	NA	NA	0.78	NA
1899	0.88	0.91	0.74	0.96	0.82	0.76	0.9	NA	NA	NA	NA	NA	0.94	0.74	NA	0.88	NA	NA	0.72	NA
1900	0.85	0.85	0.74	0.97	0.89	0.77	0.94	NA	NA	NA	NA	NA	0.84	0.89	NA	0.89	NA	NA	0.63	NA
1901	0.89	0.87	0.89	1	0.87	0.95	1.05	NA	NA	NA	NA	NA	0.89	0.89	NA	0.9	NA	NA	0.84	NA
1902	0.9	0.89	0.76	0.85	0.81	0.76	0.89	NA	NA	NA	NA	NA	0.96	0.88	NA	0.81	NA	0.69	0.63	NA
1903	0.95	0.98	0.76	0.95	0.96	0.94	0.99	NA	NA	NA	NA	NA	0.86	0.91	NA	0.9	0.71	0.68	0.69	NA
1904	0.95	0.94	0.75	0.97	0.83	0.89	0.94	NA	NA	NA	0.91	NA	0.93	0.85	NA	0.91	0.8	0.75	0.68	NA
1905	0.93	1.02	0.81	1.04	0.95	0.89	0.97	NA	NA	NA	1.01	NA	0.93	0.98	NA	0.99	0.83	0.81	0.7	NA
1906	0.79	1.03	0.8	1.09	0.92	0.9	1.06	NA	NA	NA	0.98	NA	0.97	1	NA	1.07	0.86	0.94	0.97	NA
1907	0.81	1	0.8	1.02	0.81	0.81	0.96	NA	NA	NA	0.89	NA	0.95	0.92	NA	0.92	0.86	0.89	0.81	NA
1908	0.83	1.03	0.85	1.1	0.72	0.85	1.03	NA	0.98	0.84	0.96	NA	0.92	0.94	NA	1	0.93	0.95	0.93	NA
1909	0.76	0.92	0.74	1.05	0.83	0.76	0.95	NA	0.85	0.83	0.88	NA	0.99	0.79	NA	0.88	0.92	0.88	0.67	NA
1910	0.85	1.01	0.83	1.1	0.78	0.78	1.04	NA	1	0.89	0.9	NA	0.76	0.85	NA	0.98	0.93	1	0.85	NA
1911	0.95	1.01	0.82	1.09	0.82	0.78	0.98	NA	1.06	0.88	0.84	NA	0.79	0.89	NA	1.04	0.99	0.99	0.87	NA
1912	0.92	1.02	0.85	1.1	0.76	0.86	0.96	NA	0.98	0.99	0.89	NA	0.91	0.96	0.91	0.99	0.9	0.96	0.83	NA
1913	0.95	1.03	0.94	1.14	0.98	0.93	1.08	NA	1	0.91	0.92	NA	0.82	0.95	1.02	1.06	0.98	0.98	0.96	NA
1914	0.88	0.99	0.87	1.02	0.87	0.9	0.79	NA	0.88	0.87	0.91	NA	0.99	0.89	1.03	1.05	0.94	0.81	0.87	NA
1915	0.84	1.03	0.83	1.05	0.89	0.94	0.93	NA	0.87	0.98	0.96	NA	0.78	0.86	0.96	0.99	1.08	0.79	0.78	0.69
1916	0.88	0.92	0.89	1.05	0.9	0.93	1.03	NA	0.88	0.98	0.86	NA	0.95	0.88	0.96	1	1.02	0.81	0.8	0.81
1917	0.84	1.04	0.92	1.06	0.98	1	0.94	NA	0.9	1.01	0.98	NA	0.95	0.94	0.92	1.04	1.05	0.92	0.9	0.83
1918	0.87	1.04	0.93	1.03	0.96	0.88	0.91	NA	0.92	0.99	1.02	NA	1.04	0.74	0.96	1.04	1.04	0.91	0.92	0.87
1919	0.92	1.03	0.92	1.11	0.91	0.95	0.94	NA	0.88	0.91	0.9	NA	0.97	0.89	1.02	1.02	1.1	0.87	0.91	0.92
1920	1.02	1.03	0.99	1.1	0.98	0.99	1.04	NA	0.95	0.99	0.97	NA	1.02	1.01	1.03	1.08	1.15	0.96	0.93	1.05
1921	1.04	1.05	0.87	1.09	0.89	0.96	0.91	NA	0.93	1	0.9	NA	1.05	0.94	1.06	1.07	1.06	0.88	0.97	1.02
