# Zumbrunn - Domat-Ems mitte - PCAB - ITRDB CHE508
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41762
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41762.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che508-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che508.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che508.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Domat-Ems mitte - PCAB - ITRDB CHE508
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Domat-Ems mitte
#   Location: Switzerland
#   Northernmost_Latitude: 46.8048829
#   Southernmost_Latitude: 46.8048829
#   Easternmost_Longitude: 9.4354123
#   Westernmost_Longitude: 9.4354123
#   Elevation_m: 1230
#--------------------
# Data_Collection
#   Collection_Name: CHE508
#   First_Year: 1884
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DMS01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS23A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS23A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS24A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS24A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS25A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS25A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS26A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS26A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DMS27A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DMS27A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DMS01A_raw	DMS02A_raw	DMS04A_raw	DMS05A_raw	DMS09A_raw	DMS10A_raw	DMS11A_raw	DMS12A_raw	DMS14A_raw	DMS20A_raw	DMS23A_raw	DMS24A_raw	DMS25A_raw	DMS26A_raw	DMS27A_raw
1884	NA	NA	NA	3.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1885	NA	NA	NA	3.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1886	NA	NA	NA	3.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1887	NA	NA	NA	3.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1888	NA	NA	NA	2.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1889	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1890	NA	NA	NA	2.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1891	NA	NA	NA	3.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1892	NA	NA	NA	3.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1893	NA	NA	NA	3.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1894	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.93	NA
1895	NA	NA	NA	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.13	NA
1896	NA	NA	NA	2.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.74	NA
1897	NA	NA	NA	2.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.96	NA
1898	NA	NA	NA	3.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.31	NA
1899	NA	NA	NA	2.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.29	NA
1900	NA	NA	NA	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.29	NA
1901	NA	NA	NA	2.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.24	NA
1902	NA	NA	NA	1.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.92	NA
1903	NA	NA	NA	1.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.38	NA
1904	NA	NA	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.42	NA
1905	NA	NA	NA	1.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.72	NA
1906	NA	NA	NA	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5	NA
1907	NA	NA	1.16	1.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.14	5.1
1908	NA	NA	1.5	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.67	4.4
1909	NA	NA	1.47	1.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.96	5.27
1910	NA	NA	1.67	1.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.33	5.4
1911	NA	NA	1.63	1.6	NA	NA	NA	NA	NA	NA	1.02	NA	NA	5.07	4.81
1912	NA	NA	1.49	1.54	NA	NA	NA	NA	NA	NA	0.55	NA	NA	3.75	4.54
1913	NA	NA	2.23	1.48	NA	NA	NA	NA	NA	NA	1.65	NA	NA	4.39	5.12
1914	NA	NA	2.28	1.21	NA	NA	NA	NA	NA	NA	2.49	NA	NA	4.96	4.4
1915	NA	NA	2.55	1.43	NA	NA	NA	NA	NA	NA	3.29	NA	NA	4.91	5.49
1916	NA	NA	2.36	1.24	NA	NA	NA	NA	NA	NA	3.51	NA	NA	5.05	5.21
1917	NA	NA	2.49	1.15	NA	NA	NA	NA	NA	NA	3.85	3.83	NA	4.88	4.41
1918	NA	NA	2.7	1.3	NA	NA	NA	NA	NA	NA	3.27	4.93	NA	4.14	3.95
1919	NA	NA	1.82	2.2	NA	1.07	NA	NA	NA	3.4	3.63	3.68	NA	4.41	3.69
1920	NA	NA	1.99	1.95	NA	0.62	NA	0.83	1.34	3.41	4.23	3.9	NA	4.48	3.52
1921	NA	NA	2.22	3.17	NA	1.08	NA	0.53	0.42	3.75	4.41	3.96	NA	3.59	3.59
1922	NA	NA	2.53	2.68	NA	1.98	NA	2.59	1.77	3.57	5.03	3.47	NA	3.1	3.2
1923	NA	NA	1.96	2.72	3.06	2.65	NA	3.1	2.14	3.15	3.8	4.8	NA	2.66	2.66
1924	NA	NA	2.32	2.34	2.68	3.1	NA	4.72	2.02	4.21	3.82	5.48	NA	3.59	3.88
1925	NA	NA	2.67	2.19	2.85	3.37	NA	5.65	2.53	3.32	3.41	4.51	NA	3.2	3.8
1926	NA	0.66	2.92	2.25	3.73	3.65	NA	4.8	3.39	3.58	3.49	4.11	NA	3.52	3.37
1927	NA	0.39	3.56	2.66	3.72	4.28	3.85	4.95	3.15	3.66	2.29	4.55	NA	3.09	3.17
1928	NA	1.79	3.46	3.06	3.15	4.13	3.91	4.5	2.57	3.27	3.74	4.4	4.41	3.37	3.11
1929	NA	2.9	3.53	2.86	3.39	5.17	4.02	5.58	4.1	3.66	3.65	4.36	4.49	4.06	2.98
1930	NA	3.61	2.42	2.58	3.28	4.62	3.24	4.77	3.27	2.99	3.36	3.87	3.56	3.18	2.92
1931	NA	4.45	2.94	2.55	4.99	6.62	4.1	5.41	4.06	3.55	4.2	4.68	3.51	3.22	3.21
1932	NA	4.3	2.73	3.48	4.68	5.39	4.27	4.85	3.71	3.28	3.57	4.67	3.8	2.78	3.06
1933	NA	4.07	2.98	2.89	4.02	5.49	4.01	4.39	3.66	3.12	3.47	4.51	3.4	2.28	3.05
1934	NA	4.44	2.71	3.23	4.67	8.13	4.53	5.34	4.19	3.49	4.17	5.19	3.51	2.68	3.51
1935	NA	3.03	2.76	2.95	4.16	6.69	3.81	4.49	3.48	2.77	4.29	4.17	3.46	2.22	3.83
1936	NA	4.14	3.01	2.66	5.07	7.72	3.44	4.2	3.8	2.5	4.33	4.21	3.36	2.14	3.3
1937	NA	3.93	2.67	2.73	4.97	5.36	3.56	3.8	3.98	1.83	3.89	3.9	3.25	2.33	3.47
1938	NA	4.47	2.54	2.71	5.45	5.27	3.46	3.58	3.62	2.35	4.3	3.81	2.02	2.44	3.69
1939	NA	4.71	2.52	2.99	5.48	4.92	3.08	4.24	3.58	2.13	3.62	4.08	1.4	2.46	3.49
1940	NA	4.59	3.01	3.21	5.73	4.9	3.67	5.26	4.16	2.85	3.72	4.16	2.04	3.21	4.4
