# Zumbrunn - Felsberg unten - PCAB - ITRDB CHE506
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41760
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41760.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che506-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che506.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che506.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Felsberg unten - PCAB - ITRDB CHE506
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Felsberg unten
#   Location: Switzerland
#   Northernmost_Latitude: 46.8542542
#   Southernmost_Latitude: 46.8542542
#   Easternmost_Longitude: 9.483888
#   Westernmost_Longitude: 9.483888
#   Elevation_m: 720
#--------------------
# Data_Collection
#   Collection_Name: CHE506
#   First_Year: 1917
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FUS01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS23A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS23A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS24A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS24A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS28A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS28A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS29A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS29A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS30A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS30A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUS31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUS31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FUS01A_raw	FUS07A_raw	FUS10A_raw	FUS12A_raw	FUS13A_raw	FUS15A_raw	FUS16A_raw	FUS17A_raw	FUS18A_raw	FUS23A_raw	FUS24A_raw	FUS28A_raw	FUS29A_raw	FUS30A_raw	FUS31A_raw
1917	NA	NA	NA	NA	NA	NA	NA	NA	1.52	NA	NA	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	NA	NA	0.73	1.64	NA	NA	NA	NA	NA	NA
1919	NA	NA	NA	NA	NA	NA	NA	0.09	1.57	NA	NA	NA	NA	NA	NA
1920	NA	NA	NA	NA	NA	NA	NA	0.24	1.61	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	NA	NA	0.38	1.4	NA	NA	NA	NA	NA	NA
1922	NA	NA	NA	2.02	NA	NA	NA	0.38	1.77	NA	NA	NA	NA	NA	NA
1923	NA	NA	NA	1.43	NA	NA	NA	0.55	1.62	NA	NA	NA	NA	NA	NA
1924	NA	NA	NA	0.65	NA	NA	NA	0.78	2.05	NA	NA	NA	NA	NA	NA
1925	NA	NA	NA	1.21	NA	NA	NA	2.16	3.05	NA	NA	NA	NA	NA	NA
1926	NA	NA	NA	1.51	NA	NA	NA	3.27	4.49	NA	NA	NA	NA	NA	NA
1927	NA	NA	NA	1.83	NA	NA	NA	2.78	4.67	NA	NA	NA	NA	NA	NA
1928	NA	NA	NA	1.89	NA	NA	NA	1.07	4.72	NA	NA	NA	NA	NA	NA
1929	NA	NA	NA	2.06	2.76	NA	NA	1.51	5.57	NA	NA	NA	NA	NA	NA
1930	NA	NA	NA	2.53	2.79	NA	NA	1.17	5.08	NA	NA	NA	NA	NA	NA
1931	NA	NA	NA	1.74	2.9	NA	NA	1.91	5.92	NA	NA	NA	NA	NA	NA
1932	NA	NA	NA	2.21	2.4	6.92	NA	2.85	5.5	NA	NA	NA	NA	NA	NA
1933	NA	NA	NA	2.22	3.09	6.89	NA	3.34	5.72	NA	NA	NA	NA	NA	NA
1934	1.31	NA	2.74	2.19	2.77	8.4	NA	2.61	5.28	NA	NA	NA	NA	2.43	NA
1935	1.85	NA	2.3	2.39	3.18	6.63	3.33	2.1	4.7	NA	NA	NA	NA	2.28	NA
1936	2.1	NA	3.1	2.62	3.83	7.76	3.6	2.23	5.87	NA	NA	NA	NA	3.15	NA
1937	1.36	NA	2.14	2.2	3.05	6.74	3.02	1.66	4.59	NA	NA	NA	NA	2.28	NA
1938	1.81	NA	2.57	2.99	3.55	6.14	3.21	2.73	4.53	2.61	NA	NA	NA	2.11	3
1939	1.78	NA	2.89	3.07	3.56	5.12	3.08	2.31	4.22	2.61	NA	NA	NA	2.18	2.66
1940	1.95	NA	2.48	2.4	3.42	5.92	3.26	2.32	4.47	1.62	NA	NA	NA	2.63	3.33
1941	1.75	NA	2.49	2.11	3.2	6.47	2.79	2.21	3.87	1.69	NA	NA	NA	2.5	3.19
1942	2.65	NA	2.32	2.47	3.21	5.57	3.44	3.01	2.83	2.04	NA	NA	0.82	2.53	3.21
1943	2.26	NA	1.08	2.17	3.28	4.67	3.05	2.2	3.12	1.97	NA	NA	0.86	2.37	2.61
1944	1.44	NA	2.05	1.43	1.98	4.52	2.43	2.44	3.53	1.62	NA	NA	1.57	2.93	2.07
1945	2.79	NA	2.18	1.7	2.48	3.94	3.08	2.86	3.04	2.09	NA	NA	2.27	4.26	1.61
1946	2.43	NA	1.04	2.22	3.04	4.11	2.79	3.43	3.52	1.75	3.68	NA	1.93	3.56	1.81
1947	2.15	NA	1.12	2.2	2.54	3.08	2.39	2.93	2.8	1.58	2.58	NA	1.77	3.68	1.55
1948	2.34	NA	1.81	1.96	2.36	1.45	1.85	2.93	2.66	1.22	2.43	NA	1.78	3.24	0.75
1949	2.44	1.71	3.19	1.78	2.6	1.6	2.06	2.49	2.05	1.38	2.86	1.37	2.08	4.03	1.48
1950	2.02	0.61	2.51	1.62	2.59	1.86	2.28	2.89	3.03	1.31	2.6	1.7	2.19	3.48	1.62
1951	2.25	1.8	2.03	1.6	3.01	1.43	2.28	2.99	2.52	1.48	2.9	1.96	2.6	3.77	1.9
1952	1.89	1.45	2.13	1.47	2.21	1.58	1.36	2.67	2.26	1.13	2.8	2.17	2.36	3.21	1.41
1953	1.97	2.39	1.85	1.56	2.88	1.81	1.19	2.9	2.71	1.28	3.23	2.32	3.62	3.92	1.47
1954	3	2.35	2.34	1.87	3.99	2.25	1.27	3.01	2.54	1.91	3.39	2.79	3.33	4.48	1.62
1955	2.33	2.53	2.68	1.99	3.65	2.65	1.92	3.57	2.66	2.2	2.82	3.31	3.38	3.77	1.57
1956	2.98	2.57	2.77	1.93	4.36	2.91	2.17	4.9	2.82	1.91	2.79	2.83	3.78	2.97	2.26
1957	3.42	3.56	2.83	1.35	4.2	2.65	2.38	5.75	3.14	2.06	3.94	3.24	3.71	3.65	3.84
1958	4.15	4.51	3.58	2.99	3.52	2.52	3.33	6.04	3.34	1.89	3.42	4.52	4.33	4.1	4.84
1959	4.62	3.47	2.44	4.12	4.28	3.01	4.34	4.85	4.11	1.78	4.59	3.85	3.92	3.7	6.04
1960	3.3	3.53	2.46	3.99	3.01	2.33	2.4	3.16	3.64	1.3	3.25	2.49	3.61	2.93	4.27
1961	3.8	3.19	2.76	3.85	4.55	2.91	2.91	4.87	3.52	1.03	4.46	5.26	5.11	3.76	4.74
1962	3.34	2.04	1.8	2.69	3.08	2.24	2.28	2.21	2.54	0.89	2.92	2.8	3.34	2.64	3.21
1963	3.25	2.53	2.07	2.93	2.7	3.18	3.3	3.3	1.56	0.84	3.34	3.27	4.18	3.08	3.36
1964	2.64	2.02	1.84	1.99	2.07	1.78	2.03	3.62	1.4	0.74	2.57	2.4	3.39	2.28	2.48
1965	3.81	1.8	2.19	2.61	3.09	2.42	2.69	3.78	1.68	0.91	3.3	3.91	4.73	3	3.08
1966	3.88	2.9	2.95	3.06	3.5	2.89	5.19	4.2	2.07	1.37	4.28	5.01	5.42	4.99	4.38
1967	3.75	2.88	2.64	3.4	3.84	3.39	5.11	7.49	2.91	1.6	5.74	4.71	4.18	5.05	4.28
1968	3.53	3.22	2.34	3.89	3.26	3.62	4.62	5.67	2.99	1.57	3.69	5.45	3.09	3.76	4.62
1969	3.03	4.93	2.57	3.95	3.53	3.91	4.91	5.01	3.34	3.49	4.48	4.45	4.35	4.33	5.63
1970	2.54	3.12	1.99	2.81	2.3	2.7	3.17	2.76	2.87	3.37	6.39	4.92	3.09	3.27	4.33
