# Weber - REM - QUPE - ITRDB CHE593
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41847
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41847.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che593-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che593.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che593.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Weber - REM - QUPE - ITRDB CHE593
#--------------------
# Investigators
#   Investigators: Weber, Pascale; Lévesque, Mathieu; Walthert, Lorenz; Heiri, Caroline; Trotsiuk, Volodymyr; Sanders,Tanja
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Lorenz Walthert; Pascale Weber
#   Published_Date_or_Year: 2016
#   Published_Title: Soil nutrients influence growth response of temperate tree species to drought
#   Journal_Name: Journal of Ecology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/1365-2745.12519
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Weber, Pascale; Caroline Heiri; Mathieu Lévesque; Tanja Sanders; Volodymyr Trotsiuk; Lorenz Walthert
#   Published_Date_or_Year: 2015
#   Published_Title: Zuwachs und Klimasensitivität von Baumarten im Ökogramm der kollinen und submontanen Stufe
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3188/szf.2015.0380
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: REM
#   Location: Switzerland
#   Northernmost_Latitude: 47.51713
#   Southernmost_Latitude: 47.51713
#   Easternmost_Longitude: 8.1513889
#   Westernmost_Longitude: 8.1513889
#   Elevation_m: 595
#--------------------
# Data_Collection
#   Collection_Name: CHE593
#   First_Year: 1894
#   Last_Year: 2008
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus petraea (Matt.) Liebl. = Quercus sessiliflora Salisb.
#   Common_Name: durmast oak
#   Tree_Species_Code: QUPE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## REM01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## REM10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: REM10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	REM01a_raw	REM02a_raw	REM03a_raw	REM04a_raw	REM05a_raw	REM06a_raw	REM07a_raw	REM08a_raw	REM09a_raw	REM10a_raw
1962	0.55	0.47	0.54	0.46	0.59	0.56	0.34	0.71	0.47	0.33
1963	0.41	0.62	0.61	0.46	1.06	0.68	0.49	0.92	0.66	0.42
1964	0.39	0.55	0.46	0.35	0.85	0.59	0.41	0.54	0.48	0.4
1965	0.3	0.5	0.47	0.41	0.74	0.4	0.32	0.65	0.39	0.29
1966	0.46	0.39	0.45	0.34	0.74	0.39	0.33	0.44	0.3	0.28
1967	0.39	0.65	0.47	0.42	0.95	0.6	0.33	0.62	0.57	0.32
1968	0.32	0.53	0.46	0.31	0.71	0.44	0.35	0.52	0.37	0.28
1969	0.71	0.8	0.57	0.54	1.26	0.81	0.49	1.07	0.6	0.4
1970	0.4	0.46	0.55	0.39	0.65	0.56	0.38	0.53	0.43	0.32
1971	0.58	0.59	0.62	0.56	0.85	0.71	0.32	0.71	0.46	0.35
1972	0.61	0.66	1.11	0.48	1.16	0.89	0.77	1.1	0.55	0.8
1973	0.5	0.6	0.76	0.6	0.92	0.73	0.37	0.85	0.56	0.55
1974	0.49	0.41	0.7	0.42	0.75	0.65	0.34	0.83	0.47	0.76
1975	0.64	0.77	1.1	0.62	1.72	1.11	0.74	1.38	0.75	1.49
1976	0.39	0.44	0.69	0.42	0.73	0.67	0.4	0.69	0.41	0.51
1977	0.35	0.47	0.67	0.39	0.85	0.56	0.54	0.82	0.52	0.75
1978	0.36	0.52	0.6	0.36	0.84	0.6	0.54	0.69	0.31	0.54
1979	0.46	0.46	0.61	0.36	0.7	0.59	0.45	0.67	0.38	0.56
1980	0.45	0.63	0.84	0.43	1.53	0.54	0.64	0.99	0.55	1.01
1981	0.38	0.37	0.55	0.32	0.82	0.52	0.27	0.55	0.34	0.42
1982	0.47	0.55	0.92	0.39	0.96	1.01	0.59	1.11	0.62	0.79
1983	0.31	0.56	0.87	0.29	0.93	0.95	0.52	0.93	0.48	0.52
1984	0.32	0.41	0.54	0.26	0.55	0.44	0.38	0.79	0.28	0.35
1985	0.28	0.51	0.88	0.34	0.86	0.6	0.54	0.8	0.48	0.54
1986	0.39	0.5	0.64	0.28	0.85	0.53	0.57	0.78	0.4	0.39
1987	0.39	0.61	0.77	0.43	1.05	0.79	0.73	0.63	0.57	0.73
1988	0.34	0.52	0.47	0.26	0.69	0.43	0.36	0.43	0.4	0.5
1989	0.37	0.43	0.51	0.32	0.58	0.27	0.35	0.45	0.33	0.37
1990	0.42	0.63	0.94	0.42	1.44	0.7	0.61	0.86	0.47	0.55
1991	0.37	0.57	0.78	0.36	1.03	0.52	0.4	0.63	0.46	0.49
1992	0.23	0.42	0.53	0.27	0.7	0.3	0.29	0.54	0.44	0.36
1993	0.31	0.57	0.85	0.25	0.87	0.49	0.45	0.67	0.51	0.47
1994	0.3	0.56	1	0.25	1.22	0.54	0.62	0.73	0.46	0.65
1995	0.43	0.57	0.95	0.31	1.14	0.6	0.65	0.79	0.44	0.54
1996	0.37	0.54	0.94	0.32	0.78	0.49	0.51	0.56	0.45	0.58
1997	0.32	0.53	0.85	0.26	0.98	0.45	0.48	0.51	0.42	0.45
1998	0.3	0.39	0.73	0.25	0.65	0.41	0.42	0.49	0.22	0.48
1999	0.32	0.7	1.45	0.26	1.13	0.64	0.54	0.74	0.36	0.74
2000	0.22	0.49	0.74	0.19	0.7	0.48	0.31	0.5	0.24	0.54
2001	0.42	0.71	1.02	0.37	1.06	0.76	0.57	0.63	0.3	0.61
2002	0.24	0.57	0.65	0.26	0.77	0.47	0.53	0.52	0.27	0.44
2003	0.33	0.42	0.56	0.28	0.62	0.47	0.42	0.4	0.22	0.39
2004	0.3	0.51	0.46	0.24	0.65	0.45	0.63	0.39	0.21	0.29
2005	0.4	0.43	0.42	0.31	0.7	0.34	0.47	0.33	0.21	0.39
2006	0.3	0.57	0.57	0.36	0.91	0.6	0.62	0.43	0.28	0.34
2007	0.36	0.74	0.42	0.29	1.1	0.45	0.55	0.48	0.13	0.51
2008	0.28	0.46	0.59	0.32	0.6	0.53	0.46	0.54	0.25	0.47
