# Scherrer - S-chalun, Engiadina Bassa - ABAL - ITRDB CHE478
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41290
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41290.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che478-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che478.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che478.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Scherrer - S-chalun, Engiadina Bassa - ABAL - ITRDB CHE478
#--------------------
# Investigators
#   Investigators: Scherrer, Judith; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Scherrer J. 2024. Das Potenzial der Weisstanne im Unterengadin. Master’s thesis. ETH Zurich, Zurich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: S-chalun, Engiadina Bassa
#   Location: Switzerland
#   Northernmost_Latitude: 46.93838879
#   Southernmost_Latitude: 46.93838879
#   Easternmost_Longitude: 10.47942407
#   Westernmost_Longitude: 10.47942407
#   Elevation_m: 1255
#--------------------
# Data_Collection
#   Collection_Name: CHE478
#   First_Year: 1834
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SC00T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC00T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC01T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC01T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC02T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC02T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC03T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC03T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC04T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC04T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC05T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC05T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC06T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC06T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC07T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC07T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC08T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC08T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC11T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC11T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC12T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC12T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC13T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC13T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC14T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC14T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC15T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC15T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SC00T_01_raw	SC01T_01_raw	SC02T_01_raw	SC03T_01_raw	SC04T_01_raw	SC05T_01_raw	SC06T_01_raw	SC07T_01_raw	SC08T_01_raw	SC11T_01_raw	SC12T_01_raw	SC13T_01_raw	SC14T_01_raw	SC15T_01_raw
1834	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1835	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1836	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1837	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1838	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	1.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	1.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	1.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1844	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1845	1.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	2.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1847	2.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1848	2.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1849	1.91	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA
1850	1.56	NA	NA	NA	NA	NA	NA	NA	1.03	NA	NA	NA	NA	NA
1851	1.83	NA	NA	NA	NA	NA	NA	NA	1.01	NA	NA	NA	NA	1.6
1852	1.77	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA	2.02
1853	2.11	NA	NA	NA	NA	NA	NA	NA	0.96	NA	NA	NA	NA	2.16
1854	1.96	NA	NA	NA	NA	NA	NA	NA	0.59	NA	NA	NA	NA	1.59
1855	1.89	NA	NA	NA	NA	NA	NA	NA	0.41	NA	NA	NA	NA	1.64
1856	2.08	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	1.63
1857	1.26	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	NA	NA	1.29
1858	1.85	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA	NA	1.16
1859	1.86	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	1.32
1860	1.92	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA	1.29
1861	1.17	NA	NA	NA	NA	NA	NA	NA	1.07	NA	NA	NA	NA	2.08
1862	1.66	NA	NA	NA	NA	NA	NA	NA	1.89	NA	NA	NA	NA	2.17
1863	1.84	NA	NA	NA	NA	NA	NA	NA	3.22	NA	NA	NA	NA	2.16
1864	2.1	NA	NA	NA	NA	NA	NA	NA	3.94	NA	NA	NA	NA	1.63
1865	1.68	NA	NA	NA	NA	NA	NA	NA	4.08	NA	NA	NA	NA	0.65
1866	2.1	NA	NA	NA	NA	NA	NA	NA	4.21	NA	NA	NA	NA	1.3
1867	1.74	NA	2.7	NA	NA	NA	4.58	NA	3.27	NA	NA	NA	NA	1.27
1868	1.61	NA	1.93	NA	NA	NA	3.48	NA	2	NA	NA	NA	NA	0.82
1869	1.53	NA	2.6	NA	NA	NA	3.65	NA	2.13	NA	NA	NA	NA	0.62
1870	1.46	NA	2.37	NA	NA	NA	3	NA	2.08	NA	NA	NA	NA	0.44
1871	2.13	NA	2.03	NA	NA	NA	3.13	NA	2.47	NA	NA	NA	NA	0.75
1872	1.6	1.55	1.53	NA	NA	NA	2.13	NA	2.34	NA	NA	NA	NA	0.39
1873	1.83	2.17	2.02	NA	NA	NA	2.76	NA	2.71	NA	NA	NA	NA	0.62
1874	1.8	1.57	2.12	NA	NA	NA	2.3	NA	2.37	NA	NA	NA	NA	0.45
1875	1.99	1.57	1.78	NA	NA	NA	2.24	NA	2.47	NA	NA	NA	NA	0.33
1876	1.95	1.8	1.89	NA	NA	NA	2.1	NA	2.66	NA	NA	NA	NA	0.33
1877	1.83	2.1	1.71	NA	NA	NA	1.7	NA	2.42	NA	NA	NA	NA	0.38
1878	1.46	1.7	1.65	NA	NA	NA	1.75	NA	2.29	NA	NA	NA	NA	0.36
1879	1.52	2.2	1.51	NA	NA	NA	1.85	NA	2.5	NA	NA	NA	NA	0.43
1880	1.77	2.01	0.42	NA	NA	NA	1.9	NA	2.82	NA	NA	NA	NA	0.41
1881	1.61	1.91	0.94	NA	NA	NA	2.25	NA	2.01	NA	NA	NA	NA	0.42
1882	1.66	1.65	1.89	NA	NA	NA	1.67	NA	1.74	NA	NA	NA	NA	0.47
1883	2.09	1.94	2.52	NA	NA	NA	1.12	NA	1.72	NA	NA	1.1	NA	0.66
1884	1.57	1.83	2.38	NA	NA	NA	1.36	NA	1.81	NA	NA	0.67	NA	0.42
1885	0.79	1.21	2.18	NA	NA	NA	0.82	NA	0.84	NA	NA	0.54	NA	0.25
1886	1.67	1.51	2.63	NA	NA	NA	1.45	NA	1.17	NA	NA	0.75	NA	0.41
1887	0.97	1.28	2	NA	NA	NA	1.1	1.78	0.5	NA	NA	0.44	NA	0.27
1888	1.23	1.23	1.97	1.01	NA	NA	1.38	1.68	0.65	NA	NA	0.48	NA	0.34
1889	1.3	1.52	2.72	1.19	NA	NA	1.57	1.54	0.52	NA	NA	0.55	NA	0.34
1890	1.67	1.77	3.2	1.36	NA	NA	1.79	1.79	0.62	NA	NA	0.55	0.08	0.43
1891	1.41	1.56	2.27	1.14	NA	NA	1.82	1.54	0.49	NA	NA	0.55	0.12	0.35
1892	1.44	1.43	2.47	1.35	NA	NA	1.88	1.2	0.59	NA	NA	0.51	0.1	0.3
1893	0.91	1.42	2.27	1.44	NA	NA	1.31	0.8	0.28	NA	NA	0.45	0.08	0.2
1894	1.57	1.57	2.45	1.63	NA	NA	1.52	1.13	0.42	NA	NA	0.36	0.06	0.24
1895	1.63	1.81	2.43	1.68	NA	NA	1.49	0.96	0.45	NA	NA	0.61	0.06	0.37
