# Zumbrunn - Felsberg unten - LADE - ITRDB CHE543
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41797
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41797.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che543-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che543.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che543.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Felsberg unten - LADE - ITRDB CHE543
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Felsberg unten
#   Location: Switzerland
#   Northernmost_Latitude: 46.8542542
#   Southernmost_Latitude: 46.8542542
#   Easternmost_Longitude: 9.483888
#   Westernmost_Longitude: 9.483888
#   Elevation_m: 720
#--------------------
# Data_Collection
#   Collection_Name: CHE543
#   First_Year: 1825
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FUL02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL21A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL21A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUL23A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUL23A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FUL02A_raw	FUL03A_raw	FUL04A_raw	FUL07A_raw	FUL10A_raw	FUL11A_raw	FUL12A_raw	FUL13A_raw	FUL16A_raw	FUL18A_raw	FUL20A_raw	FUL21A_raw	FUL23A_raw
1825	NA	NA	NA	NA	NA	2.55	NA	NA	NA	NA	NA	NA	NA
1826	NA	NA	NA	NA	NA	1.77	NA	NA	NA	NA	NA	NA	NA
1827	NA	NA	NA	NA	NA	1.44	NA	NA	NA	NA	NA	NA	NA
1828	NA	NA	NA	NA	NA	1.84	NA	NA	NA	NA	NA	NA	NA
1829	NA	NA	NA	NA	NA	1.37	NA	NA	NA	NA	NA	NA	NA
1830	NA	NA	NA	NA	NA	1.69	NA	NA	NA	NA	NA	NA	NA
1831	NA	NA	NA	NA	NA	2.02	NA	NA	NA	NA	NA	NA	NA
1832	NA	NA	NA	NA	NA	2.26	NA	NA	NA	NA	NA	NA	NA
1833	NA	NA	NA	NA	NA	1.75	NA	NA	NA	NA	NA	NA	NA
1834	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA
1835	NA	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA	NA	NA
1836	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA
1837	NA	NA	NA	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA
1838	NA	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA	NA
1839	NA	NA	NA	NA	NA	0.84	NA	NA	NA	NA	NA	NA	NA
1840	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	0.3
1841	NA	NA	NA	NA	NA	2.02	NA	NA	NA	NA	NA	NA	0.89
1842	NA	NA	NA	NA	NA	1.29	NA	NA	NA	NA	NA	NA	0.98
1843	NA	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA	0.9
1844	NA	NA	NA	NA	NA	1.38	NA	NA	NA	NA	NA	NA	0.9
1845	NA	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA	NA	1.05
1846	NA	NA	NA	NA	NA	1.22	NA	NA	NA	NA	NA	NA	0.97
1847	NA	NA	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA	0.89
1848	NA	NA	NA	NA	NA	1.72	NA	NA	NA	NA	NA	NA	3.06
1849	NA	NA	NA	NA	NA	2.15	NA	NA	NA	NA	NA	NA	2.73
1850	NA	NA	NA	NA	NA	2.45	4.04	NA	NA	NA	NA	NA	4.06
1851	2.16	NA	NA	NA	NA	2.41	3.34	NA	NA	NA	NA	NA	3.55
1852	1.48	NA	NA	NA	NA	1.99	2.29	NA	NA	NA	NA	NA	1.46
1853	1.83	NA	NA	NA	NA	1.9	3.12	NA	NA	NA	NA	NA	2.28
1854	2.49	NA	NA	NA	NA	1.98	3.35	NA	NA	NA	NA	NA	3.69
1855	1.9	NA	NA	NA	NA	2.14	2.96	NA	NA	NA	NA	NA	2.02
1856	2.29	NA	NA	NA	NA	2.33	2.99	3.27	NA	NA	NA	NA	3.48
1857	2.21	NA	NA	NA	NA	2.28	2.08	2.83	NA	NA	NA	NA	2.13
1858	2.5	NA	NA	NA	NA	1.3	1.96	2.68	NA	NA	NA	NA	2.04
1859	1	NA	NA	NA	NA	0.94	1.76	2.39	NA	NA	NA	NA	2
1860	1.38	NA	NA	2.5	NA	1.21	2	2.81	NA	NA	NA	NA	2.2
1861	2.17	NA	NA	5.36	NA	1.04	2.17	2.92	NA	NA	NA	NA	2.66
1862	1.96	2.68	NA	4.68	NA	1.67	2.33	2.81	NA	NA	NA	NA	2.52
1863	2.82	2.68	NA	4.18	NA	1.73	2.5	3.56	NA	NA	NA	NA	3.75
1864	1.89	1.7	NA	3.34	NA	1.55	2.48	3.61	NA	NA	NA	4.27	3.73
1865	2.15	1.79	NA	2.71	NA	1.52	1.78	2.45	NA	NA	NA	4.36	2.54
1866	1.69	0.75	NA	2.97	NA	0.98	1.31	2.84	NA	NA	NA	3.66	2.13
1867	1.52	1.18	NA	2.93	NA	1.23	1.82	2.48	NA	NA	5.01	4.53	3.27
1868	1.53	2.07	NA	3.11	NA	1.3	1.75	2.61	NA	0.87	5.33	4.11	3.05
1869	0.7	1.02	NA	1.93	NA	0.64	1.02	1.95	NA	0.14	3.19	2.1	1.53
1870	0.27	0.24	NA	0.42	NA	0.22	0.16	0.79	NA	0.47	0.85	0.37	0.61
1871	0.8	1.23	NA	1.2	NA	0.42	0.87	1.59	NA	1.12	2.56	1.09	1.46
1872	1.35	1.47	NA	2.33	NA	0.62	1.54	1.77	2.84	1.43	2.9	2.46	2.17
1873	1.36	1.56	NA	2.48	NA	0.7	1.38	1.65	2.7	1.69	2.98	2.55	2.56
1874	1.5	2.77	2.07	1.54	NA	0.86	1.34	1.84	2.41	2.16	1.82	3.18	2.18
1875	2.01	2.58	3.96	2.41	NA	0.9	1.47	2.11	2.63	2.6	2.77	3.32	2.49
1876	1.41	2.01	2.94	2.28	NA	0.83	1.07	1.98	2.6	1.05	2.48	2.18	2.35
1877	0.98	1.28	2.07	1.52	NA	0.67	1.24	1.82	1.64	0.63	2.52	1.68	1.76
1878	1.96	1.92	4.2	2.14	NA	0.85	1.66	2.15	1.91	1.53	3.16	3.52	1.98
1879	1.72	2.15	2.95	2.32	NA	0.45	1.12	1.51	1.12	0.82	2.11	1.53	1.54
1880	1.85	1.98	2.59	2.09	NA	0.59	1.32	1.86	1.58	1.16	2.08	2.55	1.39
1881	1.38	2.04	1.18	1.4	NA	0.59	1.33	1.72	1.01	0.99	1.58	1.76	1.5
1882	1.45	1.95	1.37	1.27	NA	0.44	1.17	1.41	1.5	0.67	0.95	1.74	0.95
1883	2.63	2.57	3.14	1.69	NA	0.6	1.62	1.56	1.57	1.24	1.89	2.44	1.99
1884	2.22	2.09	2.82	1.76	NA	0.61	1.43	1.95	1.82	1.36	1.88	2.33	2.73
1885	1.02	0.62	2.22	0.64	NA	0.27	0.89	1.03	1.26	0.97	0.45	0.54	0.64
1886	0.93	1.35	2.14	0.6	NA	0.45	1.1	1.05	1.84	0.83	1.16	0.94	0.57
1887	0.62	0.88	2.35	0.86	NA	0.29	1.05	0.84	1.21	0.66	1.21	0.56	0.8
1888	1.09	1.85	2.81	1.29	NA	0.4	1.22	1.14	1.63	0.86	1.49	1.18	1.59
1889	1.33	1.74	4.23	1.18	1.52	0.29	1.31	1.03	1.79	0.82	2.23	1.2	2.12
1890	0.96	1.69	3.47	1.45	1.38	0.23	1.27	1.31	1.59	1.05	2.2	1.37	2.05
1891	0.66	2.27	2.95	1.43	1.31	0.23	1.27	1.46	1.19	1.03	2.15	1.21	2.22
1892	0.75	1.87	2.46	1.32	0.7	0.24	1.17	1.47	1.23	0.66	1.68	1.17	1.5
1893	0.7	1.83	1.24	1.04	0.69	0.19	1.13	1.5	1.45	0.88	1.53	1.21	1.23
1894	1.28	1.77	1.55	1.17	0.91	0.41	1.31	1.31	1.56	0.99	1.02	1.1	0.87
1895	1.12	1.65	2.43	1.11	0.93	0.33	1.1	1.54	1.43	0.97	0.93	1.02	0.9
1896	1.12	1.53	2.64	0.95	0.96	0.29	1.16	1.46	1.3	0.93	1.15	1.16	1.04
1897	0.54	1.5	2.26	1.05	0.51	0.21	0.91	1.17	1.08	0.82	1.29	0.99	0.97
1898	0.76	1.6	3.12	1.31	0.89	0.42	1.13	1.02	1.5	1.07	1.39	0.82	1.15
