# Ferrari - Bosch Tens, Val Bregaglia - ABAL - ITRDB CHE466
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41278
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41278.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che466-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che466.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che466.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Ferrari - Bosch Tens, Val Bregaglia - ABAL - ITRDB CHE466
#--------------------
# Investigators
#   Investigators: Ferrari, Michela; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: Elevation range: 1294 - 1327 m a.s.l.
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Ferrari M. 2024. Wachstum und Verbreitung der Weisstanne im Bergell. Master’s thesis. ETH Zurich, Zurich. doi:10.3929/ethz-b-000676922
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Bosch Tens, Val Bregaglia
#   Location: Switzerland
#   Northernmost_Latitude: 46.324500008
#   Southernmost_Latitude: 46.324500008
#   Easternmost_Longitude: 9.538698213
#   Westernmost_Longitude: 9.538698213
#   Elevation_m: 1310
#--------------------
# Data_Collection
#   Collection_Name: CHE466
#   First_Year: 1776
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TE01TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE01TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE02TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE02TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE03TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE03TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE04TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE04TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE05TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE05TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE16TB_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE16TB; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE18TB_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE18TB; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE20TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE20TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE23TB_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE23TB; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TE01TA_raw	TE02TA_raw	TE03TA_raw	TE04TA_raw	TE05TA_raw	TE16TB_raw	TE18TB_raw	TE20TA_raw	TE23TB_raw
1776	NA	NA	0.85	NA	NA	NA	NA	NA	NA
1777	NA	NA	0.91	NA	NA	NA	NA	NA	NA
1778	NA	NA	0.64	NA	0.62	NA	NA	NA	NA
1779	NA	NA	0.62	NA	0.74	NA	NA	NA	NA
1780	NA	NA	0.76	NA	0.73	NA	NA	NA	NA
1781	NA	NA	0.96	NA	0.52	NA	NA	0.27	NA
1782	NA	NA	0.93	NA	0.43	NA	NA	0.21	NA
1783	NA	NA	0.94	NA	1.03	NA	NA	0.29	NA
1784	NA	NA	0.76	NA	0.7	NA	NA	0.2	NA
1785	NA	NA	0.36	NA	0.81	NA	NA	0.18	NA
1786	NA	NA	0.46	NA	0.48	NA	NA	0.24	NA
1787	NA	NA	0.56	NA	0.34	NA	NA	0.38	NA
1788	NA	NA	0.65	NA	0.92	NA	NA	0.73	NA
1789	NA	NA	0.52	NA	0.79	NA	NA	0.7	NA
1790	NA	NA	0.59	NA	0.53	NA	NA	0.82	NA
1791	NA	NA	0.7	NA	0.57	NA	NA	0.79	NA
1792	NA	NA	0.87	NA	0.58	NA	NA	0.59	NA
1793	NA	NA	0.93	NA	0.45	NA	NA	0.82	NA
1794	NA	NA	0.94	NA	0.7	NA	NA	0.79	NA
1795	NA	NA	0.81	NA	0.37	NA	NA	0.71	NA
1796	NA	NA	0.88	NA	0.83	NA	NA	0.9	NA
1797	NA	NA	0.82	NA	0.32	NA	NA	0.73	NA
1798	NA	NA	0.65	NA	0.29	NA	NA	1	NA
1799	NA	NA	0.79	NA	0.25	NA	NA	0.72	NA
1800	NA	NA	0.74	NA	0.25	NA	NA	0.86	0.64
1801	NA	NA	0.8	NA	0.3	NA	NA	0.91	0.69
1802	NA	NA	0.9	NA	0.28	NA	NA	0.92	0.81
1803	NA	NA	0.62	NA	0.21	NA	NA	0.97	0.79
1804	NA	NA	1.02	NA	0.3	NA	NA	1.06	0.82
1805	NA	NA	1.13	NA	0.88	NA	NA	0.99	0.9
1806	NA	NA	1.01	NA	0.72	NA	1.15	1.05	0.79
1807	NA	NA	0.92	NA	0.57	NA	1.22	0.81	0.8
1808	NA	NA	0.76	NA	0.48	NA	1.28	0.8	0.71
1809	NA	NA	1.06	NA	0.44	NA	1.55	0.94	0.91
1810	NA	NA	0.76	NA	0.73	NA	1.19	0.71	0.91
1811	NA	NA	0.72	NA	0.56	NA	1.25	0.66	0.6
1812	NA	NA	0.8	NA	0.39	NA	1.49	0.62	0.58
1813	NA	NA	0.53	NA	0.54	NA	1.58	0.57	0.52
1814	NA	NA	0.54	NA	0.51	NA	1.56	0.71	0.59
1815	NA	NA	0.65	NA	0.32	NA	1.24	0.56	0.44
1816	NA	NA	0.69	NA	0.35	NA	1.05	0.56	0.41
1817	NA	NA	0.87	NA	0.27	NA	0.82	0.83	0.43
1818	NA	NA	0.85	NA	0.39	1.32	0.79	0.71	0.3
1819	NA	NA	0.87	NA	0.42	1.3	1.01	0.45	0.31
1820	NA	NA	0.82	NA	0.28	1.09	0.79	0.49	0.27
1821	NA	NA	0.69	NA	0.16	1.08	0.8	0.59	0.27
1822	NA	NA	0.69	NA	0.15	1.04	0.78	0.72	0.33
1823	NA	NA	0.68	NA	0.34	1.22	0.89	0.62	0.53
1824	NA	NA	0.96	NA	0.41	1.29	1.05	0.88	0.61
1825	NA	NA	1.01	NA	0.42	1.29	1.26	0.62	0.61
1826	NA	NA	0.78	NA	0.41	1.14	1.09	0.71	0.83
1827	NA	NA	0.97	NA	0.38	0.98	0.88	0.74	0.65
1828	NA	NA	1.11	NA	0.52	1.04	0.91	0.7	0.75
1829	NA	NA	1.03	NA	0.47	1.05	1.03	0.55	0.74
1830	NA	NA	0.86	NA	0.5	0.79	0.89	0.31	0.58
1831	NA	NA	0.99	NA	0.4	0.88	1.1	0.38	0.65
1832	NA	NA	0.83	NA	0.28	0.72	0.91	0.31	0.77
1833	NA	NA	0.94	NA	0.36	0.96	0.75	0.43	0.52
1834	NA	NA	1.19	NA	0.32	0.85	0.71	0.48	0.49
1835	NA	NA	0.89	NA	0.36	0.63	0.59	0.39	0.39
1836	NA	NA	1.14	NA	0.32	0.79	0.59	0.48	0.63
1837	NA	NA	0.94	NA	0.3	0.63	0.55	0.44	0.44
1838	NA	NA	0.98	NA	0.33	0.64	0.5	0.41	0.4
1839	NA	NA	1.13	NA	0.45	0.68	0.53	0.38	0.32
1840	NA	NA	1.05	NA	0.47	0.66	0.56	0.35	0.34
1841	NA	NA	1.09	NA	0.66	0.81	0.63	0.38	0.36
1842	NA	NA	1.2	NA	0.48	0.77	0.77	0.44	0.38
1843	NA	NA	1.22	NA	0.62	0.77	0.81	0.38	0.41
1844	NA	NA	1.33	NA	0.55	0.58	0.58	0.48	0.55
1845	1.87	NA	1.34	NA	0.55	0.64	0.58	0.46	0.49
1846	1.42	NA	1.52	NA	0.57	0.6	0.48	0.5	0.49
1847	1.41	NA	1.15	NA	0.46	0.42	0.38	0.36	0.31
1848	1.29	NA	1.54	NA	0.63	0.64	0.61	0.49	0.56
1849	1.01	NA	1.41	NA	0.56	0.5	0.47	0.41	0.5
1850	0.94	NA	1.56	NA	0.57	0.65	0.55	0.38	0.68
