# Costa - Benavente - QUSU - ITRDB PRT001
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41023
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41023.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt001x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt001x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2025-03-05
#--------------------
# File_Last_Modified_Date
#   Date: 2025-03-05
#--------------------
# Title
#   Study_Name: Costa - Benavente - QUSU - ITRDB PRT001
#--------------------
# Investigators
#   Investigators: Costa, Augusta; Graça, José; Spiecker, Heinrich
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Costa, Augusta; José Graça; Inês Barbosa; Heinrich Spiecker
#   Published_Date_or_Year: 2022
#   Published_Title: Effect of climate on cork-ring width and density of Quercus suber L. in Southern Portugal
#   Journal_Name: Trees
#   Volume: None
#   Edition:
#   Issue: None
#   Pages: None
#   Report_Number: None
#   DOI: 10.1007/s00468-022-02321-0
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: FCT - Foundation for Science and Technology (Portugal)
#   Grant: CEEINST/00012/2018—ENGFL
#--------------------
# Site_Information
#   Site_Name: Benavente
#   Location: Portugal
#   Northernmost_Latitude: 38.82
#   Southernmost_Latitude: 38.82
#   Easternmost_Longitude: -8.83
#   Westernmost_Longitude: -8.83
#   Elevation_m: 20
#--------------------
# Data_Collection
#   Collection_Name: PRT001
#   First_Year: 1963
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus suber L.
#   Common_Name: cork oak
#   Tree_Species_Code: QUSU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CO02A1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO02A1
## CO02B1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO02B1
## CO04A2_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO04A2
## CO04B2_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO04B2
## CO44A1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO44A1
## CO44BX_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO44BX
#---------------------
# Data:
# Missing_Values: NA
age_CE	CO02A1_raw	CO02B1_raw	CO04A2_raw	CO04B2_raw	CO44A1_raw	CO44BX_raw
1963	2.81	2.81	NA	NA	2.81	2.81
1964	2.17	2.17	NA	NA	2.17	2.17
1965	2.26	2.26	NA	NA	2.26	2.26
1966	1.89	1.89	NA	NA	1.89	1.89
1967	2.25	2.25	1.7	1.7	1.97	1.97
1968	2.3	2.3	1.72	1.72	2.01	2.01
1969	2.56	2.56	1.76	1.76	2.16	2.16
1970	2.06	2.06	1.55	1.55	1.81	1.81
1971	2.18	2.18	1.65	1.65	1.91	1.91
1972	2.22	2.22	1.6	1.6	1.91	2.01
1973	2.07	2.07	1.66	1.66	1.86	1.86
1974	2.23	2.23	1.6	1.6	1.91	1.91
1975	2.04	2.04	1.61	1.61	1.82	1.82
1976	2.14	2.14	1.61	1.61	1.87	1.87
1977	1.81	1.75	1.55	1.55	1.68	1.65
1978	1.72	1.72	1.59	1.59	1.65	1.65
1979	1.95	1.95	1.61	1.61	1.78	1.78
1980	2.53	2.53	1.73	1.73	2.13	2.13
1981	2.45	2.45	1.59	1.59	2.02	2.02
1982	2.36	2.36	1.68	1.68	2.02	2.02
1983	2.5	2.5	1.55	1.55	2.02	2.02
1984	3.64	3.64	1.77	1.77	2.7	2.7
1985	3.99	3.99	2.04	2.04	3.02	3.02
1986	4.24	2.28	2.04	1.88	3.14	2.08
1987	2.83	2.83	1.98	1.98	2.4	2.4
1988	2.42	2.42	1.99	1.99	2.2	2.2
1989	2.57	2.57	2.02	2.02	2.3	2.3
1990	2.41	2.41	2.2	2.2	2.31	2.31
1991	2.37	2.37	2.17	2.17	2.27	2.27
1992	2.41	2.41	2.03	2.03	2.22	2.22
1993	2.33	2.33	1.81	1.81	2.07	2.07
1994	2.64	2.64	1.92	1.92	2.28	2.28
1995	2.34	2.25	1.93	1.92	2.14	2.08
1996	2.72	2.72	2.04	2.04	2.38	2.38
1997	2.78	2.78	2.69	2.69	2.73	2.73
1998	2.3	2.3	2.68	2.68	2.49	2.49
1999	2.96	2.96	2.02	2.02	2.49	2.49
2000	2.05	2.05	2.8	2.8	2.43	2.43
2001	2.34	2.34	2.2	2.2	2.27	2.27
2002	2.03	2.03	2.53	2.53	2.28	2.28
2003	2.3	2.3	3.33	3.33	2.82	2.82
2004	4.02	1.32	1.04	2.45	1.18	3.23
2005	4.42	4.42	2.09	2.09	3.26	3.26
2006	4.33	4.33	2.08	2.08	3.21	3.21
2007	2.58	2.58	2.07	2.07	2.32	2.32
2008	2.29	2.29	2.02	2.02	2.15	2.15
2009	2.34	2.34	2.26	2.26	2.3	2.3
2010	2.07	1.48	2.36	2.36	2.21	2.21
2011	2.07	1.14	2.13	2.13	2.1	2.1
2012	2.05	1.65	2.46	2.46	2.26	2.26
2013	1.84	NA	1.59	1.59	1.71	1.71
