# Zumbrunn - Scharans unten - PCAB - ITRDB CHE505
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41759
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41759.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che505-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che505.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che505.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Scharans unten - PCAB - ITRDB CHE505
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Scharans unten
#   Location: Switzerland
#   Northernmost_Latitude: 46.71506
#   Southernmost_Latitude: 46.71506
#   Easternmost_Longitude: 9.46791
#   Westernmost_Longitude: 9.46791
#   Elevation_m: 900
#--------------------
# Data_Collection
#   Collection_Name: CHE505
#   First_Year: 1913
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SUS02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS15B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS15B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUS19B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUS19B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SUS02A_raw	SUS05A_raw	SUS07B_raw	SUS08B_raw	SUS09A_raw	SUS12A_raw	SUS14A_raw	SUS15B_raw	SUS16B_raw	SUS19B_raw
1913	NA	NA	NA	NA	NA	2.67	NA	NA	NA	NA
1914	NA	NA	NA	NA	NA	2.47	NA	NA	NA	NA
1915	NA	NA	NA	NA	NA	1.99	NA	NA	NA	NA
1916	NA	NA	NA	NA	NA	1.97	NA	NA	NA	NA
1917	NA	NA	NA	NA	NA	2.27	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	1.67	NA	NA	NA	NA
1919	NA	NA	NA	NA	NA	1.93	NA	NA	NA	NA
1920	NA	NA	NA	NA	NA	3.39	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	2.06	NA	NA	NA	NA
1922	NA	NA	NA	NA	NA	1.78	NA	NA	NA	NA
1923	NA	NA	NA	NA	NA	2.3	NA	NA	NA	NA
1924	NA	NA	NA	NA	NA	2.31	NA	NA	NA	NA
1925	NA	NA	NA	NA	NA	1.34	NA	NA	NA	NA
1926	NA	NA	NA	NA	NA	1.73	NA	NA	NA	NA
1927	NA	NA	NA	NA	NA	2.27	NA	NA	NA	NA
1928	NA	NA	NA	NA	NA	1.87	NA	NA	NA	NA
1929	NA	NA	NA	NA	NA	1.7	NA	NA	NA	NA
1930	NA	NA	NA	NA	NA	1.54	NA	NA	NA	NA
1931	NA	NA	NA	NA	NA	1.97	NA	NA	NA	NA
1932	NA	NA	NA	NA	NA	2.46	NA	NA	NA	NA
1933	NA	NA	NA	NA	NA	2.23	NA	NA	NA	NA
1934	NA	NA	NA	NA	NA	2.3	NA	NA	NA	NA
1935	NA	NA	NA	NA	NA	2.04	NA	NA	NA	NA
1936	NA	NA	NA	NA	NA	2.55	NA	NA	NA	NA
1937	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA
1938	NA	NA	NA	NA	NA	2.35	NA	NA	NA	NA
1939	NA	NA	NA	NA	NA	2.54	NA	NA	NA	NA
1940	NA	NA	NA	NA	NA	3.37	NA	NA	NA	NA
1941	NA	NA	NA	NA	1.76	2.34	NA	NA	0.95	1.86
1942	NA	NA	NA	NA	1.79	2.32	NA	NA	1.32	1.64
1943	NA	2.09	NA	NA	1.76	1.89	NA	NA	1.74	1.6
1944	0.74	1.8	NA	NA	1.38	1.68	NA	NA	1.78	1.88
1945	1.13	2.09	2	NA	1.34	1.83	NA	NA	2.04	1.64
1946	1.64	2.82	2.2	NA	1.37	1.7	NA	NA	2.44	1.52
1947	1.92	2.51	2.33	NA	1.85	1.72	NA	NA	2.59	1.5
1948	1.45	2.11	2.08	NA	1.07	0.85	NA	NA	2.31	1.14
1949	1.51	2.2	2.02	1.42	1	1.24	NA	NA	2.73	1.39
1950	1.48	1.49	1.9	1.85	0.94	1.16	NA	NA	2.47	1.11
1951	2.18	1.74	2.45	2.31	1.32	1.05	2.51	NA	3.15	1.58
1952	1.99	2.07	2.12	1.77	1.14	1.15	2.27	1.75	2.79	1.37
1953	2.17	2.1	2.17	1.71	1.1	1.3	2.16	2.45	3.19	1.75
1954	2.52	2.18	2.63	2.42	1.27	1.73	3.07	2.59	3.97	2.19
1955	2.54	2.19	2.5	2.02	1.6	1.5	2.25	2.59	5.25	1.98
1956	2.01	2.51	2.28	2.14	1.46	1.67	1.99	1.45	6.1	1.78
1957	2.02	2.04	2.2	1.62	1.49	1.54	2.22	1.55	8.44	1.79
1958	2.12	2.72	2.91	2.2	1.71	2.15	1.45	2.86	8.41	1.38
1959	1.8	1.89	2.29	1.45	1.24	1.13	0.88	1.94	2.95	1.26
1960	2.34	2.42	1.95	2.13	0.94	1.72	1.12	2.28	4.34	2.15
1961	2.62	2.63	1.79	2.08	0.92	1.72	1.72	2.03	4.58	2.25
1962	1.96	2.54	2.3	1.42	0.88	1.36	1.13	1.63	2.57	1.97
1963	2.37	3.3	1.7	2.12	1.04	1.55	2.05	2.54	3.7	2.53
1964	2.15	2.63	1.57	1.8	0.93	1.4	1.83	1.96	4.39	1.97
1965	2.78	3.34	1.6	2.45	1.2	1.52	2.12	3.06	3.56	2.71
1966	3.21	5.79	1.36	3.02	1.36	1.78	2.67	3.37	3.62	3.29
1967	2.95	4.98	1.22	2.87	1.64	1.92	3.23	4.02	3.26	2.64
1968	3.09	4.43	1.25	2.59	1.27	2.16	2.56	2.35	2.28	2.28
1969	3.85	4.55	1.63	3.59	2.06	2.58	3.85	2.84	3.11	2.93
1970	2.72	2.25	1.36	2.27	0.99	2.03	2.45	2.24	1.85	1.79
1971	2.26	2.91	0.87	1.7	1.01	2.2	2.05	3.04	2.06	2
1972	1.96	2.28	0.89	2.34	1.08	2.1	2.36	2.54	2.03	2.02
1973	2.9	2.59	1.14	2.25	1.26	1.94	1.98	2.22	1.85	1.87
1974	2.97	2.57	1.23	2.25	1.61	2.17	2.64	2.56	1.97	2.85
1975	3.4	4.21	1.12	2.36	1.68	2.43	2.85	2.45	2	2.99
1976	1.57	2.21	0.53	1.4	0.82	1.23	1.71	1.71	1.36	1.75
1977	3.23	3.65	0.93	2.55	1.32	1.34	3.32	2.79	1.61	2.21
1978	3.53	5.71	1.12	3.48	2.21	2.11	3.81	4.31	2.67	4.75
1979	3.56	5.07	1.05	2.96	2.14	2.52	4.4	5.8	2.26	3.81
1980	3.17	4.4	1.57	3.15	2.36	3.04	5.32	5.57	3.05	3.41
