# Weber - BAR - QUPE - ITRDB CHE600
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41854
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41854.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che600-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che600.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che600.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Weber - BAR - QUPE - ITRDB CHE600
#--------------------
# Investigators
#   Investigators: Weber, Pascale; Lévesque, Mathieu; Walthert, Lorenz; Heiri, Caroline; Trotsiuk, Volodymyr; Sanders,Tanja
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Lorenz Walthert; Pascale Weber
#   Published_Date_or_Year: 2016
#   Published_Title: Soil nutrients influence growth response of temperate tree species to drought
#   Journal_Name: Journal of Ecology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/1365-2745.12519
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Weber, Pascale; Caroline Heiri; Mathieu Lévesque; Tanja Sanders; Volodymyr Trotsiuk; Lorenz Walthert
#   Published_Date_or_Year: 2015
#   Published_Title: Zuwachs und Klimasensitivität von Baumarten im Ökogramm der kollinen und submontanen Stufe
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3188/szf.2015.0380
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: BAR
#   Location: Switzerland
#   Northernmost_Latitude: 47.39321
#   Southernmost_Latitude: 47.39321
#   Easternmost_Longitude: 7.46779
#   Westernmost_Longitude: 7.46779
#   Elevation_m: 650
#--------------------
# Data_Collection
#   Collection_Name: CHE600
#   First_Year: 1825
#   Last_Year: 2006
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus petraea (Matt.) Liebl. = Quercus sessiliflora Salisb.
#   Common_Name: durmast oak
#   Tree_Species_Code: QUPE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BAR01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR14b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR14b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR15a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR15a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR17a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR17a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR25a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR25a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR28a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR28a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR30a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR30a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BAR01a_raw	BAR04a_raw	BAR07a_raw	BAR09a_raw	BAR14b_raw	BAR15a_raw	BAR17a_raw	BAR25a_raw	BAR28a_raw	BAR30a_raw
1825	NA	NA	NA	NA	0.86	NA	NA	NA	NA	NA
1826	NA	NA	NA	NA	0.48	NA	NA	NA	NA	NA
1827	NA	NA	NA	NA	0.65	NA	NA	NA	NA	NA
1828	NA	NA	NA	NA	0.54	NA	NA	NA	NA	NA
1829	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA
1830	NA	NA	NA	NA	0.41	NA	NA	NA	NA	NA
1831	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA
1832	NA	NA	NA	NA	0.42	NA	NA	NA	NA	NA
1833	NA	NA	NA	NA	0.22	NA	NA	NA	NA	NA
1834	NA	NA	NA	NA	0.22	NA	NA	NA	NA	NA
1835	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA
1836	NA	NA	NA	NA	0.38	NA	NA	NA	NA	NA
1837	NA	NA	NA	NA	0.4	NA	NA	NA	NA	NA
1838	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA
1839	NA	NA	NA	NA	0.41	NA	NA	NA	NA	NA
1840	NA	NA	NA	NA	0.64	NA	NA	NA	NA	NA
1841	NA	NA	NA	NA	0.81	NA	NA	NA	NA	NA
1842	NA	NA	NA	NA	0.43	NA	NA	NA	NA	NA
1843	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	0.91	NA	NA	NA	0.99	NA
1846	NA	NA	NA	NA	0.55	NA	NA	NA	0.61	NA
1847	NA	NA	NA	NA	0.75	NA	NA	NA	0.82	NA
1848	NA	NA	NA	NA	0.62	NA	NA	NA	0.97	NA
1849	NA	NA	NA	NA	0.74	NA	NA	NA	0.67	NA
1850	NA	NA	NA	NA	0.94	NA	NA	NA	0.67	NA
1851	NA	NA	NA	NA	0.73	NA	NA	NA	0.43	NA
1852	NA	NA	NA	NA	0.91	NA	NA	NA	0.69	NA
1853	NA	NA	NA	NA	0.95	NA	NA	NA	0.68	NA
1854	NA	NA	NA	NA	0.65	NA	NA	NA	0.36	NA
1855	NA	NA	NA	NA	0.61	NA	NA	NA	0.44	NA
1856	NA	NA	NA	NA	0.69	NA	NA	NA	0.44	NA
1857	NA	NA	NA	NA	0.91	NA	NA	NA	0.39	NA
1858	NA	NA	NA	NA	0.61	NA	NA	NA	0.41	NA
1859	NA	NA	NA	NA	0.99	NA	NA	NA	0.49	NA
1860	NA	NA	NA	NA	1.24	NA	NA	NA	0.5	NA
1861	NA	NA	NA	NA	0.68	NA	NA	NA	0.64	NA
1862	NA	NA	NA	NA	0.76	NA	NA	NA	0.65	NA
1863	NA	NA	NA	NA	1.51	NA	NA	NA	0.64	NA
1864	NA	NA	NA	NA	1.42	NA	NA	NA	0.71	NA
1865	NA	NA	NA	NA	1.2	NA	NA	NA	0.55	NA
1866	NA	NA	NA	NA	2.19	NA	NA	NA	0.5	NA
1867	NA	NA	NA	NA	2.79	NA	NA	NA	0.56	NA
1868	NA	NA	NA	NA	1.67	NA	NA	NA	0.51	NA
1869	NA	NA	NA	NA	2.18	NA	NA	NA	0.83	NA
1870	NA	NA	NA	NA	1.1	NA	NA	NA	0.64	NA
1871	NA	NA	NA	NA	1.54	NA	NA	NA	0.96	NA
1872	NA	NA	NA	0.34	1.29	NA	NA	NA	0.8	NA
1873	NA	NA	NA	0.32	1.13	3.36	NA	1.69	1.25	NA
1874	NA	NA	NA	0.36	0.76	2.25	NA	1.22	1.12	NA
1875	NA	NA	NA	0.22	1.02	1.6	NA	0.64	0.81	NA
1876	NA	NA	NA	0.64	1.37	1.57	0.79	0.44	0.8	NA
1877	NA	NA	NA	1.45	1.12	1.35	1.2	0.43	0.69	NA
1878	NA	NA	NA	1	1.28	1.64	1.18	0.36	0.72	NA
1879	1.88	NA	NA	0.66	1.37	1.84	1.15	0.63	0.89	NA
1880	1.05	NA	NA	0.57	0.96	1.39	0.96	0.44	0.77	NA
1881	1.33	NA	NA	0.39	1.08	1.49	1.02	0.59	0.79	NA
1882	1.56	NA	NA	0.73	0.74	2.05	1.15	0.4	0.62	NA
1883	1.95	NA	NA	1.02	1	1.72	1.43	0.74	1	1.41
1884	2.2	NA	NA	0.97	0.36	1.56	1.53	0.36	0.54	0.91
1885	1.48	NA	NA	0.75	0.4	1.21	1.07	0.34	0.69	0.54
1886	1.76	NA	NA	0.9	0.41	0.84	1.09	0.46	0.61	0.56
1887	1.25	NA	NA	0.58	0.28	0.82	0.63	0.51	0.55	0.42
1888	1.53	NA	NA	0.71	0.45	0.64	0.59	0.43	0.55	0.36
1889	2.08	NA	2.06	1	0.49	0.9	0.96	0.96	0.85	0.82
1890	1.98	NA	1.87	0.65	0.48	0.64	0.98	1.23	0.62	0.44
1891	1.55	NA	1.59	0.74	0.39	0.59	0.62	0.92	0.77	0.78
1892	1.21	NA	1.19	0.61	0.35	0.64	0.52	0.61	0.48	0.59
1893	0.6	NA	1.17	0.38	0.34	0.39	0.35	0.39	0.37	0.41
1894	1.37	NA	2.44	0.82	0.41	0.46	0.34	0.9	0.46	0.58
1895	1.31	NA	2.24	0.64	0.55	0.59	0.42	1.15	0.57	0.76
1896	1.14	NA	2.02	0.8	0.52	0.68	0.38	1.08	0.62	0.82
1897	0.97	NA	1.96	0.69	0.63	0.63	0.4	0.92	0.37	0.46
1898	1.09	NA	1.85	0.68	0.43	0.57	0.45	0.78	0.4	0.49
1899	0.71	NA	1.6	0.58	0.48	0.46	0.36	0.55	0.5	0.45
1900	0.8	NA	1.83	0.64	0.57	0.38	0.45	0.79	0.55	0.53
1901	0.65	NA	1.92	0.72	0.77	0.6	0.53	0.65	0.67	0.51
1902	0.64	NA	1.44	0.54	0.67	0.57	0.6	0.6	0.45	0.36
1903	0.97	NA	1.07	0.47	0.67	0.57	0.53	0.61	0.58	0.56
