# Zumbrunn - Scharans unten - LADE - ITRDB CHE542
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41796
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41796.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che542-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che542.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che542.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Scharans unten - LADE - ITRDB CHE542
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Scharans unten
#   Location: Switzerland
#   Northernmost_Latitude: 46.71506
#   Southernmost_Latitude: 46.71506
#   Easternmost_Longitude: 9.46791
#   Westernmost_Longitude: 9.46791
#   Elevation_m: 900
#--------------------
# Data_Collection
#   Collection_Name: CHE542
#   First_Year: 1864
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SUL03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL25A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL25A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL26A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL26A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL27A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL27A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL28A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL28A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL29A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL29A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUL30A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUL30A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SUL03A_raw	SUL04A_raw	SUL06A_raw	SUL10A_raw	SUL11A_raw	SUL12A_raw	SUL16A_raw	SUL17A_raw	SUL18A_raw	SUL25A_raw	SUL26A_raw	SUL27A_raw	SUL28A_raw	SUL29A_raw	SUL30A_raw
1864	NA	NA	NA	NA	NA	NA	NA	NA	2.46	NA	NA	NA	NA	NA	NA
1865	NA	NA	NA	NA	NA	NA	NA	NA	1.95	NA	NA	NA	NA	NA	NA
1866	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA
1867	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	NA	NA	NA	NA
1868	NA	NA	NA	NA	NA	NA	NA	NA	0.1	NA	NA	NA	NA	NA	NA
1869	NA	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	NA	NA	NA	NA
1870	NA	NA	NA	NA	NA	NA	NA	NA	0.13	NA	NA	0.21	NA	NA	NA
1871	NA	NA	NA	NA	NA	NA	NA	NA	1.29	NA	NA	1.29	NA	NA	NA
1872	NA	NA	NA	NA	NA	NA	NA	NA	1.55	NA	NA	1.32	NA	NA	NA
1873	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	1.19	NA	NA	NA
1874	NA	NA	NA	NA	NA	NA	NA	NA	1.07	NA	NA	1.19	NA	NA	NA
1875	NA	NA	NA	NA	NA	NA	NA	NA	1.61	NA	NA	2.19	NA	NA	NA
1876	NA	NA	NA	NA	2.85	NA	NA	1.72	1.41	NA	NA	2.25	NA	NA	NA
1877	NA	NA	NA	NA	1.42	NA	NA	1.27	1.1	NA	NA	1.35	NA	NA	2.53
1878	NA	NA	NA	NA	1.2	NA	NA	1.85	1.68	NA	NA	1.91	NA	NA	3.17
1879	NA	1.41	NA	NA	1.67	NA	NA	1.29	1.42	NA	NA	1.04	NA	NA	2.56
1880	NA	1.16	NA	NA	1.79	NA	NA	1.46	1.82	1.61	NA	1.23	NA	NA	2.49
1881	NA	0.8	NA	NA	1.2	NA	NA	1.14	1.58	1.66	NA	1	NA	NA	2.46
1882	NA	1.6	NA	NA	1.74	NA	NA	1.22	1.94	2.62	NA	1.54	NA	NA	2.92
1883	NA	1.18	NA	NA	1.03	NA	NA	0.55	1.51	2.27	NA	0.21	NA	0.79	0.74
1884	NA	2.56	NA	NA	0.88	NA	NA	1.1	1.71	3.15	NA	1.2	NA	2.03	2.5
1885	NA	1.96	NA	NA	0.49	NA	NA	1.68	1.87	3.07	NA	1.5	NA	1.74	3.38
1886	NA	2.61	NA	NA	0.82	NA	NA	1.61	2.64	3.85	NA	2.27	NA	2.52	4.71
1887	NA	2.75	NA	NA	0.44	NA	NA	1.48	2.71	3.63	NA	2.06	0.93	2.11	3.65
1888	NA	3.85	NA	NA	0.67	NA	NA	2.37	3.7	5.18	NA	2.45	1.84	2.52	4.4
1889	NA	2.94	NA	NA	1.17	NA	4.57	2.78	3.41	4.95	5.67	2.4	1.52	2.39	3.59
1890	NA	3.58	NA	NA	1.6	NA	4.95	3.39	3.94	5.42	5.95	2.99	2.11	2.5	3.14
1891	NA	3.27	NA	NA	0.93	NA	4.72	1.89	3.39	4.45	5.14	2.53	1.95	2.36	3.22
1892	NA	3.06	NA	NA	1.05	NA	3.23	2.05	3.03	4.34	4.34	2.09	2.23	2.05	2.9
1893	NA	1.92	NA	NA	0.61	NA	3.03	1.66	1.98	4.09	3.32	1.57	1.22	1.3	1.75
1894	NA	2.63	NA	NA	1.13	NA	4.02	2.12	3.04	5.27	4.12	2.57	1.92	2.05	3.13
1895	NA	1.02	NA	NA	1.51	NA	3.89	1.65	2.76	4.59	4.55	1.98	1.58	1.23	2.42
1896	NA	1.74	2.98	NA	1.54	NA	3.98	2.46	3.11	4.69	5.3	2.43	1.55	1.48	0.93
1897	NA	1.19	2.34	NA	1.16	NA	2.91	1.29	2.15	3.33	3.9	0.79	0.82	0.58	0.37
1898	NA	2.7	2.82	NA	1.51	NA	3.47	1.89	2.99	4.22	6.58	1.89	1.37	0.91	0.43
1899	NA	3.7	1.99	NA	1.29	NA	2.85	2.08	2.5	4.66	5.4	2.01	1.15	1.02	0.35
1900	NA	4.1	2.95	NA	1.18	NA	2.7	1.99	2.87	5.09	4.39	2.27	0.85	1.05	0.41
1901	NA	5.12	3.17	NA	1.72	NA	4.79	3.35	3.46	6.04	4.94	2.53	1.69	1.1	0.43
1902	NA	6.34	2.66	NA	1.92	NA	4.18	3.46	3.07	4.65	4.52	2.17	1.92	1.37	0.7
1903	NA	5.44	2.41	NA	1.68	NA	3.54	2.74	2.93	3.7	3.28	2.34	2.46	1.51	0.73
1904	NA	4.76	2.71	NA	1.87	NA	4.44	2.66	3.24	3.62	3.92	2.51	2.5	1.42	0.85
1905	NA	3.98	2.06	NA	1.46	NA	3.47	2.06	2.13	3.2	5.3	2.07	2.15	1.34	0.8
1906	NA	3.69	2.16	NA	1.49	NA	2.91	1.74	2.12	3.12	3.33	2.3	1.99	1.52	0.95
1907	NA	4.21	2.14	NA	1.41	NA	3.07	1.76	1.98	4.09	3.41	2.4	2.23	1.47	1.19
1908	NA	3.71	2.36	NA	1.3	NA	3.55	1.76	2.69	4.47	6.17	2.31	2.08	1.97	1.43
1909	NA	2.11	2.6	NA	2.1	NA	3.56	2.05	2.94	3.92	4.67	2.19	1.81	1.75	1.51
1910	NA	1.61	2.21	NA	2.66	NA	2.33	1.92	3.33	4.19	5.68	1.44	1.68	1.42	1.65
1911	NA	2.1	2.3	4.94	2.61	NA	2.75	2.24	2.28	3.22	4.98	1.47	1.44	1.94	1.7
1912	NA	2.62	2.34	7.11	2.89	NA	2.85	2.32	2.51	3.03	4.31	1.38	1.1	1.62	1.91
1913	NA	2.52	2.03	6.94	2.76	NA	2.14	1.76	2.26	2.4	3.03	1.01	0.93	0.95	1.77
1914	NA	3.06	2.4	6.89	2.92	NA	2.41	1.27	3.3	2.69	4.08	1.49	1.95	1.1	2.19
1915	NA	2.38	1.92	5.48	2.64	NA	2.56	1.12	2.99	2.12	3.49	1.53	1.54	1.23	2.11
1916	NA	3.09	1.9	5.24	2.82	NA	3.92	1.39	3.36	2.84	4.02	1.51	2.71	1.58	2.46
1917	NA	2.65	1.79	6.27	1.77	NA	3.34	1.37	3.11	1.94	4.38	1.23	1.66	1.2	1.8
1918	NA	2.56	1.39	5.62	1.85	NA	3.77	1.33	2.69	2.19	3.52	1.15	1.35	1.38	1.33
