# Esper - Mount Smolikas Update - PIHE - ITRDB GRC055
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42228
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42228.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/grc055x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/grc055x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/grc055x.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-23
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-23
#--------------------
# Title
#   Study_Name: Esper - Mount Smolikas Update - PIHE - ITRDB GRC055
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: MXD data
#--------------------
# Publication
#   Authors: Lara Klippel, Paul J. Krusic, Robert Brandes, Claudia Hartl-Meier, Valerie Trouet, Matthew Meko, Jan Esper
#   Published_Date_or_Year: 2017
#   Published_Title: High-elevation inter-site differences in Mount Smolikas tree-ring width data
#   Journal_Name: Dendrochronologia
#   Volume: 44
#   Edition:
#   Issue: None
#   Pages: 164-173
#   Report_Number: None
#   DOI: 10.1016/j.dendro.2017.05.006
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Lara Klippel, Paul J. Krusic, Robert Brandes, Claudia Hartl, Soumaya Belmecheri, Manuel Dienst, Jan Esper
#   Published_Date_or_Year: 2018
#   Published_Title: A 1286-year hydro-climate reconstruction for the Balkan Peninsula
#   Journal_Name: Boreas
#   Volume: None
#   Edition:
#   Issue: None
#   Pages: None
#   Report_Number: None
#   DOI: 10.1111/bor.12320
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Mount Smolikas
#   Location: Greece
#   Northernmost_Latitude: 40.106775
#   Southernmost_Latitude: 40.106775
#   Easternmost_Longitude: 20.984423
#   Westernmost_Longitude: 20.984423
#   Elevation_m: 2070
#--------------------
# Data_Collection
#   Collection_Name: GRC055
#   First_Year: 715
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus heldreichii Christ
#   Common_Name: Heldreich's pine
#   Tree_Species_Code: PIHE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## EHS0433A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0433A
## EHS0433B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0433B
## EHS0439A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0439A
## EHS0439B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0439B
## EHS0441A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0441A
## EHS0441B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0441B
## EHS0445A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0445A
## EHS0448A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0448A
## EHS0448B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0448B
#---------------------
# Data:
# Missing_Values: NA
age_CE	EHS0433A_raw	EHS0433B_raw	EHS0439A_raw	EHS0439B_raw	EHS0441A_raw	EHS0441B_raw	EHS0445A_raw	EHS0448A_raw	EHS0448B_raw
715	NA	NA	NA	NA	NA	NA	NA	0.69	NA
716	NA	NA	NA	NA	NA	NA	NA	0.69	NA
717	NA	NA	NA	NA	NA	NA	NA	0.73	NA
718	NA	NA	NA	NA	NA	NA	NA	0.73	NA
719	NA	NA	NA	NA	NA	NA	NA	0.75	NA
720	NA	NA	NA	NA	NA	NA	NA	0.68	NA
721	NA	NA	NA	NA	NA	NA	NA	0.79	NA
722	NA	NA	NA	NA	NA	NA	NA	0.76	NA
723	NA	NA	NA	NA	NA	NA	NA	0.76	NA
724	NA	NA	NA	NA	NA	NA	NA	0.75	NA
725	NA	NA	NA	NA	NA	NA	NA	0.7	NA
726	NA	NA	NA	NA	NA	NA	NA	0.71	NA
727	NA	NA	NA	NA	NA	NA	NA	0.71	NA
728	NA	NA	NA	NA	NA	NA	NA	0.7	NA
729	NA	NA	NA	NA	NA	NA	NA	0.7	NA
730	NA	NA	NA	NA	NA	NA	NA	0.72	0.77
731	NA	NA	NA	NA	NA	NA	NA	0.77	0.83
732	NA	NA	NA	NA	NA	NA	NA	0.69	0.78
733	NA	NA	NA	NA	NA	NA	NA	0.63	0.72
734	NA	NA	NA	NA	NA	NA	NA	0.7	0.78
735	NA	NA	NA	NA	NA	NA	NA	0.72	0.76
736	NA	NA	NA	NA	NA	NA	NA	0.73	0.8
737	NA	NA	NA	NA	NA	NA	NA	0.69	0.75
738	NA	NA	NA	NA	NA	NA	NA	0.75	0.75
739	NA	NA	NA	NA	NA	NA	NA	0.74	0.77
740	NA	NA	NA	NA	NA	NA	NA	0.71	0.75
741	NA	NA	NA	NA	NA	NA	NA	0.7	0.7
742	NA	NA	NA	NA	NA	NA	NA	0.69	0.75
743	NA	NA	NA	NA	NA	NA	NA	0.69	0.75
744	NA	NA	NA	NA	NA	NA	NA	0.73	0.74
745	NA	NA	NA	NA	NA	NA	NA	0.7	0.74
746	NA	NA	NA	NA	NA	NA	NA	0.81	0.73
747	NA	NA	NA	NA	NA	NA	NA	0.69	0.68
748	NA	NA	NA	NA	NA	NA	NA	0.74	0.72
749	NA	NA	NA	NA	NA	NA	NA	0.73	0.72
750	NA	NA	NA	NA	NA	NA	NA	0.76	0.73
751	NA	NA	NA	NA	NA	NA	NA	0.76	0.73
752	NA	NA	NA	NA	NA	NA	NA	0.74	0.77
753	NA	NA	NA	NA	NA	NA	NA	0.73	0.71
754	NA	NA	NA	NA	NA	NA	NA	0.75	0.74
755	NA	NA	NA	NA	NA	NA	NA	0.81	0.76
756	NA	NA	NA	NA	NA	NA	NA	0.74	0.79
757	NA	NA	NA	NA	NA	NA	NA	0.75	0.73
758	NA	NA	NA	NA	NA	NA	NA	0.77	0.76
759	NA	NA	NA	NA	NA	NA	NA	0.78	0.71
760	NA	NA	NA	NA	NA	NA	NA	0.74	0.75
761	NA	NA	NA	NA	NA	NA	NA	0.76	0.73
762	NA	NA	NA	NA	NA	NA	NA	0.67	0.73
763	NA	NA	NA	NA	NA	NA	NA	0.72	0.72
764	NA	NA	NA	NA	NA	NA	NA	0.7	0.7
765	NA	NA	NA	NA	NA	NA	NA	0.76	0.69
766	NA	NA	NA	NA	NA	NA	NA	0.73	0.71
767	NA	NA	NA	NA	NA	NA	NA	0.71	0.69
768	NA	NA	NA	NA	NA	NA	NA	0.72	0.74
769	NA	NA	NA	NA	NA	NA	NA	0.69	0.74
770	NA	NA	NA	NA	NA	NA	NA	0.7	0.74
771	NA	NA	NA	NA	NA	NA	NA	0.72	0.82
772	NA	NA	NA	NA	NA	NA	NA	0.66	0.76
773	NA	NA	NA	NA	NA	NA	NA	0.75	0.77
774	NA	NA	NA	NA	NA	NA	NA	0.7	0.71
775	NA	NA	NA	NA	NA	NA	NA	0.71	0.7
776	NA	NA	NA	NA	NA	NA	NA	0.73	0.71
777	NA	NA	NA	NA	NA	NA	NA	0.71	0.68
778	NA	NA	NA	NA	NA	NA	NA	0.78	0.75
779	NA	NA	NA	NA	NA	NA	NA	0.76	0.72
780	NA	NA	NA	NA	NA	NA	NA	0.73	0.66
781	NA	NA	NA	NA	NA	NA	NA	0.73	0.68
782	NA	NA	NA	NA	NA	NA	NA	0.73	0.69
783	NA	NA	NA	NA	NA	NA	NA	0.77	0.68
784	NA	NA	NA	NA	NA	NA	NA	0.68	0.71
785	NA	NA	NA	NA	NA	NA	NA	0.75	0.77
786	NA	NA	NA	NA	NA	NA	NA	0.7	0.77
787	NA	NA	NA	NA	NA	NA	NA	0.7	0.74
788	NA	NA	NA	NA	NA	NA	NA	0.67	0.74
789	NA	NA	NA	NA	NA	NA	NA	0.71	0.76
790	NA	NA	NA	NA	NA	NA	NA	0.72	0.77
791	NA	NA	NA	NA	NA	NA	NA	0.69	0.75
792	NA	NA	NA	NA	NA	NA	NA	0.73	0.77
793	NA	NA	NA	NA	NA	NA	NA	0.73	0.77
794	NA	NA	NA	NA	NA	NA	NA	0.72	0.77
795	NA	NA	NA	NA	NA	NA	NA	0.7	0.71
