# Esper - Melkutin Update - PISY - ITRDB FIN112
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42221
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42221.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fin112x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fin112x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fin112x.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-23
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-23
#--------------------
# Title
#   Study_Name: Esper - Melkutin Update - PISY - ITRDB FIN112
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: MXD data
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Melkutin
#   Location: Finland
#   Northernmost_Latitude: 60.734178
#   Southernmost_Latitude: 60.734178
#   Easternmost_Longitude: 24.056103
#   Westernmost_Longitude: 24.056103
#   Elevation_m: 130
#--------------------
# Data_Collection
#   Collection_Name: FIN112
#   First_Year: 1893
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ELM0101B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0101B
## ELM0106B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0106B
## ELM0107B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0107B
## ELM0108B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0108B
## ELM0119A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0119A
## ELM0130B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0130B
## ELM0131B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0131B
## ELM0133B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0133B
## ELM0138B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0138B
## ELM0142A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0142A
## ELM0147B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0147B
## ELM0152B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0152B
## ELM0154a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0154a
## ELM0156B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0156B
## ELM0157a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0157a
## ELM0159B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0159B
## ELM0161B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0161B
## ELM0162a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELM0162a
#---------------------
# Data:
# Missing_Values: NA
age_CE	ELM0101B_raw	ELM0106B_raw	ELM0107B_raw	ELM0108B_raw	ELM0119A_raw	ELM0130B_raw	ELM0131B_raw	ELM0133B_raw	ELM0138B_raw	ELM0142A_raw	ELM0147B_raw	ELM0152B_raw	ELM0154a_raw	ELM0156B_raw	ELM0157a_raw	ELM0159B_raw	ELM0161B_raw	ELM0162a_raw
1893	NA	NA	NA	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1894	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1895	NA	NA	NA	1.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1896	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA
1897	NA	NA	NA	0.98	NA	NA	NA	NA	NA	NA	NA	NA	1.05	NA	NA	NA	NA	NA
1898	NA	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA
1899	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA
1900	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA
1901	NA	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	1.05	NA	NA	NA	NA	NA
1902	NA	NA	NA	0.62	NA	NA	NA	0.6	NA	NA	NA	NA	1.01	NA	NA	NA	NA	NA
1903	NA	NA	NA	0.97	NA	NA	NA	0.77	NA	NA	NA	NA	1.07	NA	NA	NA	NA	NA
1904	NA	NA	NA	0.8	NA	NA	0.72	0.76	NA	NA	NA	NA	1.03	NA	NA	NA	NA	NA
1905	NA	NA	NA	0.82	NA	NA	0.75	0.86	NA	NA	NA	NA	1.11	NA	NA	NA	NA	NA
1906	NA	NA	NA	0.95	NA	NA	0.82	0.88	NA	NA	NA	NA	1.15	NA	NA	NA	NA	NA
1907	NA	NA	NA	0.93	NA	NA	0.77	0.78	NA	NA	NA	NA	1.06	NA	NA	NA	NA	NA
1908	NA	NA	NA	0.86	NA	NA	0.91	0.93	NA	NA	NA	NA	1.08	NA	NA	NA	NA	NA
1909	NA	NA	NA	0.8	NA	NA	0.95	0.71	NA	NA	NA	NA	0.97	NA	NA	NA	NA	NA
1910	NA	NA	NA	0.89	NA	NA	0.89	0.68	NA	NA	NA	NA	1.03	NA	NA	NA	NA	NA
1911	NA	NA	NA	0.96	NA	NA	0.87	0.73	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA
1912	NA	NA	NA	0.98	NA	NA	0.87	0.71	NA	NA	NA	NA	1.02	NA	NA	NA	NA	NA
1913	NA	NA	NA	1	NA	NA	0.87	0.84	NA	NA	NA	NA	1.07	NA	NA	NA	NA	NA
1914	NA	NA	NA	0.98	NA	NA	0.94	0.8	NA	NA	NA	NA	1.05	NA	NA	NA	NA	NA
1915	NA	NA	NA	0.99	NA	NA	0.95	0.82	NA	NA	NA	NA	1.05	NA	0.73	NA	NA	NA
1916	NA	NA	NA	1.02	NA	0.77	0.96	0.89	NA	NA	NA	NA	1.07	NA	0.74	NA	NA	NA
1917	NA	NA	NA	0.96	NA	0.65	0.94	0.84	NA	NA	NA	0.95	0.97	NA	0.83	NA	NA	NA
1918	NA	NA	NA	0.9	NA	0.69	0.99	0.84	NA	NA	NA	1	0.94	NA	0.74	NA	NA	NA
1919	NA	NA	NA	1.01	NA	0.83	1	0.88	NA	NA	NA	1.08	1.05	NA	0.82	NA	NA	NA
1920	NA	NA	NA	1.05	NA	0.79	1.03	0.93	NA	NA	NA	1.05	1.06	NA	0.71	NA	NA	NA
1921	NA	NA	NA	1.04	NA	0.89	1.07	0.89	NA	NA	NA	1.08	1.01	0.8	0.92	NA	NA	NA
1922	NA	NA	NA	1.01	NA	0.77	1.01	0.87	0.66	NA	NA	1.07	1.04	0.65	0.73	NA	NA	NA
1923	NA	NA	NA	0.92	NA	0.89	0.96	0.83	0.62	NA	NA	1.02	1.03	0.69	0.73	NA	0.66	NA
1924	NA	NA	NA	1.01	NA	1	0.98	0.89	0.81	NA	NA	1.06	1.09	0.76	0.84	NA	0.82	NA
1925	NA	NA	NA	1.03	NA	0.89	1	0.93	0.7	NA	NA	1.04	1.09	0.86	0.8	NA	0.76	NA
1926	NA	NA	NA	1.06	NA	0.86	1.06	0.93	0.83	NA	NA	1.09	1.07	0.91	0.86	NA	0.87	NA
1927	NA	NA	NA	0.98	NA	1.01	1.02	0.93	0.89	NA	NA	1.06	1.03	0.9	0.93	NA	0.95	NA
1928	NA	NA	NA	0.94	NA	0.84	1.01	0.88	0.74	NA	NA	1.01	1	0.89	0.87	NA	0.85	NA
1929	1.05	NA	NA	1.02	0.65	0.83	1.05	1	0.84	NA	NA	1.07	0.99	0.94	0.9	NA	0.97	NA
1930	0.94	NA	NA	1.03	0.79	1.03	1.07	1.03	0.81	NA	0.83	1.09	1.04	0.87	0.97	NA	1.01	NA
1931	1.06	NA	NA	1.06	0.82	0.9	1.05	1.02	0.93	NA	0.97	1.06	1.05	0.97	1.01	NA	0.97	NA
1932	1.03	NA	NA	1.03	0.84	0.91	0.97	1.04	0.86	NA	0.97	1.06	1.09	0.96	0.99	NA	1.02	1.01
1933	1.06	NA	NA	1.02	0.84	0.91	1.01	1.03	0.89	NA	0.77	1.09	1.05	1	1.01	NA	1.04	0.97
1934	1.09	NA	NA	1.01	0.87	0.92	1.04	1.02	0.89	NA	0.87	1.07	1.08	1.02	0.94	NA	0.99	0.94
