# Esper - Valia Kalda EHV08 - PIHE - ITRDB GRC051
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42136
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42136.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/grc051-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/grc051.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/grc051.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Valia Kalda EHV08 - PIHE - ITRDB GRC051
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Valia Kalda EHV08
#   Location: Greece
#   Northernmost_Latitude: 39.875433
#   Southernmost_Latitude: 39.875433
#   Easternmost_Longitude: 21.118953
#   Westernmost_Longitude: 21.118953
#   Elevation_m: 1970
#--------------------
# Data_Collection
#   Collection_Name: GRC051
#   First_Year: 1388
#   Last_Year: 2016
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus heldreichii Christ
#   Common_Name: Heldreich's pine
#   Tree_Species_Code: PIHE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## EHV0801a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0801a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0801b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0801b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0802a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0802a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0802b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0802b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0805a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0805a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0805b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0805b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0806a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0806a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0806b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0806b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0807a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0807a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0807b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0807b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0808a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0808a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0808b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0808b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0809a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0809a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0809b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0809b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0813z_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0813z; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0814a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0814a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0814b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0814b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EHV0816z_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EHV0816z; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	EHV0801a_raw	EHV0801b_raw	EHV0802a_raw	EHV0802b_raw	EHV0805a_raw	EHV0805b_raw	EHV0806a_raw	EHV0806b_raw	EHV0807a_raw	EHV0807b_raw	EHV0808a_raw	EHV0808b_raw	EHV0809a_raw	EHV0809b_raw	EHV0813z_raw	EHV0814a_raw	EHV0814b_raw	EHV0816z_raw
1444	NA	NA	NA	NA	0.42	0.31	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	NA	0.34
1445	NA	NA	NA	NA	0.6	0.41	NA	NA	NA	NA	NA	NA	NA	NA	0.54	NA	NA	0.47
1446	NA	NA	NA	NA	0.65	0.5	NA	NA	NA	NA	NA	NA	NA	NA	0.38	NA	NA	0.43
1447	NA	NA	NA	NA	0.7	0.44	NA	NA	NA	NA	NA	NA	NA	NA	0.47	NA	NA	0.55
1448	NA	NA	NA	NA	0.9	0.67	NA	NA	NA	NA	NA	NA	NA	NA	0.49	NA	NA	0.47
1449	NA	NA	NA	NA	1	0.8	NA	NA	NA	NA	NA	NA	NA	NA	0.41	NA	NA	0.48
1450	NA	NA	NA	NA	0.88	0.6	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	0.45
1451	NA	NA	NA	NA	0.88	0.68	NA	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA	0.32
1452	NA	NA	NA	NA	0.89	0.63	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	0.4
1453	NA	NA	NA	NA	0.86	0.62	NA	NA	NA	NA	NA	NA	NA	NA	0.58	NA	NA	0.27
1454	NA	NA	NA	NA	0.76	0.75	NA	NA	NA	NA	NA	NA	NA	NA	0.66	NA	NA	0.38
1455	NA	NA	NA	NA	0.68	0.74	NA	NA	NA	NA	NA	NA	NA	NA	0.64	NA	NA	0.32
1456	NA	NA	NA	NA	0.77	0.78	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	0.42
1457	NA	NA	NA	NA	0.65	0.52	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	0.33
1458	NA	NA	NA	NA	0.56	0.47	NA	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA	0.34
1459	NA	NA	NA	NA	0.76	0.61	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA	0.43
1460	NA	NA	NA	NA	0.83	0.74	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	0.32
1461	NA	NA	NA	NA	0.71	0.68	NA	NA	NA	NA	NA	NA	NA	NA	0.64	NA	NA	0.28
1462	NA	NA	NA	NA	0.57	0.47	NA	NA	NA	NA	NA	NA	NA	NA	0.58	NA	NA	0.36
1463	NA	NA	NA	NA	0.5	0.43	NA	NA	NA	NA	NA	NA	NA	NA	0.66	NA	NA	0.32
1464	NA	NA	NA	NA	0.59	0.59	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	0.39
1465	NA	NA	NA	NA	0.44	0.51	NA	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA	0.23
1466	NA	NA	NA	NA	0.41	0.47	NA	NA	NA	NA	NA	NA	NA	NA	0.62	NA	NA	0.26
1467	NA	NA	NA	NA	0.39	0.5	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	0.3
1468	NA	NA	NA	NA	0.43	0.6	NA	NA	NA	NA	NA	NA	NA	NA	0.72	NA	NA	0.28
1469	NA	NA	NA	NA	0.39	0.59	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	0.41
1470	NA	NA	NA	NA	0.31	0.53	NA	NA	NA	NA	NA	NA	NA	NA	0.58	NA	NA	0.56
1471	NA	NA	NA	NA	0.31	0.49	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA	0.69
1472	NA	NA	NA	NA	0.49	0.55	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	0.83
1473	NA	NA	NA	NA	0.64	0.54	NA	NA	NA	NA	NA	NA	NA	NA	0.89	NA	NA	0.69
1474	NA	NA	NA	NA	0.66	0.57	NA	NA	NA	NA	NA	NA	NA	NA	0.96	NA	NA	0.67
1475	NA	NA	NA	NA	0.76	0.63	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.63
1476	NA	NA	NA	NA	0.84	0.43	NA	NA	NA	NA	NA	NA	NA	NA	0.97	NA	NA	0.67
1477	NA	NA	NA	NA	0.82	0.69	NA	NA	NA	NA	NA	NA	NA	NA	1.23	NA	NA	1.25
1478	NA	NA	NA	NA	0.79	0.83	NA	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	1.54
1479	NA	NA	NA	NA	0.46	0.49	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	1.28
1480	NA	NA	NA	NA	0.32	0.29	NA	NA	NA	NA	NA	NA	NA	NA	0.59	NA	NA	1.21
1481	NA	NA	NA	NA	0.5	0.52	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	1.57
1482	NA	NA	NA	NA	0.72	0.91	NA	NA	NA	NA	NA	NA	NA	NA	1.02	NA	NA	1.76
1483	NA	NA	NA	NA	0.62	0.92	NA	NA	NA	NA	NA	NA	NA	NA	1.13	NA	NA	1.13
1484	NA	NA	NA	NA	0.59	0.92	NA	NA	NA	NA	NA	NA	NA	NA	1.23	NA	NA	0.78
1485	NA	NA	NA	NA	0.56	0.75	NA	NA	NA	NA	NA	NA	NA	NA	1.03	NA	NA	0.67
1486	NA	NA	NA	NA	0.86	0.64	NA	NA	NA	NA	NA	NA	NA	NA	1.43	NA	NA	0.74
1487	NA	NA	NA	NA	0.71	0.9	NA	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA	0.44
1488	NA	NA	NA	NA	0.67	0.69	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA	0.44
1489	NA	NA	NA	NA	0.61	0.69	NA	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	0.51
1490	NA	NA	NA	NA	0.54	0.73	NA	NA	NA	NA	NA	NA	NA	NA	1.09	NA	NA	0.37
1491	NA	NA	NA	NA	1.06	1.06	NA	NA	NA	NA	NA	NA	NA	NA	1.17	NA	NA	0.43
1492	NA	NA	NA	NA	1.38	1.03	NA	NA	NA	NA	NA	NA	NA	NA	1.03	NA	NA	0.47
1493	NA	NA	NA	NA	1.62	0.99	NA	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	0.37
1494	NA	NA	NA	NA	1.84	1.13	NA	NA	NA	NA	NA	NA	NA	NA	1.47	NA	NA	0.46
1495	NA	NA	NA	NA	1.26	0.85	NA	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA	0.34
1496	NA	NA	NA	NA	1.14	0.87	NA	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA	0.4
1497	NA	NA	NA	NA	1.21	0.8	NA	NA	NA	NA	NA	NA	NA	NA	1.42	NA	NA	0.39
1498	NA	NA	NA	NA	1.06	0.84	NA	NA	NA	NA	NA	NA	NA	NA	1.47	NA	NA	0.51
