# Häfelfinger - Domat-Ems unten - FASY - ITRDB CHE588
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41842
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41842.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che588-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che588.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che588.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Häfelfinger - Domat-Ems unten - FASY - ITRDB CHE588
#--------------------
# Investigators
#   Investigators: Häfelfinger, Thomas; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Häfelfinger T (2013) Growth response to climate of beech trees (Fagus sylvatica) in Grisons. Bachelor thesis, ETH Zurich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Domat-Ems unten
#   Location: Switzerland
#   Northernmost_Latitude: 46.81932
#   Southernmost_Latitude: 46.81932
#   Easternmost_Longitude: 9.44212
#   Westernmost_Longitude: 9.44212
#   Elevation_m: 670
#--------------------
# Data_Collection
#   Collection_Name: CHE588
#   First_Year: 1914
#   Last_Year: 2012
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DUB01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB11A2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB11A2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB17B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB17B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB19B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB19B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB21a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB21a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DUB22A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DUB22A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DUB01B_raw	DUB02A_raw	DUB03A_raw	DUB04A_raw	DUB05A_raw	DUB06A_raw	DUB07B_raw	DUB08A_raw	DUB09A_raw	DUB10A_raw	DUB11A2_raw	DUB12A_raw	DUB13A_raw	DUB14A_raw	DUB15A_raw	DUB17B_raw	DUB18A_raw	DUB19B1_raw	DUB21a_raw	DUB22A_raw
1914	NA	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.72	NA	NA	NA
1915	NA	NA	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA
1916	NA	NA	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA	NA
1917	NA	NA	NA	0.46	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA
1918	NA	NA	NA	0.35	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	NA	NA	NA
1919	NA	NA	NA	0.45	0.63	NA	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA	0.65	NA	NA	NA
1920	NA	NA	NA	0.53	0.66	NA	NA	NA	NA	NA	1.03	NA	NA	NA	NA	NA	0.27	NA	NA	NA
1921	NA	NA	NA	0.55	0.64	NA	NA	NA	NA	NA	1.47	NA	NA	NA	NA	NA	0.2	NA	NA	NA
1922	NA	NA	NA	0.39	0.24	NA	NA	NA	NA	NA	1.15	NA	NA	NA	NA	NA	0.62	NA	NA	NA
1923	NA	NA	NA	0.31	0.31	NA	NA	NA	NA	5.47	0.35	NA	NA	NA	NA	NA	0.73	NA	NA	NA
1924	NA	NA	NA	0.28	0.41	NA	NA	NA	NA	4.88	1.67	NA	NA	NA	NA	NA	1.27	NA	NA	NA
1925	NA	0.8	NA	0.75	0.36	NA	NA	NA	NA	3.63	1.53	NA	NA	NA	NA	NA	2.95	NA	NA	NA
1926	NA	0.5	NA	1.08	0.86	NA	NA	NA	NA	3.91	0.76	NA	NA	NA	NA	NA	2.36	NA	NA	NA
1927	NA	0.86	NA	1.27	0.97	NA	NA	NA	NA	4.15	1.26	NA	NA	NA	NA	NA	1.68	NA	NA	NA
1928	NA	0.74	0.32	0.66	0.58	NA	NA	NA	NA	2.88	1.81	NA	NA	2.48	NA	NA	1.33	NA	NA	1.73
1929	NA	0.8	0.31	0.78	0.38	NA	NA	NA	NA	3.69	0.86	NA	NA	0.74	NA	NA	0.97	NA	NA	0.93
1930	NA	0.73	0.06	0.61	0.29	NA	NA	NA	NA	1.23	1.18	NA	NA	1.1	NA	NA	0.57	NA	NA	1.23
1931	NA	0.74	0.36	0.94	0.83	NA	NA	NA	NA	1.52	1.05	NA	NA	2.58	NA	NA	0.57	NA	NA	3.18
1932	NA	0.41	0.42	0.99	1.11	NA	NA	NA	NA	3.36	0.51	NA	NA	2.41	NA	NA	0.86	NA	NA	2.54
1933	NA	0.45	0.56	0.76	0.85	1.31	0.33	NA	NA	3.34	0.88	NA	NA	0.36	NA	NA	1.13	NA	NA	1.59
1934	NA	0.69	0.8	0.62	0.56	1.03	0.31	NA	NA	4.88	1.17	NA	NA	1.17	NA	NA	1.15	NA	NA	2.25
1935	NA	0.27	0.61	0.98	0.63	0.94	0.17	NA	NA	4.52	0.75	NA	NA	1.34	NA	NA	1.11	NA	NA	2.25
1936	NA	0.75	0.72	1.32	1.14	1.03	0.31	NA	NA	1.74	0.51	NA	0.75	0.94	NA	NA	0.58	0.92	NA	1.5
1937	0.7	0.97	0.78	0.49	0.44	0.82	0.48	NA	3.24	3.88	0.82	NA	0.94	1.15	NA	0.85	0.6	1.17	NA	1.5
1938	0.53	1.4	0.58	0.77	0.91	1.29	0.55	NA	3.94	6.58	0.54	NA	1.08	1.11	1.05	1.48	0.8	1.54	NA	2.85
1939	0.84	0.69	0.55	0.79	0.95	1.15	0.38	NA	1.47	4.56	0.94	NA	0.63	0.98	0.59	0.81	0.35	0.71	NA	2.05
1940	0.96	1.54	1.3	1.13	1.05	1.87	0.48	NA	2.63	2.15	0.72	NA	1.25	1.29	0.85	1.04	0.67	0.92	NA	2.77
1941	0.99	1.49	0.91	0.82	0.83	1.42	0.51	3.41	3.23	1.44	0.66	NA	0.75	0.25	0.86	1.14	0.68	0.87	NA	2.02
1942	0.64	1.03	0.63	0.56	0.73	1.63	0.27	3.03	1.06	1.02	0.28	NA	0.91	0.39	0.35	0.4	0.17	0.24	NA	1.13
1943	0.78	1.19	0.76	0.61	1.03	1.97	0.3	2.56	2.09	1.42	0.6	NA	0.24	0.62	0.73	0.93	0.41	0.48	NA	1.96
1944	0.87	1.26	0.84	0.46	0.85	1.86	0.43	2.97	2.64	1.87	0.46	NA	0.77	0.73	0.76	0.88	0.54	0.69	NA	2.12
1945	0.71	0.7	0.88	0.59	1.04	2.07	0.32	1.57	2.86	1.84	0.28	NA	0.74	1.07	0.31	0.41	0.25	0.32	NA	1.73
1946	1.1	0.68	0.83	0.58	1.8	2.1	0.8	2.94	3.14	2.71	0.78	NA	0.94	1.1	0.78	0.85	0.63	0.85	NA	2.61
1947	1.04	0.71	0.64	0.33	1.03	1.82	0.92	4.04	2.88	1.35	0.36	0.51	1.1	1.29	0.45	0.62	0.62	1.11	NA	2.03
1948	0.52	0.78	1.71	0.38	0.76	1.43	0.73	2.36	2.79	1.11	0.32	0.79	0.41	0.72	0.19	0.44	0.37	0.53	NA	1.65
1949	0.42	0.88	1.32	0.44	0.86	1.29	0.53	1.87	1.79	1.72	0.44	0.81	0.63	0.89	0.35	0.55	0.77	0.79	NA	1.91
1950	0.63	0.47	1.4	0.51	0.8	1.37	1.11	2.17	2.07	1.44	0.92	1.01	1.18	1.36	0.57	1	1.14	1.18	NA	1.69
1951	1.45	0.8	1.57	0.83	1.27	1.95	0.66	2.7	3.62	1.46	0.7	1.58	1.38	1.45	0.68	1.02	1.22	1.11	NA	2.38
1952	1.03	0.43	0.89	0.49	0.91	1.49	0.65	1.54	1.37	1.25	0.67	1.07	1.65	1.31	0.68	0.79	1.08	1.02	NA	1.73
1953	0.74	0.72	0.81	0.55	1.08	1.93	0.73	1.95	2.89	1.47	1	1.23	2.86	1.74	0.7	1.35	0.86	0.98	1.22	2.1
1954	1.43	0.42	0.76	0.48	1.19	1.62	0.8	1.72	3.22	1.29	0.61	1.13	0.91	0.61	0.6	0.88	0.84	0.55	1.44	1.55
1955	1.78	0.47	0.55	0.48	0.96	1.69	0.76	1.83	4.13	3	1.22	1.25	1.94	1.37	1.32	1.36	1.76	0.72	1.52	1.63
1956	1.35	0.72	1.08	0.53	0.74	1.73	0.63	1.24	4.69	1.42	0.82	0.73	2.12	1.39	1.05	1.11	1.58	0.47	1.76	1.56
1957	1.49	0.39	0.75	0.43	0.65	1.1	0.54	1.44	4.03	1.1	0.47	0.46	1.01	0.66	0.88	0.81	0.51	0.14	1.56	1.19
1958	1.89	0.54	1.27	0.54	1.42	1.71	0.8	1.73	3.83	1.49	1.41	0.74	2.82	1.65	2.03	1.47	1.07	0.4	2.34	1.56
1959	1.61	0.6	1.02	0.31	0.87	1.23	0.54	1.82	3.97	0.69	0.53	0.59	2.32	1.14	0.98	1.11	0.66	0.33	1.06	0.88
1960	1.79	0.3	0.71	0.61	0.73	0.79	0.67	0.95	3.32	0.34	0.23	0.33	0.54	0.25	0.69	0.58	0.12	0.1	0.82	0.53
