# Esper - Sotkamo Update - PISY - ITRDB FIN114
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42223
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42223.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fin114x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fin114x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fin114x.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-23
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-23
#--------------------
# Title
#   Study_Name: Esper - Sotkamo Update - PISY - ITRDB FIN114
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: MXD data
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Sotkamo
#   Location: Finland
#   Northernmost_Latitude: 64.11505
#   Southernmost_Latitude: 64.11505
#   Easternmost_Longitude: 28.341394
#   Westernmost_Longitude: 28.341394
#   Elevation_m: 150
#--------------------
# Data_Collection
#   Collection_Name: FIN114
#   First_Year: 1855
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ELS0121a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0121a
## ELS0121b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0121b
## ELS0122b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0122b
## ELS0123a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0123a
## ELS0125a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0125a
## ELS0127a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0127a
## ELS0127b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0127b
## ELS0129a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0129a
## ELS0130a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0130a
## ELS0131a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0131a
## ELS0131b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0131b
## ELS0132a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0132a
## ELS0132b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0132b
## ELS0133a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0133a
## ELS0133b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0133b
## ELS0134a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0134a
## ELS0135a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0135a
## ELS0165a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0165a
## ELS0167a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0167a
## ELS0168b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELS0168b
#---------------------
# Data:
# Missing_Values: NA
age_CE	ELS0121a_raw	ELS0121b_raw	ELS0122b_raw	ELS0123a_raw	ELS0125a_raw	ELS0127a_raw	ELS0127b_raw	ELS0129a_raw	ELS0130a_raw	ELS0131a_raw	ELS0131b_raw	ELS0132a_raw	ELS0132b_raw	ELS0133a_raw	ELS0133b_raw	ELS0134a_raw	ELS0135a_raw	ELS0165a_raw	ELS0167a_raw	ELS0168b_raw
1855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7	NA	NA	NA	NA	0.7	NA
1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	0.65	NA
1857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA	0.77	NA
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	NA	NA	NA	NA	0.78	NA
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	0.83	NA
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA	NA	NA	NA	0.82	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84	NA	NA	NA	NA	0.84	NA
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78	NA	NA	NA	NA	0.91	NA
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA	NA	0.75	NA
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	0.91	NA
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	0.81	NA	NA	NA	0.78	NA
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84	0.78	NA	NA	NA	0.81	NA
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	0.78	NA	NA	NA	0.71	NA
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83	0.85	NA	NA	NA	0.96	NA
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55	0.72	NA	NA	NA	0.88	NA
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51	0.57	NA	NA	NA	0.87	NA
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	0.66	NA	NA	NA	0.68	NA
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91	0.74	NA	NA	NA	1.06	NA
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9	0.92	NA	NA	NA	1.08	NA
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85	0.85	NA	NA	NA	0.96	NA
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.91	NA	NA	NA	1.03	NA
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.9	NA	NA	NA	0.99	NA
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.83	NA	NA	NA	0.98	NA
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	0.9	NA	NA	NA	0.96	NA
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89	0.95	NA	NA	NA	1.01	NA
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83	0.94	NA	NA	NA	0.97	NA
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	0.87	NA	NA	NA	1	NA
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85	0.94	NA	NA	NA	1.03	NA
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85	0.91	NA	NA	NA	0.96	NA
1884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89	0.86	NA	0.52	NA	0.96	NA
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	0.82	0.98	NA	0.6	NA	0.96	NA
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	0.71	NA	NA	0.85	0.91	NA	0.6	NA	0.97	NA
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	0.63	NA	NA	0.85	0.86	NA	0.69	NA	1.02	NA
1888	NA	NA	NA	NA	NA	NA	NA	NA	0.68	0.74	0.7	NA	NA	0.79	0.91	NA	0.7	NA	1	NA
1889	NA	NA	NA	NA	NA	NA	NA	0.74	0.71	0.72	0.76	NA	NA	0.77	0.9	NA	0.61	NA	0.97	NA
1890	NA	NA	NA	NA	NA	NA	NA	0.7	0.69	0.85	0.84	NA	NA	0	0.96	NA	0.87	NA	1.06	NA
1891	NA	NA	NA	NA	NA	NA	NA	0.7	0.65	0.68	0.7	NA	NA	0	0.87	NA	0.78	NA	0.91	NA
1892	NA	NA	NA	NA	NA	NA	NA	0.78	0.59	0.68	0.66	NA	NA	0	0.92	NA	0.72	NA	0.9	NA
1893	NA	NA	NA	NA	NA	NA	NA	0.72	0.57	0.71	0.71	NA	NA	0	0.92	NA	0.8	NA	0.93	NA
1894	NA	NA	NA	NA	NA	NA	NA	0.82	0.73	0.79	0.79	NA	NA	0	0.9	NA	0.76	NA	1.07	NA
1895	NA	NA	NA	NA	NA	NA	NA	0.87	0.74	0.85	0.81	NA	NA	0	0.96	NA	0.75	NA	0.97	NA
