# Lévesque - Steckborn - LADE - ITRDB CHE539
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41793
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41793.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che539-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che539.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che539.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Lévesque - Steckborn - LADE - ITRDB CHE539
#--------------------
# Investigators
#   Investigators: Lévesque, Mathieu; Rigling, Andreas; Bugmann, Harald; Weber, Pascale; Brang, Peter; Saurer, Matthias; Siegwolf, Rolf; Eilmann, Britta
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Andreas Rigling; Harald Bugmann; Pascale Weber; Peter Brang
#   Published_Date_or_Year: 2014
#   Published_Title: Growth response of five co-occurring conifers to drought across a wide climatic gradient in Central Europe
#   Journal_Name: Agricultural and Forest Meteorology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.agrformet.2014.06.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Steckborn
#   Location: Switzerland
#   Northernmost_Latitude: 47.65995
#   Southernmost_Latitude: 47.65995
#   Easternmost_Longitude: 8.99595
#   Westernmost_Longitude: 8.99595
#   Elevation_m: 535
#--------------------
# Data_Collection
#   Collection_Name: CHE539
#   First_Year: 1915
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SL01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SL12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SL12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SL01_raw	SL02_raw	SL03_raw	SL04_raw	SL05_raw	SL06_raw	SL07_raw	SL08_raw	SL10_raw	SL11_raw	SL12_raw
1915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.11
1916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.01
1917	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73	5.37
1918	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.78	5.08
1919	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.88	5.17
1920	5.7	7.68	NA	NA	NA	NA	NA	NA	NA	6.23	7.99
1921	6.2	4.61	NA	NA	NA	NA	NA	NA	NA	6.55	5.17
1922	3.55	6.14	NA	NA	NA	NA	4.48	NA	NA	7.38	6.27
1923	5.68	5.52	NA	NA	NA	NA	3.93	NA	NA	5.72	4.9
1924	4.31	4.43	NA	NA	NA	NA	3.7	NA	NA	5.2	4.24
1925	5.52	5.72	NA	NA	NA	NA	3.78	NA	NA	5.18	4.43
1926	3.78	7.65	NA	NA	NA	NA	3.66	NA	2.5	8.26	5.65
1927	2.78	6.07	NA	NA	NA	NA	3.05	3.88	1.57	3.43	4.03
1928	2.9	3.91	NA	NA	NA	NA	1.55	1.99	1.61	2.22	2.16
1929	3.2	4.82	NA	NA	NA	NA	2	3.71	1.74	3.63	2.27
1930	2.94	5.02	NA	NA	3.83	3.46	2.39	3.55	1	3.14	2.74
1931	3.43	4.98	NA	5.65	4.35	3.37	2.83	3.75	1.48	3.25	2.88
1932	1.96	6.11	5.44	4.19	4.57	2.75	2.82	3.35	1.54	2.62	3.4
1933	1.99	4.6	3.87	2.68	3.87	2.43	2.47	3	1.68	1.45	2.3
1934	1.36	3.43	3.64	1.96	2.02	1.07	1.06	2.27	1.58	0.7	0.99
1935	1.2	3.84	3.25	2.33	1.73	1.43	1.69	1.83	2.02	1.29	1.21
1936	1.35	3.43	2.99	2.88	1.78	2.07	1.47	2.42	1.5	1.06	1.72
1937	2.52	3.88	3.04	2.79	1.68	1.97	1.32	2.89	1.34	1.73	2.25
1938	2.9	3	2.49	4.37	3.33	3.01	2.23	4.06	1.75	2.37	2.21
1939	3.42	2.93	2.38	6.71	3.95	1.98	1.91	2.91	1.84	2.09	2.1
1940	3.78	3.06	2.68	9.15	3.12	3.14	2.85	3.29	2.5	2.34	3.29
1941	3.21	2.72	2.48	7.64	1.81	2.27	2.59	2.45	2.25	2.13	2.98
1942	3.07	2.12	2.27	4.55	2.16	1.12	2.15	2.29	2.41	1.78	1.94
1943	1.65	0.87	0.77	2.9	0.62	1.24	1.8	0.9	1.63	0.34	0.62
1944	1.52	0.86	0.88	2.29	1.2	1.5	2.06	1.5	1.54	0.52	0.73
1945	1.73	0.89	0.9	3.16	1.98	1.11	1.6	1.67	0.56	0.72	0.81
1946	1.79	1.67	1.87	4.38	2.47	2.09	2.34	3.94	0.76	1.54	2.57
1947	1.62	1.67	2.02	2.72	1.48	1.41	1.5	1.98	0.54	0.96	2.74
1948	1.06	0.6	0.95	1.23	1.01	0.77	1.62	1	0.36	0.34	1.79
1949	1.42	0.73	0.94	1.45	0.64	0.72	1.24	0.61	0.42	0.19	0.67
1950	1.29	0.6	0.65	1.53	0.99	0.59	1.48	0.56	0.42	0.26	0.59
1951	1.93	0.98	0.98	1.41	1.93	1.23	1.62	1.16	0.4	0.23	1.45
1952	2.41	1.76	1.7	2.92	2.62	1.62	2.49	1.72	0.5	0.39	3.21
1953	1.63	1.65	2.01	2.18	2.12	1.11	2.24	2.34	0.38	0.38	3.65
1954	1.3	1.46	1.9	1.29	1.68	0.71	1.87	1.77	0.53	0.32	2.59
1955	1.94	2.79	3.34	2.63	2.59	1.24	3.15	4.41	1.22	0.74	5.29
1956	2.06	3.59	3.68	3.6	3.59	1.15	3.79	4.81	1.62	0.99	5.12
1957	2.24	2.64	2.91	2.63	3.08	1.4	3.78	3.44	1.65	0.61	3.43
1958	2.47	2.64	2.69	2.38	2.63	1.52	3.3	2.02	2.03	0.59	2.87
1959	2.53	2.24	2.44	2.36	2.45	1.5	2.69	1.74	1.99	0.71	2.89
1960	2.4	2.42	2.99	2.07	2.25	1.18	2.48	2.17	2.08	0.92	2.64
1961	2.62	2.93	3.09	1.85	2.06	0.92	2.4	2.6	2.09	0.9	2.52
1962	1.99	1.97	2.02	2.21	1.59	0.82	1.95	2.17	1.19	0.52	2.22
1963	2.27	2.07	2.55	2.59	2.06	0.85	2.32	2.26	1.3	0.58	2.14
1964	2.94	2.18	2.04	2.71	1.97	0.9	2.14	2.22	1.34	0.76	2.34
1965	2.94	2.5	1.94	2.04	2.87	0.85	2.36	2.23	1.25	1.19	2.28
1966	3.18	3.31	2.9	3.16	5.18	1.16	3.27	2.03	1.28	1.73	3.24
1967	2.9	3.69	3.75	5.3	5.62	1.61	3.88	2.15	1.54	2.19	4.41
1968	3.39	3.36	4.63	3.63	4.81	1.91	3.32	1.4	1.57	1.75	3.34
1969	2.88	3.48	4.28	2.57	4.72	2.54	2.97	1.85	1.49	1.78	2.93
1970	3.2	2.72	3.79	3.01	3.19	1.54	2.37	2.2	1.43	1.56	1.89
1971	2.45	2.41	2.94	1.56	2.03	1.4	2.29	2	1.95	1.08	1.07
1972	2.33	2.35	4	1.84	1.82	1.12	2.72	1.78	1.77	1.12	1
1973	3.09	2.85	4.82	2.96	2.98	1.54	2.77	2.48	2.69	2.39	2.82
1974	2.2	2.25	3.56	2.62	4.09	0.53	3.14	2.2	3.92	3.29	2.19
1975	4.11	3.8	3.88	3.82	5.57	2.02	4.36	2.16	4.38	4.89	6.16
