# Zumbrunn - Felsberg oben - PCAB - ITRDB CHE510
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41764
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41764.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che510-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che510.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che510.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Felsberg oben - PCAB - ITRDB CHE510
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Felsberg oben
#   Location: Switzerland
#   Northernmost_Latitude: 46.8607019
#   Southernmost_Latitude: 46.8607019
#   Easternmost_Longitude: 9.4674595
#   Westernmost_Longitude: 9.4674595
#   Elevation_m: 1620
#--------------------
# Data_Collection
#   Collection_Name: CHE510
#   First_Year: 1804
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FOS02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS22A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS22A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS24A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS24A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS30A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS30A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS33A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS33A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FOS35A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FOS35A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FOS02A_raw	FOS03A_raw	FOS04B_raw	FOS05A_raw	FOS08A_raw	FOS09A_raw	FOS11A_raw	FOS13A_raw	FOS14A_raw	FOS22A_raw	FOS24A_raw	FOS30A_raw	FOS31A_raw	FOS33A_raw	FOS35A_raw
1804	NA	NA	NA	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA
1805	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA	NA	NA	NA	NA	NA
1806	NA	NA	NA	NA	NA	NA	NA	1.11	NA	NA	NA	NA	NA	NA	NA
1807	NA	NA	NA	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA
1808	NA	NA	NA	NA	NA	NA	NA	1.59	NA	NA	NA	NA	NA	NA	NA
1809	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA	NA	NA	NA	NA	NA
1810	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA	NA	NA	NA	NA	NA
1811	NA	NA	NA	NA	NA	NA	NA	1.61	NA	NA	NA	0.63	NA	NA	NA
1812	NA	NA	NA	NA	NA	NA	NA	1.31	NA	NA	NA	0.73	NA	NA	NA
1813	NA	NA	NA	NA	NA	NA	NA	1.38	NA	NA	NA	1.44	NA	NA	NA
1814	NA	NA	NA	NA	NA	NA	NA	1.66	NA	NA	NA	1.16	NA	NA	NA
1815	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA	NA	1.73	NA	NA	NA
1816	NA	NA	NA	NA	NA	NA	NA	1.37	NA	NA	NA	1.42	NA	NA	NA
1817	NA	NA	NA	NA	NA	NA	NA	1.52	NA	NA	NA	0.71	NA	NA	NA
1818	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	0.86	NA	NA	NA
1819	NA	NA	NA	NA	NA	NA	NA	1.46	NA	NA	NA	1.34	NA	NA	NA
1820	NA	NA	NA	NA	NA	NA	NA	1.49	NA	NA	NA	1.81	1.89	NA	NA
1821	NA	NA	NA	NA	NA	NA	NA	1.13	NA	NA	NA	1.2	1.38	NA	NA
1822	NA	NA	NA	NA	NA	NA	NA	1.86	NA	NA	NA	1.65	1.47	NA	NA
1823	NA	NA	NA	NA	NA	NA	NA	1.63	NA	NA	NA	1.54	2.07	NA	NA
1824	NA	NA	NA	NA	NA	NA	NA	2.19	NA	NA	NA	1.86	1.99	NA	NA
1825	NA	NA	NA	NA	NA	NA	NA	1.8	NA	NA	NA	1.68	1.96	NA	NA
1826	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	1.86	1.55	NA	NA
1827	NA	NA	NA	NA	NA	NA	NA	1.55	NA	NA	NA	1.85	2.06	NA	NA
1828	NA	NA	NA	NA	NA	NA	NA	1.45	NA	NA	NA	2.51	2.37	NA	NA
1829	NA	NA	NA	NA	NA	NA	NA	1.99	NA	NA	NA	2.27	1.98	NA	NA
1830	NA	NA	NA	NA	NA	NA	NA	1.64	NA	NA	NA	1.56	2.14	NA	NA
1831	NA	NA	NA	NA	NA	NA	NA	2.04	NA	NA	NA	1.39	1.85	NA	NA
1832	NA	NA	NA	NA	NA	NA	NA	1.63	NA	NA	NA	1.32	1.5	NA	NA
1833	NA	NA	NA	NA	NA	NA	NA	1.94	NA	NA	NA	1.52	1.71	NA	NA
1834	NA	NA	NA	NA	NA	NA	0.36	1.96	NA	NA	NA	1.13	1.43	NA	NA
1835	NA	NA	NA	NA	NA	NA	0.46	2.5	NA	NA	NA	1.71	1.79	NA	NA
1836	NA	NA	NA	NA	NA	NA	0.65	2.14	NA	NA	NA	1.49	2.13	NA	NA
1837	NA	NA	NA	NA	NA	NA	0.5	2.24	NA	NA	NA	1.59	2.57	NA	NA
1838	NA	NA	NA	NA	NA	NA	0.59	2.5	NA	NA	NA	1.51	2.2	NA	NA
1839	NA	NA	NA	NA	NA	NA	0.65	2.83	NA	NA	NA	1.75	2.04	NA	NA
1840	NA	NA	NA	NA	NA	NA	0.24	2.63	NA	NA	NA	2.16	2.26	NA	NA
1841	NA	NA	NA	NA	NA	NA	0.18	2.4	NA	NA	NA	1.64	1.99	NA	NA
1842	NA	NA	NA	NA	NA	NA	0.14	3.13	NA	NA	NA	2.27	1.93	0.74	NA
1843	NA	1.32	NA	NA	NA	NA	0.31	1.84	NA	NA	NA	1.38	1.97	0.32	NA
1844	NA	1.72	NA	NA	NA	0.2	0.39	2.28	NA	NA	NA	1.84	1.95	0.66	NA
1845	NA	1.83	1.08	NA	NA	0.27	0.46	2.23	NA	NA	NA	1.86	1.89	0.71	NA
1846	NA	1.81	0.5	NA	NA	0.13	0.42	2.4	NA	NA	NA	1.82	1.9	0.91	NA
1847	NA	1.87	0.99	NA	NA	0.42	0.36	1.87	NA	NA	NA	1.69	2.15	1.2	NA
1848	NA	2.04	0.87	NA	NA	0.83	0.49	2.25	NA	NA	NA	1.55	1.69	0.76	NA
1849	NA	1.86	1.16	NA	NA	0.83	0.42	2.17	NA	NA	NA	2.3	1.72	0.44	NA
1850	NA	1.76	1.18	2.08	NA	0.56	0.59	2.3	NA	NA	NA	2.46	1.62	0.76	NA
1851	NA	1.7	1.28	1.45	NA	0.53	0.78	2.3	NA	NA	NA	2.62	2.02	1.16	NA
1852	NA	1.42	0.88	0.91	NA	0.22	0.64	2.32	NA	NA	NA	2.47	1.69	1.38	NA
1853	NA	1.62	0.87	1.28	NA	0.1	0.68	2.41	NA	NA	NA	2.6	2.14	1.1	NA
1854	NA	1.43	1.13	1.42	NA	0.12	0.76	1.88	NA	NA	NA	2.18	1.99	1.14	NA
1855	NA	1.53	1.1	1.25	NA	0.25	0.96	2.12	NA	NA	NA	2.06	1.76	0.51	NA
1856	NA	1.82	0.95	1.68	NA	0.35	0.7	2.1	NA	NA	NA	1.88	1.87	1	NA
1857	NA	1.68	0.85	1.45	NA	0.27	0.67	1.99	NA	NA	NA	2.43	1.79	0.79	NA
1858	NA	1.61	0.99	1.8	NA	0.28	0.6	1.86	1.34	NA	NA	1.98	1.61	0.91	NA
1859	NA	1.55	1.06	1.18	NA	0.23	0.6	1.62	1.31	NA	NA	2.06	1.29	1	NA
1860	NA	1.53	1.31	1.72	NA	0.33	0.6	1.51	1.27	NA	NA	2.24	1.44	0.72	NA
1861	NA	1.7	0.73	1.95	NA	0.46	0.6	1.85	1.43	NA	NA	2.46	1.9	0.77	NA
1862	NA	2.06	0.74	1.29	NA	0.4	0.57	1.94	0.86	NA	NA	2.63	1.6	0.84	NA
