# Scherrer - Sot Plan dal Piz, Engiadina Bassa - ABAL - ITRDB CHE480
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41292
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41292.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che480-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che480.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che480.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Scherrer - Sot Plan dal Piz, Engiadina Bassa - ABAL - ITRDB CHE480
#--------------------
# Investigators
#   Investigators: Scherrer, Judith; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Scherrer J. 2024. Das Potenzial der Weisstanne im Unterengadin. Master’s thesis. ETH Zurich, Zurich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Sot Plan dal Piz, Engiadina Bassa
#   Location: Switzerland
#   Northernmost_Latitude: 46.80535191
#   Southernmost_Latitude: 46.80535191
#   Easternmost_Longitude: 10.34429098
#   Westernmost_Longitude: 10.34429098
#   Elevation_m: 1150
#--------------------
# Data_Collection
#   Collection_Name: CHE480
#   First_Year: 1902
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PL01T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL01T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL02T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL02T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL03T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL03T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL04T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL04T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL05T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL05T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL06T_02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL06T_02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL07T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL07T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL08T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL08T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL09T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL09T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL10T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL10T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL11T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL11T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL12T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL12T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL13T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL13T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL14T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL14T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL15T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL15T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PL01T_01_raw	PL02T_01_raw	PL03T_01_raw	PL04T_01_raw	PL05T_01_raw	PL06T_02_raw	PL07T_01_raw	PL08T_01_raw	PL09T_01_raw	PL10T_01_raw	PL11T_01_raw	PL12T_01_raw	PL13T_01_raw	PL14T_01_raw	PL15T_01_raw
1902	NA	NA	NA	NA	NA	1.68	NA	NA	2.27	NA	NA	NA	NA	NA	NA
1903	NA	NA	NA	NA	NA	1.29	NA	NA	2.63	NA	NA	NA	NA	NA	NA
1904	NA	NA	NA	1.67	NA	1.58	NA	NA	2.96	NA	NA	NA	NA	NA	NA
1905	NA	NA	NA	1.9	NA	1.21	NA	NA	3.18	NA	NA	NA	NA	NA	NA
1906	NA	NA	NA	1.61	NA	1.38	NA	NA	2.52	NA	NA	NA	NA	NA	NA
1907	NA	NA	NA	1.55	NA	0.68	NA	NA	2.17	NA	NA	NA	NA	1	NA
1908	NA	1.2	NA	1.28	NA	0.94	NA	NA	1.95	NA	NA	NA	NA	0.76	NA
1909	NA	0.64	NA	1.45	NA	1.01	NA	NA	1.7	NA	NA	NA	NA	0.7	NA
1910	NA	0.72	NA	1.47	NA	1.09	NA	NA	2.02	NA	NA	NA	NA	0.82	NA
1911	NA	1.08	NA	1.72	NA	1.18	NA	NA	2.13	NA	NA	NA	NA	1.25	NA
1912	NA	1.28	NA	1.76	NA	1.31	NA	NA	2.21	NA	NA	NA	NA	0.65	NA
1913	NA	0.88	NA	1.5	NA	1.16	NA	NA	1.66	NA	NA	NA	NA	0.62	NA
1914	NA	0.88	NA	1.8	NA	1.1	1.73	NA	2.5	NA	NA	NA	NA	0.98	NA
1915	NA	0.83	NA	1.64	1.1	0.84	1.09	NA	1.88	NA	NA	NA	NA	1.08	NA
1916	NA	0.81	NA	2.03	1.56	1.04	1.49	1.61	2.15	NA	NA	NA	NA	1.24	NA
1917	NA	0.68	NA	1.17	1.32	0.97	1.19	1.28	1.63	0.68	NA	NA	NA	0.93	NA
1918	NA	0.82	1.43	1.17	1.27	0.93	1	1.13	1.97	1.16	NA	NA	NA	1.68	NA
1919	NA	0.87	1.54	1.52	1.38	1.3	1.54	1.36	1.35	0.98	NA	NA	NA	1.36	NA
1920	2.67	0.77	1.31	1.37	1.14	1.09	1.25	1.17	1.34	0.57	NA	NA	NA	1.19	NA
1921	3.16	0.95	1.31	1.4	1.48	1.24	1.69	1.49	1.41	0.61	NA	NA	NA	1.68	1.53
1922	2.72	0.99	1.32	1.38	1.17	1.25	1.85	1.25	1.28	0.72	NA	NA	NA	1.38	0.86
1923	2.56	1.05	1.21	1.53	1.11	1.23	1.52	1.35	1.45	0.86	NA	NA	NA	1.5	0.84
1924	1.95	0.97	1.3	1.07	1.75	1.04	1.29	1.2	1.36	0.84	NA	NA	NA	1.13	1.08
1925	2.58	1.2	1.46	1.35	2.6	0.96	1.52	1.26	1.21	0.79	NA	NA	NA	0.98	1
1926	3.04	1.35	2.06	1.81	2.59	0.91	1.85	1.65	1.54	0.95	NA	NA	NA	1.4	1.42
1927	2.46	1.24	1.62	1.71	1.68	1.17	1.61	1.48	1.19	0.65	1.77	NA	NA	1.16	1.2
1928	2.53	1.42	1.78	1.68	1.6	1.65	1.97	1.54	1.51	0.68	2.07	NA	NA	1.19	1.25
1929	2.3	1.41	1.58	1.56	1.6	1.61	1.63	1.11	1.33	0.64	1.98	NA	NA	1.29	1.44
1930	2.36	1.33	1.44	1.46	1.95	1.94	1.47	1.18	1.11	0.53	2.01	NA	0.52	0.9	1.32
1931	2.74	1.74	1.81	1.76	2.4	2.17	1.77	1.43	1.47	0.55	2.12	NA	2.09	1.04	1.24
1932	2.92	1.9	1.75	1.94	2.57	2.6	1.84	1.38	1.11	0.75	2.07	NA	1.2	0.85	1.36
1933	2.78	1.58	1.52	1.69	2.45	2.46	1.72	1.44	0.96	0.58	1.9	NA	1.01	0.76	1.31
1934	2.74	1.25	1.3	1.45	2.26	2.3	1.66	1.21	0.9	0.44	1.33	NA	1.29	1.04	1.14
1935	2.66	1.35	1.45	1.5	2.73	2.63	1.79	1.44	0.99	0.55	1.24	NA	1.55	1.02	1.31
1936	3.18	1.45	1.54	1.59	2.9	2.66	1.72	1.42	0.96	0.76	1.26	NA	1.65	1.33	1.33
1937	2.3	0.98	1.08	0.98	2.51	2.19	1.5	1.12	0.68	0.54	1.11	NA	2.23	0.97	1.05
1938	2.66	1.55	1.36	1.24	3.15	2.72	1.82	1.14	0.91	0.82	1.06	1.44	2.72	1.11	1.22
1939	2.82	1.26	1.22	1.26	2.88	2.61	1.72	0.88	0.95	0.89	1.08	1.55	2.34	1.06	0.97
1940	3.31	1.46	1.21	1.33	3.04	2.48	1.75	0.92	0.9	0.99	1.35	1.3	2.14	1.05	0.93
1941	2.65	1.22	1.37	1.16	2.71	2.65	1.8	1.01	0.92	0.96	1.3	1.45	1.85	1.03	0.92
1942	2.31	1.51	1.06	1.02	2.35	2.11	1.37	0.79	0.82	0.86	1.13	1.16	1.23	0.94	1.07
1943	2.88	1.4	0.85	0.8	2.93	2.94	1.63	0.84	0.87	0.64	1.13	1.46	1.18	1.1	1.24
1944	2.53	1.17	0.91	0.81	2.44	2.22	1.55	0.73	0.95	0.36	0.8	1.41	1.17	1.03	1.02
1945	1.93	1.11	0.82	0.51	2.37	1.97	1.1	0.56	0.82	0.38	0.74	1.39	1.3	1.06	0.72
1946	2.56	1.12	1.23	0.64	3.26	3.74	1.42	0.85	0.9	0.74	0.87	1.46	0.93	1.11	0.88
1947	2.4	1.28	1.25	0.59	3.35	3.35	1.61	0.68	0.9	0.6	0.76	1.08	0.89	0.75	0.79
1948	2.22	1.05	1.01	0.62	3.12	2.92	1.29	0.75	0.91	0.5	0.79	1.18	0.86	0.77	0.64
1949	2	1.1	1.24	0.71	3.12	2.81	1.32	0.82	1.17	0.59	0.93	1.57	0.79	1.04	0.81
1950	2.19	1.19	1.16	0.84	3.1	2.32	1.22	0.78	1.02	0.46	0.73	1.84	0.49	0.83	0.7
1951	3.09	1.65	1.52	1.05	3.35	2.33	1.32	0.77	1	0.44	0.65	2.28	0.65	1	0.94
1952	2.72	1.69	1.45	1.1	2.76	2.28	1.42	0.8	0.99	0.36	0.63	2.09	0.9	0.99	1.14
1953	2.78	1.81	1.48	1.12	2.96	3.18	1.5	0.9	0.88	0.43	0.78	2.11	1.03	1.35	0.9
1954	2.84	1.57	1.65	1.27	3.4	3.17	1.55	1.06	1.45	0.57	1.1	1.82	0.78	1.32	1.05
1955	3.39	1.79	1.71	1.33	3.42	2.68	1.76	1.11	1.36	0.55	1.06	2.32	0.9	1.55	1.01
