# Costa - Grandola - QUSU - ITRDB PRT002
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41024
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41024.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt002-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt002.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/prt002.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-02-26
#--------------------
# File_Last_Modified_Date
#   Date: 2025-02-26
#--------------------
# Title
#   Study_Name: Costa - Grandola - QUSU - ITRDB PRT002
#--------------------
# Investigators
#   Investigators: Costa, Augusta; Graça, José; Spiecker, Heinrich
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Costa, Augusta; José Graça; Inês Barbosa; Heinrich Spiecker
#   Published_Date_or_Year: 2022
#   Published_Title: Effect of climate on cork-ring width and density of Quercus suber L. in Southern Portugal
#   Journal_Name: Trees
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1007/s00468-022-02321-0
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: FCT - Foundation for Science and Technology (Portugal)
#   Grant: CEEINST/00012/2018—ENGFL
#--------------------
# Site_Information
#   Site_Name: Grandola
#   Location: Portugal
#   Northernmost_Latitude: 38.19
#   Southernmost_Latitude: 38.19
#   Easternmost_Longitude: -8.6
#   Westernmost_Longitude: -8.6
#   Elevation_m: 116
#--------------------
# Data_Collection
#   Collection_Name: PRT002
#   First_Year: 1963
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus suber L.
#   Common_Name: cork oak
#   Tree_Species_Code: QUSU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CO01A1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO01A1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO01B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO01B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO02A2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO02A2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO02B2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO02B2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO05A1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO05A1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO05B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO05B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO08A1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO08A1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO08B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO08B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CO01A1_raw	CO01B1_raw	CO02A2_raw	CO02B2_raw	CO05A1_raw	CO05B1_raw	CO08A1_raw	CO08B1_raw
1963	1.28	1.28	0.81	0.81	0.52	0.52	0.35	0.35
1964	0.84	0.84	0.48	0.48	0.91	0.91	0.48	0.48
1965	1.16	1.16	0.98	0.98	0.78	0.78	0.96	0.96
1966	0.91	0.91	0.98	0.98	1.01	1.01	1.34	1.34
1967	1.71	1.71	1.26	1.26	1.49	1.49	1.09	1.09
1968	0.87	0.87	1.31	1.31	1.28	1.28	1.06	1.06
1969	0.81	0.81	0.68	0.68	0.77	0.77	1.5	1.5
1970	1.23	1.23	0.75	0.75	1.19	1.19	1.19	1.19
1971	0.89	0.89	0.87	0.87	0.95	0.95	1.21	1.21
1972	1	1	1.46	1.46	0.85	0.85	1.09	1.09
1973	1.84	1.84	1.92	1.92	1.26	1.26	1.4	1.14
1974	0.6	0.56	0.81	0.81	0.33	0.33	0.67	1.76
1975	0.67	0.53	1.06	1.06	0.42	0.42	1.12	1
1976	0.94	1.42	1.02	1.02	1.03	1.03	0.96	0.99
1977	1.04	1.21	1.28	1.28	0.78	0.78	0.98	0.89
1978	1.01	0.63	1.12	1.12	0.83	0.83	1.3	1.25
1979	1.36	0.77	0.91	0.91	1.41	1.41	0.74	1.18
1980	0.67	0.78	0.83	0.83	1.18	1.18	0.58	0.79
1981	0.92	1.11	1.19	1.19	1.26	1.26	1.53	0.8
1982	1.32	1.29	0.9	0.9	1.23	1.23	1.19	1.1
1983	1.39	1.2	0.21	0.21	0.77	0.77	1.4	1.1
1984	0.39	0.39	0.9	0.9	0.34	0.45	0.7	0.7
1985	0.37	1.17	0.98	0.98	0.72	0.74	0.53	0.53
1986	0.99	1.03	0.94	0.94	0.85	0.89	0.91	0.91
1987	0.94	0.93	1.11	1.11	0.82	1.08	1.14	1.14
1988	1.13	0.97	1.15	1.15	1.54	1.34	1.22	1.22
1989	0.81	0.96	1.24	1.24	1.77	1.2	1.46	1.46
1990	1.14	0.63	0.83	0.83	0.95	1.25	1.09	1.09
1991	1.03	1.28	0.96	0.96	1.7	1.08	1.05	1.05
1992	1.53	1.05	0.94	0.94	0.9	0.92	1.73	1.73
1993	0.99	1.56	1.12	0.77	0.54	0.73	0.95	0.95
1994	0.42	0.36	1.17	0.82	0.33	0.42	1.26	1.26
1995	1.11	0.84	0.98	1.01	0.97	0.48	1.19	1.19
1996	0.92	0.83	0.85	1.26	1.17	0.75	1.08	1.08
1997	0.97	1.08	0.87	0.81	0.9	1.28	0.65	0.65
1998	0.75	0.98	1.04	1.23	1.37	0.6	1.41	1.41
1999	1.03	1.29	1.1	1.22	1.28	0.57	1.17	1.17
2000	1.49	1.46	1.23	1	1.03	0.59	0.99	0.99
2001	0.98	1.14	0.79	0.79	0.87	0.44	1	1
2002	1.2	1.34	1.08	0.79	1.44	0.3	1.31	1.31
2003	1.33	1.33	1.24	1.55	1.32	1.32	1.31	1.31
2004	0.96	0.96	0.35	0.8	0.93	0.93	0.77	0.47
2005	0.94	0.94	0.48	1.18	0.96	0.96	0.95	1.14
2006	0.87	0.87	0.91	1.1	1.24	1.24	1.12	1.12
2007	0.74	0.74	0.9	0.85	0.92	0.92	1.02	1.33
2008	0.78	0.78	0.95	0.95	1.08	1.08	1.01	0.93
2009	0.85	0.85	1.08	1.26	0.91	0.91	1.12	0.87
2010	1.06	1.06	1.33	1.1	1.57	1.57	1.14	0.83
2011	1.05	1.05	1.37	1.03	1.72	1.72	1.96	1.06
2012	1.19	1.19	1	1.14	1.05	1.05	1.15	1.51
