# Ferrari - Bosch da Barga, Val Bregaglia - PCAB - ITRDB CHE471
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41283
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41283.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che471-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che471.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che471.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Ferrari - Bosch da Barga, Val Bregaglia - PCAB - ITRDB CHE471
#--------------------
# Investigators
#   Investigators: Ferrari, Michela; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: Elevation range: 1421 - 1625 m a.s.l.
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Ferrari M. 2024. Wachstum und Verbreitung der Weisstanne im Bergell. Master’s thesis. ETH Zurich, Zurich. doi:10.3929/ethz-b-000676922
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Bosch da Barga, Val Bregaglia
#   Location: Switzerland
#   Northernmost_Latitude: 46.372033212
#   Southernmost_Latitude: 46.372033212
#   Easternmost_Longitude: 9.653504857
#   Westernmost_Longitude: 9.653504857
#   Elevation_m: 1523
#--------------------
# Data_Collection
#   Collection_Name: CHE471
#   First_Year: 1806
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BA03FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA03FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA04FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA04FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA05FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA05FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA06FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA06FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA07FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA07FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA08FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA08FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA10FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA10FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA12FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA12FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA14FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA14FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA16FB_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA16FB; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BA17FA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BA17FA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BA03FA_raw	BA04FA_raw	BA05FA_raw	BA06FA_raw	BA07FA_raw	BA08FA_raw	BA10FA_raw	BA12FA_raw	BA14FA_raw	BA16FB_raw	BA17FA_raw
1806	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA
1807	NA	NA	NA	NA	NA	2.26	NA	NA	NA	NA	NA
1808	NA	NA	NA	NA	NA	2.34	NA	NA	NA	NA	NA
1809	NA	NA	NA	NA	NA	2.32	NA	NA	NA	NA	NA
1810	NA	NA	NA	NA	NA	1.96	NA	NA	NA	NA	NA
1811	NA	NA	NA	NA	NA	2.09	NA	NA	NA	NA	NA
1812	NA	NA	NA	NA	NA	1.9	NA	NA	NA	NA	NA
1813	NA	NA	NA	NA	NA	2.1	NA	NA	NA	NA	NA
1814	NA	NA	NA	NA	NA	1.15	NA	NA	NA	NA	NA
1815	NA	NA	NA	NA	NA	1.21	NA	NA	NA	NA	NA
1816	NA	NA	NA	NA	NA	1.62	NA	NA	NA	NA	NA
1817	NA	NA	NA	NA	NA	1.31	NA	NA	NA	NA	NA
1818	NA	NA	NA	NA	NA	1.16	NA	NA	NA	NA	NA
1819	NA	NA	NA	NA	NA	1.07	NA	NA	NA	NA	NA
1820	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA
1821	NA	NA	NA	NA	NA	0.76	NA	NA	NA	NA	NA
1822	NA	NA	NA	NA	NA	1.13	NA	NA	NA	NA	NA
1823	NA	NA	NA	NA	NA	1.24	NA	NA	NA	NA	NA
1824	NA	NA	NA	1.9	NA	1.21	NA	NA	NA	NA	NA
1825	NA	NA	NA	2.12	NA	1.45	NA	NA	NA	NA	NA
1826	NA	0.8	NA	1.66	NA	0.8	NA	NA	NA	NA	NA
1827	NA	0.47	NA	1.62	NA	0.99	NA	NA	NA	NA	NA
1828	NA	0.83	NA	2.07	NA	1.41	NA	NA	NA	NA	NA
1829	NA	0.93	NA	1.71	NA	1.54	NA	NA	NA	NA	NA
1830	NA	0.61	NA	1.45	NA	1.09	NA	NA	NA	NA	NA
1831	0.63	0.57	NA	1.59	NA	1.04	NA	NA	NA	NA	NA
1832	0.27	0.5	NA	1.23	NA	0.78	NA	NA	NA	NA	NA
1833	0.81	0.52	NA	1.55	NA	1.33	NA	NA	NA	NA	NA
1834	1.36	0.58	NA	1.47	NA	1.3	NA	NA	NA	NA	NA
1835	1.69	0.66	NA	1.26	NA	1.19	NA	NA	NA	NA	NA
1836	0.86	0.46	NA	1.04	NA	1.13	NA	NA	NA	NA	NA
1837	1.46	0.49	NA	1.1	NA	1	NA	NA	NA	NA	NA
1838	1.9	0.37	NA	1.27	NA	1	NA	NA	NA	NA	NA
1839	1.95	0.48	NA	0.9	NA	1.02	NA	NA	NA	NA	NA
1840	0.65	0.62	NA	1.03	0.89	1.19	NA	NA	NA	NA	NA
1841	1.04	0.63	NA	1.03	2.2	1.46	NA	NA	NA	NA	NA
1842	1.45	0.69	NA	1.08	1.41	1.45	NA	NA	NA	NA	NA
1843	1.58	0.71	NA	0.96	1.52	1.85	NA	NA	NA	NA	NA
1844	1.56	0.72	NA	0.95	1.56	1.69	NA	NA	NA	NA	NA
1845	1.53	0.65	NA	1.04	2.9	1.48	NA	NA	NA	NA	NA
1846	1.52	0.59	NA	1.03	1.9	1.35	NA	NA	NA	NA	NA
1847	1.52	0.7	NA	0.82	1.7	1.37	NA	NA	NA	NA	NA
1848	1.81	0.77	NA	0.85	1.95	1.5	NA	NA	NA	NA	NA
1849	1.36	0.61	NA	0.57	1.36	1.06	NA	NA	NA	NA	NA
1850	1.66	0.58	NA	0.74	1.85	1.2	NA	NA	NA	NA	NA
1851	1.8	0.59	NA	0.88	1.05	1.51	NA	NA	NA	NA	NA
1852	1.51	0.58	NA	0.83	2.31	1.71	NA	NA	NA	NA	NA
1853	2.1	0.66	NA	0.97	2.3	1.77	NA	NA	NA	NA	NA
1854	1.72	0.78	NA	0.94	2.55	1.72	NA	NA	NA	NA	NA
1855	1.64	0.69	NA	1.28	2.06	1.96	NA	NA	NA	NA	NA
1856	1.3	0.76	NA	1.23	1.75	2.08	NA	NA	NA	NA	NA
1857	1.3	0.69	NA	0.98	1.83	2.07	NA	NA	NA	NA	NA
1858	1.27	0.7	NA	0.8	1.94	1.96	NA	NA	NA	NA	NA
1859	1.58	0.74	NA	0.74	2.17	2.01	NA	NA	NA	NA	NA
1860	1.17	0.71	NA	0.66	1.54	1.77	NA	NA	NA	NA	NA
1861	1.59	1	NA	0.98	2.23	1.99	NA	NA	NA	NA	NA
1862	1.4	0.87	NA	0.77	1.97	1.8	NA	NA	NA	NA	NA
1863	1.42	0.81	NA	0.7	1.77	1.54	NA	NA	NA	NA	NA
1864	1.46	0.87	NA	0.57	1.91	1.32	NA	NA	NA	NA	NA
1865	1.4	0.89	NA	0.52	1.95	1.45	NA	NA	NA	NA	NA
1866	1.63	0.92	NA	0.57	2.05	1.44	NA	NA	NA	NA	NA
1867	1.5	0.94	NA	0.64	1.99	1.12	NA	NA	NA	NA	NA
1868	1.37	0.92	NA	0.6	1.58	0.93	NA	NA	NA	NA	NA
1869	1.35	1.07	NA	0.46	1.51	1.09	NA	NA	NA	NA	NA
1870	1.56	1.12	NA	0.47	1.28	1.17	NA	NA	NA	NA	NA
1871	1.69	1.2	NA	0.49	1.7	1.59	NA	NA	NA	NA	NA
1872	1.32	1.1	NA	0.5	0.94	1.42	NA	NA	NA	NA	NA
1873	1.46	1	NA	0.62	1.57	1.52	NA	NA	NA	NA	NA
1874	1.75	0.89	NA	0.52	1.61	1.43	NA	NA	NA	NA	NA
1875	1.68	0.94	NA	0.49	1.61	1.51	NA	NA	NA	NA	NA
1876	1.51	0.89	NA	0.48	1.59	1.58	NA	NA	NA	NA	NA
