# Scherrer - Sot Plan dal Piz, Engiadina Bassa - PCAB - ITRDB CHE479
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41291
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41291.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che479-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che479.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che479.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Scherrer - Sot Plan dal Piz, Engiadina Bassa - PCAB - ITRDB CHE479
#--------------------
# Investigators
#   Investigators: Scherrer, Judith; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Scherrer J. 2024. Das Potenzial der Weisstanne im Unterengadin. Master’s thesis. ETH Zurich, Zurich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Sot Plan dal Piz, Engiadina Bassa
#   Location: Switzerland
#   Northernmost_Latitude: 46.80535191
#   Southernmost_Latitude: 46.80535191
#   Easternmost_Longitude: 10.34429098
#   Westernmost_Longitude: 10.34429098
#   Elevation_m: 1150
#--------------------
# Data_Collection
#   Collection_Name: CHE479
#   First_Year: 1860
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PL01F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL01F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL02F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL02F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL03F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL03F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL04F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL04F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL05F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL05F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL07F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL07F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL08F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL08F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL09F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL09F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL11F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL11F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL12F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL12F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL13F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL13F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL14F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL14F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL15F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL15F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PL01F_01_raw	PL02F_01_raw	PL03F_01_raw	PL04F_01_raw	PL05F_01_raw	PL07F_01_raw	PL08F_01_raw	PL09F_01_raw	PL11F_01_raw	PL12F_01_raw	PL13F_01_raw	PL14F_01_raw	PL15F_01_raw
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84	NA
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29	NA
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7	NA
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.51	NA
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.27	NA
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23	NA
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.19	NA
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14	NA
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.94	NA
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	NA
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63	NA
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.53	NA
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55	NA
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.62	NA
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.53	NA
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49	NA
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46	NA
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	NA
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	NA
1884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	NA
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	NA
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.41	NA
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.85	NA
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.15	NA
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1	NA
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.49	NA
1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.21	NA
1892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.35	NA
1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.24	NA
1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.05	NA
1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.97	NA
1896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.57	NA
1897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.22	NA
1898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13	NA
1899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA
1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA
1901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA
1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA
1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	NA
1904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99	NA
1905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03	NA
1906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA
1907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA
1908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA
1909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA
1910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA
1911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA
1912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA
1913	0.87	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	0.65	NA
1914	0.87	NA	NA	NA	NA	NA	NA	NA	1.29	NA	NA	0.62	NA
1915	0.97	NA	NA	NA	NA	NA	NA	NA	1.13	NA	NA	0.6	NA
1916	0.96	NA	NA	NA	NA	NA	NA	NA	1.11	NA	NA	0.63	NA
1917	1.08	NA	NA	1.02	NA	NA	NA	1.19	0.87	NA	NA	0.49	NA
1918	1.1	NA	NA	1.27	NA	NA	NA	1.08	0.81	NA	NA	0.31	NA
1919	1.14	NA	NA	1.56	NA	NA	NA	1.33	0.82	NA	NA	0.43	1.74
1920	0.99	NA	NA	1.12	NA	NA	NA	1.01	0.74	NA	NA	0.49	1.64
1921	1.02	NA	NA	1.24	NA	NA	NA	1.35	0.75	NA	NA	0.42	1.76
1922	1.38	NA	NA	1.83	NA	NA	NA	1.19	0.9	NA	NA	0.55	1.97
1923	1.99	NA	NA	1.91	NA	NA	NA	1.04	0.95	NA	NA	0.52	1.4
1924	3.07	NA	NA	1.56	NA	NA	NA	1.09	0.95	NA	NA	0.57	1.45
1925	3.42	NA	NA	1.77	NA	NA	NA	0.94	0.96	NA	NA	0.5	1.29
1926	2.79	NA	NA	1.91	NA	NA	NA	1.15	1.33	NA	NA	0.61	1.1
1927	2.49	NA	NA	1.55	NA	NA	NA	1.1	1.44	NA	NA	0.55	0.86
