# Zumbrunn - Scharans Mitte - PCAB - ITRDB CHE511
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41765
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41765.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che511-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che511.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che511.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Scharans Mitte - PCAB - ITRDB CHE511
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Scharans Mitte
#   Location: Switzerland
#   Northernmost_Latitude: 46.7197074
#   Southernmost_Latitude: 46.7197074
#   Easternmost_Longitude: 9.471917
#   Westernmost_Longitude: 9.471917
#   Elevation_m: 1160
#--------------------
# Data_Collection
#   Collection_Name: CHE511
#   First_Year: 1838
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SMS01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS21A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS21A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS22A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS22A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS23A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS23A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS25A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS25A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS28A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS28A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SMS01A_raw	SMS02A_raw	SMS05A_raw	SMS10A_raw	SMS11A_raw	SMS13A_raw	SMS14A_raw	SMS15A_raw	SMS17A_raw	SMS20A_raw	SMS21A_raw	SMS22A_raw	SMS23A_raw	SMS25A_raw	SMS28A_raw
1838	NA	NA	1.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	NA	NA	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	NA	NA	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	NA	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	NA	NA	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1844	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1845	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1847	NA	NA	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1848	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1849	NA	NA	1.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1850	NA	NA	1.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1851	NA	NA	1.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1852	NA	NA	2.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1853	NA	NA	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1854	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1855	NA	NA	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1856	NA	NA	1.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1857	NA	NA	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1858	NA	NA	1.06	NA	NA	NA	NA	NA	NA	NA	NA	1.89	NA	NA	NA
1859	NA	NA	1.02	NA	NA	NA	NA	NA	NA	NA	NA	1.49	NA	NA	NA
1860	NA	NA	1.24	NA	NA	NA	NA	1.63	NA	NA	NA	1.89	NA	NA	NA
1861	NA	NA	1.29	NA	NA	NA	NA	1.34	NA	NA	NA	2.04	NA	NA	NA
1862	NA	NA	1.64	NA	NA	NA	NA	1.46	NA	NA	NA	2.42	NA	NA	NA
1863	NA	NA	1.97	NA	NA	NA	NA	1.98	NA	NA	NA	2.51	NA	NA	NA
1864	NA	NA	1.54	NA	NA	NA	NA	2.17	NA	NA	2.33	2.6	NA	NA	NA
1865	NA	NA	0.9	NA	NA	NA	NA	1.4	NA	NA	2.36	2.7	NA	NA	NA
1866	NA	NA	1.07	NA	NA	NA	NA	1.84	NA	NA	2.43	2.23	NA	NA	NA
1867	NA	NA	1.54	NA	NA	NA	3.36	2.53	NA	NA	2.55	3.06	NA	NA	NA
1868	NA	NA	2.05	NA	NA	NA	3.03	2.63	2.82	NA	2.27	2.98	NA	NA	NA
1869	NA	NA	2.4	NA	NA	NA	3.33	3.02	3.59	NA	2.61	3.15	NA	NA	NA
1870	NA	NA	0.82	NA	NA	NA	1.56	1.49	1.8	1.46	2.04	1.61	NA	NA	NA
1871	NA	NA	1.68	NA	NA	NA	2.03	2.17	3.27	1.88	2.45	2.56	NA	NA	NA
1872	NA	NA	2.37	NA	NA	NA	2.17	2.1	2.96	2.35	2.39	2.24	NA	NA	NA
1873	NA	NA	1.74	NA	NA	NA	1.7	1.56	2.35	1.72	2	2.32	NA	NA	NA
1874	NA	NA	2.05	NA	NA	NA	1.8	1.66	2.36	1.39	1.84	2.68	NA	NA	NA
1875	NA	NA	2.72	NA	NA	NA	2.73	1.93	2.78	2.36	2.33	2.95	NA	NA	1.39
1876	NA	NA	2.63	NA	NA	NA	2.55	2.04	2.12	2.29	2.48	2.62	NA	NA	1.23
1877	NA	NA	2.32	NA	NA	NA	2.94	2.05	1.59	2.76	2.39	2.12	NA	NA	1.15
1878	NA	NA	1.72	NA	NA	NA	3.39	2.4	1.22	2.73	1.98	2.27	NA	NA	1.12
1879	NA	NA	2.53	NA	NA	NA	3.02	2.44	2.4	2.97	2.07	2.1	NA	NA	1.03
1880	NA	NA	2.57	NA	NA	NA	3.08	2.34	2.82	3.06	2.33	2.29	NA	NA	1.09
1881	NA	NA	2.57	NA	NA	NA	2.34	1.67	2.57	2.3	1.71	2.25	1.69	NA	1.11
1882	NA	NA	2.15	NA	NA	NA	1.92	1.86	2.41	1.6	1.56	1.82	1.4	NA	1.1
1883	NA	NA	1.81	NA	NA	NA	2.55	1.73	2.43	2.04	1.96	2.06	1.92	2.37	1.5
1884	NA	NA	1.27	NA	NA	NA	2.23	1.37	1.96	1.56	1.86	1.92	1.89	2.05	1.18
1885	NA	NA	1.34	NA	NA	NA	1.18	0.8	1.48	0.77	1.17	1.09	0.73	1.14	0.42
1886	NA	NA	1.99	NA	NA	NA	1.72	1.5	1.63	0.73	1.03	1.18	1.19	1.98	0.58
1887	NA	NA	1.5	NA	NA	NA	1.22	1.37	1.36	1.02	1.42	1.46	1.05	1.37	0.55
1888	NA	NA	1.81	NA	NA	NA	1.76	1.79	1.97	1.46	1.32	2.26	1.49	2.42	0.92
1889	NA	NA	2.42	2.79	NA	NA	1.52	1.61	2.15	1.78	1.55	2.85	1.78	2.52	1.58
1890	NA	NA	1.65	2.97	NA	NA	1.59	1.7	0.8	2.1	1.83	3.03	1.76	2.67	1.72
1891	NA	NA	2.31	2.7	NA	NA	1.76	1.47	1.26	2	1.95	2.62	1.89	3.17	1.26
1892	NA	NA	3.72	2.86	NA	NA	1.73	1.68	2.03	2.26	1.76	2.64	1.95	3.54	0.81
1893	NA	NA	2.98	2.38	NA	NA	1	1.12	2.09	1.05	1.48	1.9	0.93	2.88	0.36
1894	NA	NA	3.74	1.96	NA	NA	1.36	1.39	2.45	0.79	1.19	1.77	1.03	2.63	0.5
1895	NA	NA	3.83	2.42	NA	NA	0.92	1.3	2.29	0.89	1.29	1.66	1.03	2.6	0.45
1896	NA	NA	2.85	2.33	NA	1.74	1.42	1.63	2.46	0.7	1.28	0.98	1.38	2.25	0.58
