# Esper - Ailijärvi Lake - PISY - ITRDB FIN110
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42219
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42219.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fin110x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fin110x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fin110x.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-23
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-23
#--------------------
# Title
#   Study_Name: Esper - Ailijärvi Lake - PISY - ITRDB FIN110
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: MXD data
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Ailijärvi Lake
#   Location: Finland
#   Northernmost_Latitude: 69.520444
#   Southernmost_Latitude: 69.520444
#   Easternmost_Longitude: 28.566939
#   Westernmost_Longitude: 28.566939
#   Elevation_m: 120
#--------------------
# Data_Collection
#   Collection_Name: FIN110
#   First_Year: 1845
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ELA0102a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0102a
## ELA0105a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0105a
## ELA0107a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0107a
## ELA0109b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0109b
## ELA0112b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0112b
## ELA0113b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0113b
## ELA0116a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0116a
## ELA0122b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0122b
## ELA0125b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0125b
## ELA0126a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0126a
## ELA0127a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0127a
## ELA0130b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0130b
## ELA0131b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0131b
## ELA0137a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0137a
## ELA0139a_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0139a
## ELA0171b_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0171b
## ELA0172z_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: ELA0172z
#---------------------
# Data:
# Missing_Values: NA
age_CE	ELA0102a_raw	ELA0105a_raw	ELA0107a_raw	ELA0109b_raw	ELA0112b_raw	ELA0113b_raw	ELA0116a_raw	ELA0122b_raw	ELA0125b_raw	ELA0126a_raw	ELA0127a_raw	ELA0130b_raw	ELA0131b_raw	ELA0137a_raw	ELA0139a_raw	ELA0171b_raw	ELA0172z_raw
1845	NA	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1847	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA	NA	NA
1848	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA
1849	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7	NA	NA	NA
1850	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA	NA
1851	NA	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA
1852	NA	NA	0.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA
1853	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.66	NA	NA	NA
1854	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA
1855	NA	NA	0.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA
1856	NA	NA	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55	NA	NA	NA
1857	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	NA
1858	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA
1859	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA
1860	NA	NA	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA
1861	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA
1862	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51	NA	NA	NA
1863	NA	NA	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6	NA	NA	NA
1864	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA
1865	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA
1866	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	NA
1867	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59	NA	NA	NA
1868	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA
1869	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA
1870	NA	NA	0.77	NA	0.73	NA	NA	NA	NA	NA	NA	NA	NA	0.72	NA	NA	NA
1871	NA	NA	0.68	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	0.66	NA	NA	NA
1872	NA	NA	0.73	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA	0.72	NA	NA	NA
1873	NA	NA	0.81	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA
1874	NA	NA	0.66	NA	0.58	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA
1875	NA	NA	0.71	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA
1876	NA	NA	0.77	NA	0.79	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA
1877	0.83	NA	0.58	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA	NA
1878	0.8	NA	0.61	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA
1879	0.94	NA	0.77	NA	0.84	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA
1880	0.86	NA	0.54	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA
1881	0.82	NA	0.67	NA	0.73	NA	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA
1882	0.98	NA	0.78	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA
1883	0.91	NA	0.75	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA
1884	0.96	NA	0.77	NA	0.7	NA	NA	NA	NA	NA	NA	NA	NA	0.83	NA	NA	NA
1885	0.91	NA	0.74	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA
1886	1.08	NA	0.9	NA	0.86	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA
1887	0.92	NA	0.74	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA
1888	0.79	NA	0.67	NA	0.71	NA	NA	NA	0.72	NA	NA	NA	NA	0.69	NA	NA	NA
1889	0.79	NA	0.63	NA	0.73	NA	NA	NA	0.7	NA	NA	NA	NA	0.62	NA	NA	NA
1890	1.02	NA	0.8	NA	0.88	NA	NA	NA	0.88	NA	NA	NA	0.69	0.79	NA	NA	NA
