"StudyID","XML_FileName","series","series_last_year","study_last_year","n_series","test","r_at_archive_dating","best_offset_yr","r_at_best_offset","verdict"
"FINL051","noaa-tree-3983.xml","OLB0066A",1873,1820,35,"ends long after the rest of the study",0.564,0,0.564,"crossdates where the archive puts it -- dating looks fine"
"WV024","noaa-tree-28240.xml","MCF015B",1871,1819,17,"ends long after the rest of the study",0.594,0,0.594,"crossdates where the archive puts it -- dating looks fine"
"BRIT045","noaa-tree-2868.xml","Q 9734",1240,1185,5,"ends long after the rest of the study",0.345,0,0.345,"crossdates where the archive puts it -- dating looks fine"
"WI013","noaa-tree-16825.xml","TC84_54",252,206,21,"ends long after the rest of the study",0.097,108,0.358,"crossdates better elsewhere -- worth investigating"
