"StudyID","XML_FileName","Lat","Long","Altitude","elev_coarse","elev_fine","dist_to_land_km","coord_decimals","coord_precision_km","GenusSpp","verdict"
"ISL004","noaa-tree-42139.xml",64.062144,21.871989,130,-90,-89,39.5057455084968,6,0.000111,"Pinus contorta","genuinely offshore"
"ISL011","noaa-tree-42141.xml",64.062144,21.871989,130,-90,-89,39.5057455084968,6,0.000111,"Picea sitchensis","genuinely offshore"
"SWED324","noaa-tree-6138.xml",62.33,18.48,250,-84,-82,37.7198362469371,2,1.11,"Pinus sylvestris","genuinely offshore"
"ISL007","noaa-tree-42140.xml",64.130178,21.879431,14,-100,-98,34.0446105509845,6,0.000111,"Picea sitchensis","genuinely offshore"
"ISL016","noaa-tree-42142.xml",64.130178,21.879431,14,-100,-98,34.0446105509845,6,0.000111,"Picea sitchensis","genuinely offshore"
"CANA323","noaa-tree-13755.xml",56,-60,-33,-35,0,32.0223072000875,0,111,"Picea glauca","on land at fine resolution -- z=5 artefact"
"NEWZ089","noaa-tree-8532.xml",-36.22,175.03,650,-25,-50,22.7220719533622,2,1.11,"Agathis australis","genuinely offshore"
"CANA209","noaa-tree-2920.xml",57.92,-61.6,100,-108,0,18.8419490113112,1,11.1,"Picea glauca","on land at fine resolution -- z=5 artefact"
"BRIT10","noaa-tree-4037.xml",51.42,-4.17,98,-36,-36,16.4075130106709,2,1.11,"Quercus robur","genuinely offshore"
"AK194","noaa-tree-36946.xml",57.012,-136.027,131,-131,-125,13.001358873116,3,0.111,"Chamaecyparis nootkatensis","genuinely offshore"
"AUSL004","noaa-tree-3832.xml",-32,115.65,329,-12,-4,8.04418723757923,0,111,"Callitris robusta","offshore by less than the coordinate precision -- probably fine"
"ARGE031","noaa-tree-2769.xml",-54.7,-64.67,20,-23,-21,7.73477303789223,1,11.1,"Nothofagus betuloides","offshore by less than the coordinate precision -- probably fine"
"MA026","noaa-tree-29074.xml",41.4684,-70.7651,1,-4,21,7.19772835895611,4,0.0111,"Chamaecyparis thyoides","on land at fine resolution -- z=5 artefact"
"CANA169","noaa-tree-4349.xml",55.33,-77.83,50,-52,0,5.38304559044383,2,1.11,"Picea mariana","on land at fine resolution -- z=5 artefact"
"ARGE049","noaa-tree-4272.xml",-53.2,-72.17,300,-5,0,5.34446461734923,1,11.1,"Nothofagus pumilio","on land at fine resolution -- z=5 artefact"
"ARGE026","noaa-tree-2770.xml",-54.83,-65.2,35,-9,-6,5.23621376838145,1,11.1,"Nothofagus betuloides","offshore by less than the coordinate precision -- probably fine"
"ME050","noaa-tree-33695.xml",44.39166,-68.137593,43,-28,41,5.11410828569709,5,0.00111,"Picea rubens","on land at fine resolution -- z=5 artefact"
"ME017","noaa-tree-2984.xml",44.42,-68.15,50,-38,0,4.9359504421093,2,1.11,"Picea rubens","on land at fine resolution -- z=5 artefact"
"ME018","noaa-tree-2985.xml",44.42,-68.15,50,-38,0,4.9359504421093,2,1.11,"Picea rubens","on land at fine resolution -- z=5 artefact"
"MS002","noaa-tree-4917.xml",30.58,-88.02,3,-3,-2,4.78609344429971,2,1.11,"Taxodium distichum","genuinely offshore"
"CAN729","noaa-tree-43335.xml",49.75,-124.17,19,-49,19,4.17557793336704,2,1.11,"Pinus engelmannii","on land at fine resolution -- z=5 artefact"
"ARGE059","noaa-tree-2784.xml",-54.52,-66.17,15,-6,-2,3.14905477400794,2,1.11,"Nothofagus pumilio","genuinely offshore"
"WA149","noaa-tree-26250.xml",48.588,-123.197,35,-108,58,2.02184313432138,3,0.111,"Pseudotsuga menziesii","on land at fine resolution -- z=5 artefact"
"WA160","noaa-tree-38208.xml",47.662,-122.436,1,-57,-4,2.0069923808946,3,0.111,"Pseudotsuga menziesii","genuinely offshore"
"MAR026","noaa-tree-39284.xml",35.9,-5.47,900,-165,152,0.88252579718761,1,11.1,"Pinus pinaster","on land at fine resolution -- z=5 artefact"
"ITAL030","noaa-tree-16750.xml",43.3,10.4833,1,-1,-3,0,1,11.1,"Pinus pinea","offshore by less than the coordinate precision -- probably fine"
"ITAL031","noaa-tree-16751.xml",43.3,10.4833,1,-1,-3,0,1,11.1,"Pinus pinea","offshore by less than the coordinate precision -- probably fine"
"ITAL032","noaa-tree-16752.xml",43.3,10.4833,1,-1,-3,0,1,11.1,"Pinus pinea","offshore by less than the coordinate precision -- probably fine"
"ITAL033","noaa-tree-16753.xml",43.3,10.4833,1,-1,-3,0,1,11.1,"Pinus pinea","offshore by less than the coordinate precision -- probably fine"
"BRIT086","noaa-tree-28323.xml",51.188824,-3.223097,58,-2,17,0,6,0.000111,"Quercus spp.","on land at fine resolution -- z=5 artefact"
"ITAL054","noaa-tree-31692.xml",43.944,10.1914,1,-2,13,0,3,0.111,"Pinus pinea","on land at fine resolution -- z=5 artefact"
"NETH019","noaa-tree-3622.xml",52.28,4.98,0,-1,-3,0,2,1.11,"Quercus spp.","offshore by less than the coordinate precision -- probably fine"
"NETH009","noaa-tree-3634.xml",51.83,4.33,0,-1,-1,0,2,1.11,"Quercus spp.","offshore by less than the coordinate precision -- probably fine"
