"file","series","year","severity","check","detail"
"africa/mar048.rwl","TOU36B",1870,"accepted practice","interior year gap","6 year(s) missing (1870-1875); read.tucson fills these with 0"
"asia/bt006.rwl","CAMPS12B",1701,"accepted practice","interior year gap","39 year(s) missing (1701-1739); read.tucson fills these with 0"
"asia/chin037.rwl","GKM3_12a",1736,"accepted practice","interior year gap","14 year(s) missing (1736-1749); read.tucson fills these with 0"
"asia/chin037.rwl","GKM3_13a",1879,"accepted practice","interior year gap","39 year(s) missing (1879-1917); read.tucson fills these with 0"
"asia/chin037.rwl","GKM3_12a",1730,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1730 but the ID continues; a 15-year gap separates the two blocks"
"asia/indi002.rwl","01032",1843,"accepted practice","interior year gap","12 year(s) missing (1843-1854); read.tucson fills these with 0"
"asia/indi002.rwl","01032",1840,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1840 but the ID continues; a 13-year gap separates the two blocks"
"asia/indi002e.rwl","G3031",1902,"accepted practice","interior year gap","25 year(s) missing (1902-1926); read.tucson fills these with 0"
"asia/indi002e.rwl","G3032",1825,"accepted practice","interior year gap","35 year(s) missing (1825-1859); read.tucson fills these with 0"
"asia/indi002e.rwl","G3036",1902,"accepted practice","interior year gap","11 year(s) missing (1902-1912); read.tucson fills these with 0"
"asia/indi002e.rwl","G3031",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 26-year gap separates the two blocks"
"asia/indi002e.rwl","G3032",1820,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1820 but the ID continues; a 36-year gap separates the two blocks"
"asia/indi002e.rwl","G3036",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 12-year gap separates the two blocks"
"asia/indi002l.rwl","01031",1902,"accepted practice","interior year gap","25 year(s) missing (1902-1926); read.tucson fills these with 0"
"asia/indi002l.rwl","01032",1825,"accepted practice","interior year gap","35 year(s) missing (1825-1859); read.tucson fills these with 0"
"asia/indi002l.rwl","01036",1902,"accepted practice","interior year gap","11 year(s) missing (1902-1912); read.tucson fills these with 0"
"asia/indi002l.rwl","01031",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 26-year gap separates the two blocks"
"asia/indi002l.rwl","01032",1820,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1820 but the ID continues; a 36-year gap separates the two blocks"
"asia/indi002l.rwl","01036",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 12-year gap separates the two blocks"
"asia/indi002n.rwl","G2031",1902,"accepted practice","interior year gap","25 year(s) missing (1902-1926); read.tucson fills these with 0"
"asia/indi002n.rwl","G2032",1825,"accepted practice","interior year gap","35 year(s) missing (1825-1859); read.tucson fills these with 0"
"asia/indi002n.rwl","G2036",1902,"accepted practice","interior year gap","11 year(s) missing (1902-1912); read.tucson fills these with 0"
"asia/indi002n.rwl","G2031",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 26-year gap separates the two blocks"
"asia/indi002n.rwl","G2032",1820,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1820 but the ID continues; a 36-year gap separates the two blocks"
