study,file,verdict,status_2024,pathology,detail,allequal_2024
az615,data_files/treering/measurements/northamerica/usa/az615.rwl,new wrong,fixed,alphabetic characters in measurements,core AZP0310A year 1992; core AZP0310B year 1957,
bol019,data_files/treering/measurements/southamerica/bol019.rwl,new wrong,fixed,malformed number,"core sot875, year 1866",
brit008,data_files/treering/measurements/europe/brit008.rwl,new wrong,fixed,space in core ID,,
cana015,data_files/treering/measurements/northamerica/canada/cana015.rwl,new wrong,fixed,multiple 999 end markers,,
cana136,data_files/treering/measurements/northamerica/canada/cana136.rwl,new wrong,fixed,"space in core ID followed by a digit, bunched against year",,
cana7rw,data_files/treering/measurements/northamerica/canada/cana7rw.rwl,new wrong,fixed,"4 header lines, 4th starts with #",,
che417,data_files/treering/measurements/europe/che417.rwl,new wrong,fixed,-999 used for a missing ring,,
che418,data_files/treering/measurements/europe/che418.rwl,new wrong,fixed,-999 used for a missing ring,,
che419,data_files/treering/measurements/europe/che419.rwl,new wrong,fixed,-999 used for a missing ring,,
che420,data_files/treering/measurements/europe/che420.rwl,new wrong,fixed,-999 used for a missing ring,,
che421,data_files/treering/measurements/europe/che421.rwl,new wrong,fixed,-999 used for a missing ring,,
che422,data_files/treering/measurements/europe/che422.rwl,new wrong,fixed,-999 used for a missing ring,,
che423,data_files/treering/measurements/europe/che423.rwl,new wrong,fixed,-999 used for a missing ring,,
deu317,data_files/treering/measurements/europe/deu317.rwl,new wrong,fixed,literal 999 measurement at end of line,"cores dmm0606m and dmm0625m, year 1799",
dza004,data_files/treering/measurements/africa/dza004.rwl,new wrong,fixed,more than 3 header lines,,
dza017,data_files/treering/measurements/africa/dza017.rwl,new wrong,fixed,6-digit ring width,,
fl010,data_files/treering/measurements/northamerica/usa/fl010.rwl,new wrong,fixed,"space in core ID, over-long core name",,
fl014,data_files/treering/measurements/northamerica/usa/fl014.rwl,new wrong,fixed,multiple header lines,,
fran10,data_files/treering/measurements/europe/fran10.rwl,new wrong,fixed,"headers mid-file, with comment lines",,
ita065,data_files/treering/measurements/europe/ita065.rwl,new wrong,fixed,CooRecorder comment lines not starting with #,,
kyrg014,data_files/treering/measurements/asia/kyrg014.rwl,new wrong,OPEN,"This core has two different precision flags, old version only read the 2nd flag, new version detects and throws an error",kok3a,FALSE
mex117,data_files/treering/measurements/northamerica/mexico/mex117.rwl,new wrong,OPEN,"very large numbers, all bunched",,
mexi077,data_files/treering/measurements/northamerica/mexico/mexi077.rwl,new wrong,fixed,-9999 shifted left and bunched,,
mong043b,data_files/treering/measurements/asia/mong043b.rwl,new wrong,fixed,space and hyphen in core ID,,
neth025,GONE (now .txt only),new wrong,fixed,non-standard end-of-line,,
or005,data_files/treering/measurements/northamerica/usa/or005.rwl,new wrong,OPEN,blank gaps used for missing values,new reader misses them,Different number of rows
russ301,data_files/treering/measurements/asia/russ301.rwl,new wrong,OPEN,Encoding error,Cyrillic character; new reader has no encoding argument,FALSE
swit384,data_files/treering/measurements/europe/swit384.rwl,new wrong,fixed,space in core ID,,
swit385,data_files/treering/measurements/europe/swit385.rwl,new wrong,fixed,space in core ID,,
turk033,data_files/treering/measurements/europe/turk033.rwl,new wrong,fixed,73-character lines,,
wa059,data_files/treering/measurements/northamerica/usa/wa059.rwl,new wrong,fixed,stray character at end of file,,
tha021,data_files/treering/measurements/asia/tha021.rwl,disputed,n/a,"Letter C becomes c in core ID, new version treated as two cores, old version changed to upper case","MV2-1C; 1938, 1939",Column 'core': 4 string mismatches
arge041,data_files/treering/measurements/southamerica/arge041.rwl,UNTRIAGED,n/a,,,Different number of rows
arge065,data_files/treering/measurements/southamerica/arge065.rwl,UNTRIAGED,n/a,,,Column 'rw': Mean relative difference: 0.005252791
az143,data_files/treering/measurements/northamerica/usa/az143.rwl,UNTRIAGED,n/a,,,Column 'rw': Mean relative difference: 0.002802951
co628,data_files/treering/measurements/northamerica/usa/co628.rwl,UNTRIAGED,n/a,,,Column 'rw': Mean relative difference: 7.830433e-05
turk029,data_files/treering/measurements/europe/turk029.rwl,UNTRIAGED,n/a,,,Different number of rows
ak015,data_files/treering/measurements/northamerica/usa/ak015.rwl,old wrong,n/a,"Text shifted right by one space, old version misread",EL46SE; 1850 - 1851,Column 'rw': Mean relative difference: 0.0007641251
ak159,data_files/treering/measurements/northamerica/usa/ak159.rwl,old wrong,n/a,"Text shifted right by one space, old version misread","F082bn04, F281_016",Column 'rw': Mean relative difference: 0.002597217
ak160,data_files/treering/measurements/northamerica/usa/ak160.rwl,old wrong,n/a,"Text shifted right by one space, old version misread",,Column 'rw': Mean relative difference: 0.01171247
arge042,data_files/treering/measurements/southamerica/arge042.rwl,old wrong,n/a,Some lines staggered all over the place,,
ausl043,data_files/treering/measurements/australia/ausl043.rwl,old wrong,n/a,"Text shifted right by one space, old version misread","SPR01C; 1693, 1694; new=1, 0.52 old=0.1, 0.052",Column 'rw': Mean relative difference: 0.0003804226
ausl045,data_files/treering/measurements/australia/ausl045.rwl,old wrong,n/a,Strange EOL caused old version to misread some data points,mrr08nw; 1840 - 1849,Column 'rw': Mean relative difference: 0.002014755
ausl049,data_files/treering/measurements/australia/ausl049.rwl,old wrong,n/a,"Text shifted right by one space, old version misread","DX081; 1800, 1801; new=37.28, 25 old=3.72, 825",Column 'rw': Mean relative difference: 0.02746529
ausl053,data_files/treering/measurements/australia/ausl053.rwl,old wrong,n/a,"Text shifted right by one space, old version misread",,FALSE
bra009,data_files/treering/measurements/southamerica/bra009.rwl,old wrong,n/a,"Texts stagged all over the place, but not bunched up, so new version read correctly while old version doesn't",,Different number of rows
bra010,data_files/treering/measurements/southamerica/bra010.rwl,old wrong,n/a,"Texts stagged all over the place, but not bunched up, so new version read correctly while old version doesn't",,Different number of rows
ca614,data_files/treering/measurements/northamerica/usa/ca614.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca615,data_files/treering/measurements/northamerica/usa/ca615.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca616,data_files/treering/measurements/northamerica/usa/ca616.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca618,data_files/treering/measurements/northamerica/usa/ca618.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca619,data_files/treering/measurements/northamerica/usa/ca619.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca620,data_files/treering/measurements/northamerica/usa/ca620.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca621,data_files/treering/measurements/northamerica/usa/ca621.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca623,data_files/treering/measurements/northamerica/usa/ca623.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca625,data_files/treering/measurements/northamerica/usa/ca625.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca626,data_files/treering/measurements/northamerica/usa/ca626.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca645,data_files/treering/measurements/northamerica/usa/ca645.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca646,data_files/treering/measurements/northamerica/usa/ca646.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca647,data_files/treering/measurements/northamerica/usa/ca647.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca648,data_files/treering/measurements/northamerica/usa/ca648.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca649,data_files/treering/measurements/northamerica/usa/ca649.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca650,data_files/treering/measurements/northamerica/usa/ca650.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca651,data_files/treering/measurements/northamerica/usa/ca651.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca652,data_files/treering/measurements/northamerica/usa/ca652.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca653,data_files/treering/measurements/northamerica/usa/ca653.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca654,data_files/treering/measurements/northamerica/usa/ca654.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca655,data_files/treering/measurements/northamerica/usa/ca655.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca656,data_files/treering/measurements/northamerica/usa/ca656.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
