XML_FileName,Altitude,altAltitude,geometry
noaa-tree-39999.xml,NA,336,"c(25.2, 69.3)"
noaa-tree-40000.xml,NA,336,"c(25.2, 69.3)"
noaa-tree-44081.xml,NA,46,"c(0.910953, 52.805981)"
noaa-tree-44099.xml,NA,85,"c(29.1, 69.2)"
noaa-tree-44100.xml,NA,85,"c(29.1, 69.2)"
noaa-tree-44499.xml,NA,336,"c(25.2, 69.3)"
noaa-tree-44500.xml,NA,336,"c(25.2, 69.3)"
noaa-tree-44692.xml,NA,1369,"c(42.3, 41.4)"
noaa-tree-44841.xml,NA,3139,"c(99.9, 38.433)"
noaa-tree-44842.xml,NA,3370,"c(99.683, 38.7)"
noaa-tree-44843.xml,NA,3299,"c(101.317, 37.967)"
noaa-tree-44844.xml,NA,3769,"c(98.65, 37.033)"
