"file","series","first","last","span","n","n_zero","med","min","max","out_z","out_val","out_year","n_series","med_span","n_short","frac_short","n_overlap","r","report","tier"
"europe/swe356.rwl","ESP0125b",2006,2013,8,8,0,0.76,0.52,1.47,1.80798348592266,1.47,2008,98,90,2,0.0204081632653061,8,-0.581019090795947,TRUE,"investigate"
"europe/finl086.rwl","ELK0310b",2005,2010,6,6,0,0.87,0.69,1.55,2.45422097593396,1.55,2010,88,60.5,4,0.0454545454545455,6,-0.569860445237872,TRUE,"investigate"
"europe/swe355.rwl","ESO0247b",2005,2013,9,9,0,0.59,0.23,0.81,12.8112629065604,0.23,2013,95,51,6,0.0631578947368421,9,-0.538032135549254,TRUE,"investigate"
"northamerica/usa/mt165.rwl","LY109B",2006,2012,7,7,0,2.62,0.65,5.38,3.21503810843742,0.65,2006,393,75,7,0.0178117048346056,7,-0.529635121094414,TRUE,"investigate"
"europe/finl083.rwl","ELI0235a",2004,2011,8,8,0,0.62,0.51,0.68,2.31071236224311,0.51,2006,170,93.5,2,0.0117647058823529,8,-0.503254060958599,TRUE,"investigate"
"northamerica/usa/mt165.rwl","LY109A",2006,2012,7,7,0,3.66,0.91,6.34,3.24256178446088,0.91,2006,393,75,7,0.0178117048346056,7,-0.423658859075697,TRUE,"investigate"
"europe/swe355.rwl","ESO0247a",2005,2013,9,9,0,0.36,0.22,0.74,2.2476863208273,0.74,2007,95,51,6,0.0631578947368421,9,-0.408562418150886,TRUE,"investigate"
"northamerica/usa/fl015l.rwl","ANFS020C",2012,2017,6,6,0,0.52,0.4,0.78,1.56203844861004,0.78,2017,58,83.5,1,0.0172413793103448,6,-0.394017236823898,TRUE,"investigate"
"asia/russ238n.rwl","11590291",1992,2000,9,9,0,0.67,0.6,0.78,3.38334745584786,0.78,1992,56,50.5,5,0.0892857142857143,9,-0.387223846047918,TRUE,"investigate"
"europe/swit285.rwl","GRA09094",1986,1993,8,8,0,1.69,1.23,2.02,2.82972988365834,1.23,1993,324,68,36,0.111111111111111,8,-0.372159430845168,TRUE,"investigate"
"europe/swit290.rwl","LAS02084",1987,1992,6,6,0,3.3,2.87,4.58,1.96140749051574,4.58,1987,303,53,24,0.0792079207920792,6,-0.36690669824632,TRUE,"investigate"
"europe/swit277.rwl","BRE89098",1988,1993,6,6,0,2.34,1.58,4.79,4.15689535968122,4.79,1990,294,55,45,0.153061224489796,6,-0.351490934252786,TRUE,"investigate"
"europe/swit285.rwl","GRA39084",1985,1992,8,8,0,1.375,1.18,2.1,2.10268961790647,2.1,1986,324,68,36,0.111111111111111,8,-0.345617766117348,TRUE,"investigate"
"northamerica/usa/mt165.rwl","LY113B",2004,2012,9,9,0,9.88,7.93,17.87,1.81802725712171,17.87,2012,393,75,7,0.0178117048346056,9,-0.311467368870607,TRUE,"investigate"
"europe/nor034.rwl","ENS0325A",2006,2013,8,8,0,0.545,0.41,0.91,2.24526434842242,0.91,2010,104,97.5,6,0.0576923076923077,8,-0.29568716260912,TRUE,"investigate"
"europe/swit277.rwl","BRE90000",1988,1993,6,6,0,2.755,2.72,2.78,1.19206988952354,2.72,1988,294,55,45,0.153061224489796,6,-0.295684582661058,TRUE,"investigate"
"europe/swe354.rwl","ESO0142a",2005,2013,9,9,0,0.64,0.54,0.94,5.40067393604643,0.94,2005,98,68,8,0.0816326530612245,9,-0.286940336401644,TRUE,"investigate"
"europe/swe354.rwl","ESO0135a",2005,2013,9,9,0,0.74,0.51,1.24,1.96790734715728,1.24,2010,98,68,8,0.0816326530612245,9,-0.259459215690727,TRUE,"investigate"
"europe/swe354.rwl","ESO0135b",2005,2013,9,9,0,0.73,0.47,0.89,1.81837541694436,0.47,2007,98,68,8,0.0816326530612245,9,-0.237891091177598,TRUE,"investigate"
"europe/swit285.rwl","GRA09098",1986,1993,8,8,0,1.49,1,1.86,3.3032891025641,1,1993,324,68,36,0.111111111111111,8,-0.234129617588583,TRUE,"investigate"
"europe/swit290.rwl","LAS02088",1987,1992,6,6,0,2.955,2.48,4.84,3.46457522855746,4.84,1987,303,53,24,0.0792079207920792,6,-0.20958144353558,TRUE,"investigate"
"europe/nor033.rwl","ENL0123A",2002,2011,10,10,0,1.22,0.37,1.51,4.10215848771302,0.37,2011,101,71,5,0.0495049504950495,10,-0.194465293018666,TRUE,"investigate"
"europe/nor033.rwl","ENL0123B",2002,2011,10,10,0,0.99,0.44,1.41,1.87100246498057,0.44,2011,101,71,5,0.0495049504950495,10,-0.16462903940865,TRUE,"investigate"
"northamerica/usa/mt170.rwl","POW45B",2007,2013,7,7,0,2.81,1.32,7.86,0.955102373384611,7.86,2012,408,72,13,0.0318627450980392,7,-0.15831874977631,TRUE,"investigate"
"northamerica/usa/ok043.rwl","blp31E",1877,1884,8,8,0,1.865,0.987,2.748,1.64276042619693,0.987,1882,171,64,2,0.0116959064327485,8,-0.154312602050697,TRUE,"investigate"
"europe/swit285.rwl","GRA35076",1987,1993,7,7,0,3.46,3.19,4.1,2.38665125608031,4.1,1991,324,68,36,0.111111111111111,7,-0.139704639626693,TRUE,"investigate"
"europe/swit290.rwl","LAS02086",1987,1992,6,6,0,3.02,2.69,4.51,2.97973187147067,4.51,1987,303,53,24,0.0792079207920792,6,-0.136870745675532,TRUE,"investigate"
"europe/swit277.rwl","BRE89092",1988,1993,6,6,0,2.32,1.25,4.62,1.65960716387543,4.62,1990,294,55,45,0.153061224489796,6,-0.135274595962237,TRUE,"investigate"
"europe/swit285.rwl","GRA09096",1986,1993,8,8,0,1.56,1.11,2.1,2.09567693671019,1.11,1993,324,68,36,0.111111111111111,8,-0.102716517525602,TRUE,"investigate"
"europe/swe354.rwl","ESO0142b",2005,2013,9,9,0,0.55,0.48,0.99,4.15964669077306,0.99,2005,98,68,8,0.0816326530612245,9,-0.0926178928902713,TRUE,"investigate"
"europe/finl079.rwl","ELA0225b",2002,2011,10,10,0,1.055,0.57,1.34,2.72601665682886,0.57,2009,80,200,2,0.025,10,-0.0620896841199483,TRUE,"investigate"
"northamerica/usa/mt170.rwl","POW57B",2006,2013,8,8,0,3.19,1.56,4.69,2.21673067092082,1.56,2008,408,72,13,0.0318627450980392,8,-0.0448795767287529,TRUE,"investigate"
"europe/swit285.rwl","GRA39082",1985,1992,8,8,0,1.695,0.85,2.26,2.84434517141321,0.85,1992,324,68,36,0.111111111111111,8,-0.0343222527453492,TRUE,"investigate"
"europe/swit285.rwl","GRA35074",1987,1993,7,7,0,3.54,3.26,4.13,2.09636333858466,4.13,1991,324,68,36,0.111111111111111,7,-0.0289136883801352,TRUE,"investigate"
"europe/nor035.rwl","ENS0411A",2007,2013,7,7,0,0.86,0.22,0.98,7.03977365416977,0.22,2013,101,153,10,0.099009900990099,7,-0.0247374194955092,TRUE,"investigate"
"europe/swit277.rwl","BRE89096",1988,1993,6,6,0,2.635,1.46,4.22,1.7004677364536,1.46,1993,294,55,45,0.153061224489796,6,-0.023789125855574,TRUE,"investigate"
"northamerica/usa/ok043.rwl","blp31F",1886,1893,8,8,0,2.091,1.359,3.301,1.51024595971925,3.301,1888,171,64,2,0.0116959064327485,8,-0.0182095365065574,TRUE,"investigate"
"northamerica/usa/nd013.rwl","P083B",2003,2010,8,8,0,4.605,3.04,10.23,2.04827991471092,10.23,2009,649,110,7,0.0107858243451464,8,-0.0119124922610835,TRUE,"investigate"
"europe/nor035.rwl","ENS0411B",2007,2013,7,7,0,0.78,0.24,1.01,3.07645487391364,0.24,2013,101,153,10,0.099009900990099,7,-0.00326867934524389,TRUE,"investigate"
"northamerica/usa/mt170.rwl","POW161",2005,2013,9,9,0,1.67,1.26,3.3,1.96436494959068,3.3,2008,408,72,13,0.0318627450980392,9,0.00528598811571609,TRUE,"investigate"
"europe/nor035.rwl","ENS0434A",2007,2013,7,7,0,0.93,0.61,1.46,2.41658362295152,1.46,2010,101,153,10,0.099009900990099,7,0.0103863095384186,TRUE,"investigate"
"europe/swit290.rwl","LAS01082",1987,1992,6,6,0,2.215,1.72,2.93,1.36307168513849,2.93,1989,303,53,24,0.0792079207920792,6,0.0326442438797414,TRUE,"investigate"
"europe/fin100.rwl","ELU0111B",2005,2013,9,9,0,0.49,0.26,1.25,2.36519727170598,1.25,2006,95,69,2,0.0210526315789474,9,0.0400270686444183,TRUE,"investigate"
"asia/japa017.rwl","YKA12c12",1809,1815,7,7,0,4.49,1.85,5.65,2.60244273586817,1.85,1809,99,126,2,0.0202020202020202,7,0.0406309876512536,TRUE,"investigate"
"europe/swit290.rwl","LAS02082",1987,1992,6,6,0,3.215,2.59,4.36,2.16524081045785,4.36,1987,303,53,24,0.0792079207920792,6,0.0452811485278282,TRUE,"investigate"
"europe/finl080.rwl","ELH0148a",2004,2011,8,8,0,0.55,0.36,0.93,1.89345989842607,0.93,2004,99,69,2,0.0202020202020202,8,0.0472951854073033,TRUE,"investigate"
"europe/swit285.rwl","GRA39088",1985,1992,8,8,0,1.62,0.81,2.24,2.45061092439581,0.81,1992,324,68,36,0.111111111111111,8,0.0575473006637025,TRUE,"investigate"
"northamerica/usa/mt170.rwl","POW57A",2006,2013,8,8,0,2.855,1.52,3.55,2.62619315660926,1.52,2012,408,72,13,0.0318627450980392,8,0.065167977213876,TRUE,"investigate"
"europe/nor034.rwl","ENS0325B",2006,2013,8,8,0,0.66,0.46,0.96,1.28213141419141,0.96,2011,104,97.5,6,0.0576923076923077,8,0.0719132195429684,TRUE,"investigate"
"europe/nor033.rwl","ENL0138A",2004,2011,8,8,0,1.25,0.44,2.11,1.69154638129366,0.44,2011,101,71,5,0.0495049504950495,8,0.0873718548787704,TRUE,"investigate"
"europe/nor034.rwl","ENS0324A",2004,2013,10,10,0,0.505,0.3,0.68,1.18515730596569,0.3,2012,104,97.5,6,0.0576923076923077,10,0.0913771642421338,TRUE,"investigate"
"europe/finl081.rwl","ELH0292b",2003,2011,9,9,0,0.35,0.25,0.61,1.63736429785987,0.61,2003,101,98,2,0.0198019801980198,9,0.0916721409207738,TRUE,"investigate"
"europe/finl083.rwl","ELI0235b",2004,2011,8,8,0,0.655,0.56,0.76,1.11883812879548,0.56,2007,170,93.5,2,0.0117647058823529,8,0.0951740478127533,TRUE,"investigate"
"europe/finl095.rwl","ELS0221a",2003,2011,9,9,0,0.75,0.47,1.07,1.98743291057548,0.47,2011,93,102,4,0.043010752688172,9,0.096597155694832,TRUE,"investigate"
"northamerica/usa/mt170.rwl","POW10B",2006,2013,8,8,0,1.83,0.54,4.13,1.78430551954247,0.54,2013,408,72,13,0.0318627450980392,8,0.099595994938107,TRUE,"investigate"
"europe/norw025.rwl","ENN0104A",2008,2013,6,6,0,2.195,1.62,3.22,1.04371840881447,3.22,2013,93,56,10,0.10752688172043,6,0.101684455942981,TRUE,"investigate"
"europe/fin100.rwl","ELU0111A",2005,2013,9,9,0,0.52,0.17,1.17,1.65563484521808,0.17,2011,95,69,2,0.0210526315789474,9,0.121965269742977,TRUE,"investigate"
"europe/nor033.rwl","ENL0124B",2001,2009,9,9,0,1.29,0.5,1.74,3.79471703251342,0.5,2001,101,71,5,0.0495049504950495,9,0.126699965257502,TRUE,"investigate"
"northamerica/usa/mt170.rwl","POW160",2005,2013,9,9,0,1.63,1.28,3.32,1.98503465912467,3.32,2009,408,72,13,0.0318627450980392,9,0.139098456486108,TRUE,"investigate"
"asia/tha023.rwl","ax087B",1969,1976,8,8,0,8.815,4.22,11.97,3.75674225900434,4.22,1976,138,48.5,1,0.0072463768115942,8,0.139303718689017,TRUE,"investigate"
"europe/swit285.rwl","GRA39086",1985,1992,8,8,0,1.715,0.91,2.11,4.00206905770429,0.91,1992,324,68,36,0.111111111111111,8,0.147068068506229,TRUE,"investigate"
"europe/che615.rwl","RCS0644a",2003,2011,9,9,0,1,0.39,1.89,3.33178607197398,0.39,2004,112,79.5,2,0.0178571428571429,9,0.147731213805705,TRUE,"investigate"
"europe/finl080.rwl","ELH0148b",2004,2011,8,8,0,0.625,0.32,0.84,2.63513256979356,0.32,2007,99,69,2,0.0202020202020202,8,0.15713569080604,TRUE,"investigate"
"europe/nor035.rwl","ENS0451B",2004,2013,10,10,0,0.495,0.25,0.66,2.91276468159912,0.25,2013,101,153,10,0.099009900990099,10,0.164537074043551,TRUE,"investigate"
"europe/swe355.rwl","ESO0204b",2006,2013,8,8,0,0.505,0.35,0.65,1.35722555346438,0.35,2013,95,51,6,0.0631578947368421,8,0.173271446199308,TRUE,"investigate"
"europe/swed331.rwl","119542a",2001,2006,6,6,0,1.04,0.88,1.56,1.77332064264181,1.56,2006,86,43,6,0.0697674418604651,6,0.181165233178408,TRUE,"investigate"
"europe/swe355.rwl","ESO0210b",2005,2013,9,9,0,0.54,0.31,0.92,1.13953000634518,0.31,2006,95,51,6,0.0631578947368421,9,0.183101193842938,TRUE,"investigate"
