# Tomazello-Filho - Poço Redondo - ASPY - ITRDB BRA018
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40448
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40448.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra018-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra018.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/bra018.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-01-14
#--------------------
# File_Last_Modified_Date
#   Date: 2025-01-14
#--------------------
# Title
#   Study_Name: Tomazello-Filho - Poço Redondo - ASPY - ITRDB BRA018
#--------------------
# Investigators
#   Investigators: Tomazello-Filho, Mario; DeSoto, Lucía
#--------------------
# Description_Notes_and_Keywords
#   Description: Tropical Tree Ring Network SiteID = ASPYR_BRA_03
#--------------------
# Publication
#   Authors: Pagotto, Mariana Alves; Lucía DeSoto; Ana Carvalho; Cristina Nabais; Mário Tomazello Filho; Adauto Ribeiro; Claudio Sergio Lisi
#   Published_Date_or_Year: 2017
#   Published_Title: Evaluation of X-ray densitometry to identify tree-ring boundaries of two deciduous species from semi-arid forests in Brazil
#   Journal_Name: Dendrochronologia
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.dendro.2017.01.007
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Pieter A. ZUIDEMA, Peter GROENENDIJK, Mizanur RAHMAN, Valerie TROUET,, Abrham ABIYU, Rodolfo ACUÑA-SOTO,, Eduardo ADENESKY-FILHO, Raquel ALFARO-SÁNCHEZ,, Claudio Roberto ANHOLETTO JUNIOR, José Roberto Vieira ARAGÃO, Gabriel ASSIS-PEREIRA,, Claudia C. ASTUDILLO-SÁNCHEZ, Ana Carolina BARBOSA, Giovanna BATTIPAGLIA, Hans BEECKMAN, Paulo Cesar BOTOSSO, Nils BOURLAND, Achim BRÄUNING, Roel BRIENEN, Matthew BROOKHOUSE, Supaporn BUAJAN, Brendan M. BUCKLEY, J. Julio CAMARERO, Artemio CARRILLO-PARRA, Gregório CECCANTINI, Librado R. CENTENO-ERGUERA, Julián CERANO-PAREDES, Wirong CHANTHORN, Ya-Jun CHEN, Bruno Barçante Ladvocat CINTRA,, Eladio Heriberto CORNEJO-OVIEDO, Otoniel CORTÉS-CORTÉS, Clayane Matos COSTA, Camille COURALET, Doris Bianca CRISPÍN-DE-LA-CRUZ,, Rosanne D'ARRIGO, Diego A. DAVID, Maaike DE RIDDER, Jorge Ignacio DEL VALLE, Mário DOBNER JR, Jean-Louis DOUCET, Oliver DÜNISCH, Brian J. ENQUIST,, Karin ESEMANN-QUADROS,, Gerardo ESQUIVEL-ARRIAGA, Ze-Xin FAN, Adeline FAYOLLE,, Tatiele Anete Bergamo FENILLI, M. Eugenia FERRERO,, Esther FICHTLER, Patrick M. FINNEGAN, Claudia FONTANA, Kainana S. FRANCISCO, Pei-Li FU, Franklin GALVÃO, Aster GEBREKIRSTOS, Jorge A. GIRALDO, Emanuel GLOOR, Milena GODOY-VEIGA, Daniela GRANATO-SOUZA, Anthony GUERRA, Kristof HANECA, Grant Logan HARLEY, Ingo HEINRICH,, Gerhard HELLE, Bruna HORNINK,, Wannes HUBAU, Janet G. INGA, Mahmuda ISLAM,, Yu-mei JIANG, Mark KAIB, Zakia Hassan KHAMISI, Marcin KOPROWSKI,, Eva LAYME, A. Joshua LEFFLER, Gauthier LIGOT, Claudio Sergio LISI, Neil J. LOADER, Francisco de Almeida LOBO, Giuliano Maselli LOCOSSELLI,, Tomaz LONGHI-SANTOS, Lidio LOPEZ, María I. LÓPEZ-HERNÁNDEZ, José Luís Penetra Cerveira LOUSADA, Rubén D. MANZANEDO,, Amanda K. MARCON, Justin T. MAXWELL, Omar N. MENDOZA-VILLA, Ítallo Romany Nunes MENEZES,, Mulugeta MOKRIA,, Valdinez Ribeiro MONTÓIA, Eddy MOORS,, Miyer MORENO, Miguel Angel MUÑIZ-CASTRO, Cristina NABAIS, Anuttara NATHALANG, Justine NGOMA, Francisco de Carvalho NOGUEIRA JR., Juliano Morales OLIVEIRA,, Gabriela Morais OLMEDO, Daigard Ricardo ORTEGA-RODRIGUEZ, Carmen Eugenia Rodríguez ORTÍZ, Mariana Alves PAGOTTO, Shankar PANTHI, Kathelyn PAREDES-VILLANUEVA,, Gonzalo PÉREZ-DE-LIS, Laura Patricia PONCE CALDERÓN, Leif Armando PORTAL-CAHUANA,, Darwin Alexander PUCHA-COFREP, Nathsuda PUMIJUMNONG, Paulo QUADRI, Jorge Andrés RAMÍREZ, Edilson Jimmy REQUENA-ROJAS, Judith REYES-FLORES, Adauto de Souza RIBEIRO, Iain ROBERTSON, Fidel Alejandro ROIG,, José Guilherme ROQUETTE, Ernesto Alonso RUBIO-CAMACHO, Raúl SÁNCHEZ-SALGUERO, Ute SASS-KLAASSEN,, Jochen SCHÖNGART, Marcelo Callegari SCIPIONI, Paul R. SHEPPARD, Lucas C.R. SILVA, Franziska SLOTTA, Leroy SORIA-DÍAZ, Luciana K.V.S. SOUSA, James H. SPEER, Matthew D. THERRELL, Ginette TICSE-OTAROLA,, Mario TOMAZELLO-FILHO, Max C.A. TORBENSON, Pantana TOR-NGERN,, Ramzi TOUCHAN, Jan VAN DEN BULCKE, Lorenzo VÁZQUEZ-SELEM, Adín H. VELÁZQUEZ-PÉREZ, Alejandro VENEGAS-GONZÁLEZ, Ricardo VILLALBA, Jose VILLANUEVA-DIAZ, Mart VLAM, George VOURLITIS, Christian WEHENKEL, Tommy WILS,, Erika S. ZAVALETA, Eshetu Asfaw ZEWDU, Yong-Jiang ZHANG, Zhe-Kun ZHOU, Flurin BABST. Pantropical tree rings show small effects of drought on growth. Science, in revision.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Poço Redondo
#   Location: Brazil
#   Northernmost_Latitude: -9.804722
#   Southernmost_Latitude: -9.804722
#   Easternmost_Longitude: -37.685
#   Westernmost_Longitude: -37.685
#   Elevation_m: 166.0
#--------------------
# Data_Collection
#   Collection_Name: BRA018
#   First_Year: 1967
#   Last_Year: 2012
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Aspidosperma pyrifolium Mart.
#   Common_Name: Aspidosperma pyrifolium
#   Tree_Species_Code: ASPY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AP01r1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP01r1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP03r1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP03r1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP04r1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP04r1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP05r1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP05r1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP05r2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP05r2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP06r1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP06r1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP06r2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP06r2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP07r1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP07r1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP08r1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP08r1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AP09r1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AP09r1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AP01r1_raw	AP03r1_raw	AP04r1_raw	AP05r1_raw	AP05r2_raw	AP06r1_raw	AP06r2_raw	AP07r1_raw	AP08r1_raw	AP09r1_raw
1967	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
1968	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1969	1.11	NA	NA	NA	NA	NA	NA	NA	NA	NA
1970	1.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
1971	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA
1972	4.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
1973	1.34	NA	NA	NA	NA	NA	NA	NA	NA	NA
1974	4.05	NA	NA	NA	NA	NA	NA	NA	NA	NA
1975	3.69	NA	NA	NA	NA	NA	NA	NA	NA	NA
1976	1.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
1977	4.85	NA	NA	NA	NA	NA	NA	NA	NA	NA
1978	2.96	NA	NA	NA	NA	NA	NA	NA	NA	NA
1979	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
1980	3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
1981	2.65	NA	NA	NA	NA	NA	NA	NA	NA	NA
1982	1.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
1983	2.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
1984	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA
1985	4.34	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986	3.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
1987	1.22	NA	NA	NA	NA	NA	NA	NA	NA	NA
1988	2.71	NA	NA	NA	NA	NA	NA	NA	NA	NA
1989	4.6	NA	NA	NA	NA	NA	NA	0.98	NA	NA
1990	2.12	NA	NA	NA	NA	NA	NA	0.94	0.86	NA
1991	1.88	1.18	NA	NA	NA	NA	NA	1.41	0.77	0.9
1992	2.33	1.3	1.93	NA	NA	NA	NA	1.13	1.6	1.06
1993	1.05	0.63	1.47	NA	NA	NA	NA	0.96	1	0.96
1994	2.43	2.23	1.9	NA	NA	NA	NA	1.69	1.65	1.3
1995	3.03	1.05	1.54	NA	NA	NA	NA	1.43	0.97	1.6
1996	1.54	1.27	0.83	NA	NA	NA	NA	0.89	1.31	1.66
1997	1.94	1.84	2.41	NA	NA	NA	NA	1.59	1.9	2.25
1998	0.94	0.62	2.27	NA	NA	NA	NA	1.14	1.09	0.84
1999	0.98	1.05	0.99	NA	NA	1.23	1.13	1.99	2.03	1.6
2000	1.7	1.64	1.58	NA	NA	0.8	0.73	2.71	2.46	1.76
2001	1.21	1.89	1.07	NA	NA	0.67	0.62	1.51	1.05	1.85
2002	0.77	2.78	1.97	1.41	1.71	1.2	1.15	1.99	1.43	2.34
2003	0.88	1.67	2.12	1.07	1.31	1.11	1.01	0.86	1.11	1.47
2004	3.9	2.97	2.02	2.18	2.2	1.97	1.86	1.72	2.05	1.58
2005	2.27	2.14	3.01	1.45	1.96	2.11	1.78	2.27	3.67	4.06
2006	1.43	1.49	1.57	1.04	1.07	1.17	1.07	0.91	1.73	1.61
2007	2.58	1.3	2.13	1.87	1.88	1.52	1.59	1.77	1.41	1.63
2008	2.38	1.07	2.05	1.34	1.33	1.31	1.21	1.33	1.6	1.41
2009	0.86	1.63	1.16	0.97	0.93	0.65	0.52	0.84	1	1.16
2010	1.45	1.75	1.97	1.13	1.1	1.36	1.12	1.51	1.34	2.5
2011	1.26	2.82	2.32	1.68	1.66	1.44	1.29	1.21	1.66	1.88
2012	1.76	1.64	1.65	1.53	1.55	0.54	1	1.39	0.77	1.33
