# Roquette - Fazenda Miranda - HYST - ITRDB BRA035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40465
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40465.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra035-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/bra035.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-01-14
#--------------------
# File_Last_Modified_Date
#   Date: 2025-01-14
#--------------------
# Title
#   Study_Name: Roquette - Fazenda Miranda - HYST - ITRDB BRA035
#--------------------
# Investigators
#   Investigators: Roquette, José Guilherme; Lobo, Franciso de Almeida; Ortíz, Carmen Eugenia Rodríguez; Vourlitis, George Louis; Tomazello-Filho, Mario; Roig, Fidel Alejandro
#--------------------
# Description_Notes_and_Keywords
#   Description: Tropical Tree Ring Network SiteID = HYSTI_BRA_01
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: unpublished 
#   Abstract:
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Pieter A. ZUIDEMA, Peter GROENENDIJK, Mizanur RAHMAN, Valerie TROUET,, Abrham ABIYU, Rodolfo ACUÑA-SOTO,, Eduardo ADENESKY-FILHO, Raquel ALFARO-SÁNCHEZ,, Claudio Roberto ANHOLETTO JUNIOR, José Roberto Vieira ARAGÃO, Gabriel ASSIS-PEREIRA,, Claudia C. ASTUDILLO-SÁNCHEZ, Ana Carolina BARBOSA, Giovanna BATTIPAGLIA, Hans BEECKMAN, Paulo Cesar BOTOSSO, Nils BOURLAND, Achim BRÄUNING, Roel BRIENEN, Matthew BROOKHOUSE, Supaporn BUAJAN, Brendan M. BUCKLEY, J. Julio CAMARERO, Artemio CARRILLO-PARRA, Gregório CECCANTINI, Librado R. CENTENO-ERGUERA, Julián CERANO-PAREDES, Wirong CHANTHORN, Ya-Jun CHEN, Bruno Barçante Ladvocat CINTRA,, Eladio Heriberto CORNEJO-OVIEDO, Otoniel CORTÉS-CORTÉS, Clayane Matos COSTA, Camille COURALET, Doris Bianca CRISPÍN-DE-LA-CRUZ,, Rosanne D'ARRIGO, Diego A. DAVID, Maaike DE RIDDER, Jorge Ignacio DEL VALLE, Mário DOBNER JR, Jean-Louis DOUCET, Oliver DÜNISCH, Brian J. ENQUIST,, Karin ESEMANN-QUADROS,, Gerardo ESQUIVEL-ARRIAGA, Ze-Xin FAN, Adeline FAYOLLE,, Tatiele Anete Bergamo FENILLI, M. Eugenia FERRERO,, Esther FICHTLER, Patrick M. FINNEGAN, Claudia FONTANA, Kainana S. FRANCISCO, Pei-Li FU, Franklin GALVÃO, Aster GEBREKIRSTOS, Jorge A. GIRALDO, Emanuel GLOOR, Milena GODOY-VEIGA, Daniela GRANATO-SOUZA, Anthony GUERRA, Kristof HANECA, Grant Logan HARLEY, Ingo HEINRICH,, Gerhard HELLE, Bruna HORNINK,, Wannes HUBAU, Janet G. INGA, Mahmuda ISLAM,, Yu-mei JIANG, Mark KAIB, Zakia Hassan KHAMISI, Marcin KOPROWSKI,, Eva LAYME, A. Joshua LEFFLER, Gauthier LIGOT, Claudio Sergio LISI, Neil J. LOADER, Francisco de Almeida LOBO, Giuliano Maselli LOCOSSELLI,, Tomaz LONGHI-SANTOS, Lidio LOPEZ, María I. LÓPEZ-HERNÁNDEZ, José Luís Penetra Cerveira LOUSADA, Rubén D. MANZANEDO,, Amanda K. MARCON, Justin T. MAXWELL, Omar N. MENDOZA-VILLA, Ítallo Romany Nunes MENEZES,, Mulugeta MOKRIA,, Valdinez Ribeiro MONTÓIA, Eddy MOORS,, Miyer MORENO, Miguel Angel MUÑIZ-CASTRO, Cristina NABAIS, Anuttara NATHALANG, Justine NGOMA, Francisco de Carvalho NOGUEIRA JR., Juliano Morales OLIVEIRA,, Gabriela Morais OLMEDO, Daigard Ricardo ORTEGA-RODRIGUEZ, Carmen Eugenia Rodríguez ORTÍZ, Mariana Alves PAGOTTO, Shankar PANTHI, Kathelyn PAREDES-VILLANUEVA,, Gonzalo PÉREZ-DE-LIS, Laura Patricia PONCE CALDERÓN, Leif Armando PORTAL-CAHUANA,, Darwin Alexander PUCHA-COFREP, Nathsuda PUMIJUMNONG, Paulo QUADRI, Jorge Andrés RAMÍREZ, Edilson Jimmy REQUENA-ROJAS, Judith REYES-FLORES, Adauto de Souza RIBEIRO, Iain ROBERTSON, Fidel Alejandro ROIG,, José Guilherme ROQUETTE, Ernesto Alonso RUBIO-CAMACHO, Raúl SÁNCHEZ-SALGUERO, Ute SASS-KLAASSEN,, Jochen SCHÖNGART, Marcelo Callegari SCIPIONI, Paul R. SHEPPARD, Lucas C.R. SILVA, Franziska SLOTTA, Leroy SORIA-DÍAZ, Luciana K.V.S. SOUSA, James H. SPEER, Matthew D. THERRELL, Ginette TICSE-OTAROLA,, Mario TOMAZELLO-FILHO, Max C.A. TORBENSON, Pantana TOR-NGERN,, Ramzi TOUCHAN, Jan VAN DEN BULCKE, Lorenzo VÁZQUEZ-SELEM, Adín H. VELÁZQUEZ-PÉREZ, Alejandro VENEGAS-GONZÁLEZ, Ricardo VILLALBA, Jose VILLANUEVA-DIAZ, Mart VLAM, George VOURLITIS, Christian WEHENKEL, Tommy WILS,, Erika S. ZAVALETA, Eshetu Asfaw ZEWDU, Yong-Jiang ZHANG, Zhe-Kun ZHOU, Flurin BABST. Pantropical tree rings show small effects of drought on growth. Science, in revision.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Fazenda Miranda
#   Location: Brazil
#   Northernmost_Latitude: -15.731234
#   Southernmost_Latitude: -15.731234
#   Easternmost_Longitude: -56.071767
#   Westernmost_Longitude: -56.071767
#   Elevation_m: 180.0
#--------------------
# Data_Collection
#   Collection_Name: BRA035
#   First_Year: 1985
#   Last_Year: 2020
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Hymenaea stigonocarpa Mart. ex Hayne
#   Common_Name: Hymenaea stigonocarpa
#   Tree_Species_Code: HYST
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FM02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM04c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM04c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM19_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM19; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM24c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM24c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM25b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM25b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM27d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM27d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM28_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM28; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM30d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM30d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM39b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM39b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM40c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM40c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM45d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM45d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM48c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM48c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM49d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM49d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FM57_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FM57; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FM02_raw	FM03b_raw	FM04c_raw	FM10b_raw	FM11_raw	FM14_raw	FM19_raw	FM24c_raw	FM25b_raw	FM27d_raw	FM28_raw	FM30d_raw	FM39b_raw	FM40c_raw	FM45d_raw	FM48c_raw	FM49d_raw	FM57_raw
1985	NA	NA	NA	NA	NA	NA	NA	NA	1.59	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986	NA	NA	NA	NA	NA	NA	NA	NA	1.89	NA	NA	NA	NA	NA	NA	NA	NA	NA
1987	NA	NA	NA	NA	NA	NA	NA	NA	2.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
1988	NA	NA	NA	NA	NA	NA	NA	NA	2.51	NA	NA	NA	NA	NA	NA	NA	NA	NA
1989	NA	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990	NA	NA	NA	NA	NA	NA	NA	NA	2.39	NA	NA	NA	2.49	NA	NA	NA	NA	NA
1991	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	1.13	NA	NA	1.56	NA	NA
1992	NA	NA	NA	NA	NA	NA	NA	NA	1.91	NA	1.23	NA	3.04	NA	NA	2.44	NA	NA
1993	NA	NA	NA	NA	NA	NA	NA	NA	1.91	NA	2.67	NA	2.54	NA	NA	3.5	NA	NA
1994	NA	NA	NA	NA	NA	NA	NA	NA	2.79	NA	3.07	NA	1.72	NA	NA	2.6	NA	NA
1995	NA	NA	NA	NA	NA	NA	NA	NA	3.02	2.53	2.5	NA	3.54	NA	NA	2.5	NA	NA
1996	NA	3.91	NA	NA	NA	NA	NA	NA	2.97	1.78	2.44	NA	3.05	NA	NA	3.88	NA	NA
1997	NA	3.18	NA	NA	NA	NA	NA	NA	2.8	2.22	2.03	NA	1.97	NA	NA	2.14	1.67	2.28
1998	3.75	5.34	9.04	NA	NA	NA	NA	NA	2.14	1.73	2.31	1.5	3.51	NA	NA	1.23	1.87	2.1
1999	3.61	3.3	4.31	NA	NA	NA	2.87	NA	1.72	1.13	2.01	2.38	2.25	NA	NA	1.48	1.6	2.84
2000	4.42	4.36	5.58	NA	NA	NA	3.27	4.01	2.96	1.63	1.72	2.62	1.82	NA	NA	0.93	2.2	1.95
2001	4.16	5.88	5.37	NA	NA	NA	5.44	3.52	1.7	0.99	1.51	1.81	3.28	NA	NA	1.92	2.4	2.56
2002	4.99	7.21	8.27	NA	NA	NA	4.19	4.41	4.33	2.3	4.98	4.77	2.39	NA	NA	2.2	3.19	3.83
2003	5.53	9.8	10.28	NA	NA	NA	4.9	3.38	3.7	2.97	4.63	5.93	2.77	NA	NA	1.13	2.3	5.36
2004	3.16	9.36	6.65	NA	NA	NA	4.76	4.35	2.31	2.42	6.2	3.76	5.36	NA	NA	1.72	3.6	3.94
2005	6.03	9.36	9.21	NA	1.8	NA	5.47	6.63	3.88	6.94	9.33	3.95	4.38	NA	2.73	2.38	3.93	3.88
2006	3.2	9.1	7.56	NA	3.22	NA	6.15	5.65	3.53	5.25	8.18	4.5	6.1	NA	2.16	3.79	4	3.79
2007	4.24	10.05	8.01	NA	2.66	4.34	8.05	5.37	3.1	5.97	7.44	4.13	7.29	5.92	2.18	4.17	3.1	5.13
2008	4.82	7.62	8.48	NA	2.25	2.99	8.01	6.48	2.52	4.25	5.54	3.23	4.49	5.78	4.05	3.15	3.53	2.83
2009	3.25	6.18	8.11	1.78	1.58	1.89	8.35	6.51	3.59	6.38	5.16	1.93	3.6	4.17	2.39	1.43	2.48	1.63
2010	2.76	6.88	7.31	2.67	2.21	2.72	9.22	5.59	5.05	4.3	5.09	3.55	5.84	1.97	4.54	1.65	2.69	1.42
2011	3.23	5.12	4.64	1.65	2.31	2.83	5.06	4.97	2.24	3.86	5.54	4.12	3.49	3.24	1.53	1.76	2.86	2.46
2012	2.46	5.83	7.43	1.95	1.7	3.18	4.12	2.37	2.25	2.26	4.16	2.68	2.26	3.34	7.1	1.32	4.07	2.01
2013	2.17	5.06	4.83	2.18	2.38	3.02	6.58	2.54	2.76	5.02	5.45	3.3	4.24	3.75	3.96	1.49	1.55	2.74
2014	3.26	4.95	4	3.11	2.66	2.48	5.95	4.84	2.75	3.57	4.77	3.26	5.97	4.3	10.01	1.06	4.81	2.23
2015	1.02	5.44	3.51	2.27	1.97	2.88	7.29	4.7	2.63	3.01	5.83	2.52	3.75	3.99	1.66	2.75	1.59	2.9
2016	1.09	3.64	2.22	0.85	1.74	1.61	3.99	1.75	1.64	1.72	2.32	1.5	1.36	1.76	3.08	0.7	0.63	0.83
2017	1.83	7.07	2.73	2.6	3.5	2.18	5.82	2.62	NA	1.16	4.94	1.35	1.84	1.46	5.66	1.77	2.36	2.02
2018	1.73	6.14	2.43	1.49	2.13	2.15	4.61	2.54	NA	1.9	4.3	1.71	1.93	4.01	6.89	1.78	0.53	1.36
2019	4.03	NA	NA	NA	3.66	3.34	NA	NA	NA	NA	4.63	NA	4.26	7.25	5.15	0.94	1.57	1.8
2020	0.63	NA	NA	NA	3.85	2.99	NA	NA	NA	NA	2.41	NA	NA	NA	NA	NA	NA	3.7
