# Dünisch - Aripuana - SWMC - ITRDB BRA028
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40458
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40458.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra028-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra028.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/bra028.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-01-14
#--------------------
# File_Last_Modified_Date
#   Date: 2025-01-14
#--------------------
# Title
#   Study_Name: Dünisch - Aripuana - SWMC - ITRDB BRA028
#--------------------
# Investigators
#   Investigators: Dünisch, Oliver; Montoia, Valdinez Ribeiro
#--------------------
# Description_Notes_and_Keywords
#   Description: Tropical Tree Ring Network SiteID = SWMAC_BRA_01
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI: 10.1007/s00468-002-0230-2
#   Full_Citation: Dünisch O., Ribeiro Montoia V., Bauch J. (2003): Dendroecological investigations on Swietenia macrophylla King and Cedrela odorata L. (Meliaceae) in the central Amazon. Trees 17: 244-250.
#   Abstract:
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Pieter A. ZUIDEMA, Peter GROENENDIJK, Mizanur RAHMAN, Valerie TROUET,, Abrham ABIYU, Rodolfo ACUÑA-SOTO,, Eduardo ADENESKY-FILHO, Raquel ALFARO-SÁNCHEZ,, Claudio Roberto ANHOLETTO JUNIOR, José Roberto Vieira ARAGÃO, Gabriel ASSIS-PEREIRA,, Claudia C. ASTUDILLO-SÁNCHEZ, Ana Carolina BARBOSA, Giovanna BATTIPAGLIA, Hans BEECKMAN, Paulo Cesar BOTOSSO, Nils BOURLAND, Achim BRÄUNING, Roel BRIENEN, Matthew BROOKHOUSE, Supaporn BUAJAN, Brendan M. BUCKLEY, J. Julio CAMARERO, Artemio CARRILLO-PARRA, Gregório CECCANTINI, Librado R. CENTENO-ERGUERA, Julián CERANO-PAREDES, Wirong CHANTHORN, Ya-Jun CHEN, Bruno Barçante Ladvocat CINTRA,, Eladio Heriberto CORNEJO-OVIEDO, Otoniel CORTÉS-CORTÉS, Clayane Matos COSTA, Camille COURALET, Doris Bianca CRISPÍN-DE-LA-CRUZ,, Rosanne D'ARRIGO, Diego A. DAVID, Maaike DE RIDDER, Jorge Ignacio DEL VALLE, Mário DOBNER JR, Jean-Louis DOUCET, Oliver DÜNISCH, Brian J. ENQUIST,, Karin ESEMANN-QUADROS,, Gerardo ESQUIVEL-ARRIAGA, Ze-Xin FAN, Adeline FAYOLLE,, Tatiele Anete Bergamo FENILLI, M. Eugenia FERRERO,, Esther FICHTLER, Patrick M. FINNEGAN, Claudia FONTANA, Kainana S. FRANCISCO, Pei-Li FU, Franklin GALVÃO, Aster GEBREKIRSTOS, Jorge A. GIRALDO, Emanuel GLOOR, Milena GODOY-VEIGA, Daniela GRANATO-SOUZA, Anthony GUERRA, Kristof HANECA, Grant Logan HARLEY, Ingo HEINRICH,, Gerhard HELLE, Bruna HORNINK,, Wannes HUBAU, Janet G. INGA, Mahmuda ISLAM,, Yu-mei JIANG, Mark KAIB, Zakia Hassan KHAMISI, Marcin KOPROWSKI,, Eva LAYME, A. Joshua LEFFLER, Gauthier LIGOT, Claudio Sergio LISI, Neil J. LOADER, Francisco de Almeida LOBO, Giuliano Maselli LOCOSSELLI,, Tomaz LONGHI-SANTOS, Lidio LOPEZ, María I. LÓPEZ-HERNÁNDEZ, José Luís Penetra Cerveira LOUSADA, Rubén D. MANZANEDO,, Amanda K. MARCON, Justin T. MAXWELL, Omar N. MENDOZA-VILLA, Ítallo Romany Nunes MENEZES,, Mulugeta MOKRIA,, Valdinez Ribeiro MONTÓIA, Eddy MOORS,, Miyer MORENO, Miguel Angel MUÑIZ-CASTRO, Cristina NABAIS, Anuttara NATHALANG, Justine NGOMA, Francisco de Carvalho NOGUEIRA JR., Juliano Morales OLIVEIRA,, Gabriela Morais OLMEDO, Daigard Ricardo ORTEGA-RODRIGUEZ, Carmen Eugenia Rodríguez ORTÍZ, Mariana Alves PAGOTTO, Shankar PANTHI, Kathelyn PAREDES-VILLANUEVA,, Gonzalo PÉREZ-DE-LIS, Laura Patricia PONCE CALDERÓN, Leif Armando PORTAL-CAHUANA,, Darwin Alexander PUCHA-COFREP, Nathsuda PUMIJUMNONG, Paulo QUADRI, Jorge Andrés RAMÍREZ, Edilson Jimmy REQUENA-ROJAS, Judith REYES-FLORES, Adauto de Souza RIBEIRO, Iain ROBERTSON, Fidel Alejandro ROIG,, José Guilherme ROQUETTE, Ernesto Alonso RUBIO-CAMACHO, Raúl SÁNCHEZ-SALGUERO, Ute SASS-KLAASSEN,, Jochen SCHÖNGART, Marcelo Callegari SCIPIONI, Paul R. SHEPPARD, Lucas C.R. SILVA, Franziska SLOTTA, Leroy SORIA-DÍAZ, Luciana K.V.S. SOUSA, James H. SPEER, Matthew D. THERRELL, Ginette TICSE-OTAROLA,, Mario TOMAZELLO-FILHO, Max C.A. TORBENSON, Pantana TOR-NGERN,, Ramzi TOUCHAN, Jan VAN DEN BULCKE, Lorenzo VÁZQUEZ-SELEM, Adín H. VELÁZQUEZ-PÉREZ, Alejandro VENEGAS-GONZÁLEZ, Ricardo VILLALBA, Jose VILLANUEVA-DIAZ, Mart VLAM, George VOURLITIS, Christian WEHENKEL, Tommy WILS,, Erika S. ZAVALETA, Eshetu Asfaw ZEWDU, Yong-Jiang ZHANG, Zhe-Kun ZHOU, Flurin BABST. Pantropical tree rings show small effects of drought on growth. Science, in revision.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Aripuana
#   Location: Brazil
#   Northernmost_Latitude: -10.15
#   Southernmost_Latitude: -10.15
#   Easternmost_Longitude: -59.433333
#   Westernmost_Longitude: -59.433333
#   Elevation_m: 281.0
#--------------------
# Data_Collection
#   Collection_Name: BRA028
#   First_Year: 1866
#   Last_Year: 2000
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Swietenia macrophylla King
#   Common_Name: Honduras mahogany
#   Tree_Species_Code: SWMC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## sm01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sm17_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sm17; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	sm01_raw	sm02_raw	sm03_raw	sm04_raw	sm05_raw	sm06_raw	sm07_raw	sm08_raw	sm09_raw	sm10_raw	sm11_raw	sm12_raw	sm13_raw	sm14_raw	sm15_raw	sm16_raw	sm17_raw
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8	NA	NA	NA	NA	NA	NA	NA
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA	NA	NA	NA	NA
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1	NA	NA	NA	NA	NA	NA	NA
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	NA	NA	NA	NA	NA	NA	NA
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	NA	NA	NA	NA	NA	NA
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	NA	NA	NA	NA	NA	NA	NA
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2	NA	NA	NA	NA	NA	NA	NA
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA
1880	NA	NA	NA	NA	4.5	NA	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA
1881	NA	NA	NA	NA	4	3	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA
1882	NA	NA	NA	NA	5	3.7	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
1883	NA	NA	4.1	NA	4	3.5	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
1884	NA	NA	3	NA	6.5	2	NA	NA	NA	4.5	NA	NA	NA	NA	NA	NA	NA
1885	NA	NA	2.4	NA	5.7	4.3	NA	NA	NA	1.7	NA	NA	NA	NA	NA	NA	NA
1886	4	NA	1.8	NA	8	5	3.5	NA	NA	4.1	NA	NA	NA	NA	NA	NA	NA
1887	3.7	NA	3.6	3	5.2	2.5	3.7	NA	NA	5.8	NA	NA	NA	NA	NA	NA	NA
1888	6.3	NA	4	2	4.7	4	2	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
1889	5.8	NA	4.6	4	2	3.2	3.2	NA	NA	2.9	NA	NA	NA	NA	NA	NA	NA
1890	5.3	NA	4	4.5	4.3	5	2.2	NA	NA	4.6	NA	NA	NA	NA	NA	NA	NA
1891	6.5	2.3	6.2	4	3	5.7	2.2	NA	NA	3.9	NA	NA	NA	NA	NA	NA	NA
1892	3.2	4.2	5.1	4.3	6	2.8	4.5	NA	NA	7	NA	NA	NA	NA	NA	NA	NA
1893	5.3	4.9	4.4	5.5	3.5	5.2	7.6	NA	NA	8	NA	NA	NA	NA	NA	NA	NA
1894	3.3	4.1	5.2	5.5	1.5	3	4	NA	NA	6.3	NA	NA	NA	NA	NA	NA	NA
1895	5	9.2	2.8	5.5	4	1	3	NA	NA	4.8	4.2	NA	NA	NA	NA	NA	NA
1896	4.5	5.5	4.8	6.2	4.5	4	6.2	NA	NA	2.8	4	NA	NA	NA	NA	NA	NA
1897	2	5.5	3	2.5	2.5	3.5	3.1	NA	NA	4.2	4	NA	NA	NA	NA	NA	NA
1898	2	6.5	1.5	5.5	2	2	4.5	NA	NA	2	4	NA	NA	NA	NA	NA	NA
1899	1	3	4	4	1.7	2.2	2.8	NA	NA	3.5	7	NA	NA	NA	NA	NA	NA
1900	1	5.3	3.3	5	4	3	5	NA	NA	3.8	6.7	NA	NA	NA	NA	NA	NA
1901	2	3	1.5	4	1	3.5	4	NA	NA	3.3	7.6	NA	NA	NA	NA	NA	NA
1902	1	1.6	0.8	1	1.8	1.3	1.9	NA	NA	5.2	5.8	NA	NA	NA	NA	NA	NA
1903	1.5	4.3	1.6	1	1.8	1.8	2	NA	NA	5.7	5.8	NA	NA	NA	NA	NA	NA
1904	2	3.7	2.5	1.5	2	2.5	2.8	NA	3	5.1	6.7	NA	NA	NA	NA	NA	NA
1905	1	2.5	3.2	1	1.3	2.3	1.8	NA	4	6	3.9	NA	NA	NA	NA	NA	NA
1906	1	1.5	1	3	1.8	1.9	1.7	NA	5	5.2	3.2	NA	NA	NA	NA	NA	NA
1907	1.5	2	1.5	1.5	1	1.7	1.5	NA	2.5	2.9	3.3	NA	NA	NA	NA	NA	NA
1908	1	1.5	2	1.5	1.5	5.7	3.1	NA	3	1	3.5	NA	NA	NA	NA	NA	NA
1909	1	2	1	2	5.3	5	2.5	NA	2	1	4	NA	NA	NA	NA	NA	NA
1910	4	1	1.3	1.5	2.7	1.5	2	NA	4	1	5	NA	NA	NA	NA	NA	NA
1911	2.3	3.8	1.5	3	2	1.9	1.8	NA	2	1.5	6	NA	NA	NA	NA	NA	NA
1912	2	1	1.5	1.3	2	3.6	5.5	NA	2.7	2	6.8	NA	NA	NA	NA	NA	NA
1913	1	0.5	4.7	4	3	2	3.7	NA	5	8	9	NA	NA	NA	NA	NA	NA
1914	1	1	4	3	2.6	3.2	1.5	NA	5.4	5.1	7.2	NA	NA	NA	NA	NA	NA
1915	1	0.8	3.2	1.7	2.2	4.1	2.5	NA	6	6	6.9	NA	NA	NA	NA	NA	NA
1916	3	1	2.6	1.4	1.3	3	2.4	NA	5.7	4.2	13.5	NA	NA	NA	NA	NA	NA
1917	3	4	3	3	2	5.2	3	NA	5.5	4.5	6	NA	NA	NA	NA	NA	NA
1918	1.5	2.5	2.7	2.8	4.8	2.4	2.7	NA	5.7	4.9	7	NA	NA	NA	NA	NA	NA
1919	2.1	1.8	2	2	4.5	3.5	2	NA	6	2.1	7.5	NA	NA	NA	NA	NA	NA
1920	3	1.5	3.5	2	1	3	2	NA	5	2.5	9	NA	NA	NA	NA	NA	NA
1921	4.5	2.4	5	2.5	2.5	3.5	4	NA	2.5	2.5	12.5	NA	NA	NA	NA	NA	NA
1922	1.9	3	2.5	3	3	2	3.9	NA	3	1.3	6.7	NA	NA	NA	NA	NA	NA
1923	1	2	1.8	4.9	3.7	2	2	4.8	3	3	3.9	NA	NA	NA	NA	NA	NA
1924	1	1.9	3.5	2	2.3	2.2	3.4	9	2	6	2	NA	NA	NA	NA	NA	NA
1925	3.5	2.4	3.2	2	3	3.2	3.7	7	5	4.9	2	NA	NA	NA	NA	NA	NA
1926	3.8	3.3	1.8	3.8	3	3.5	3	5.5	6.5	1.5	5	NA	NA	NA	NA	NA	NA
1927	1.3	5.8	2.6	4	4.7	1	5.1	6	6.2	4.4	5.3	NA	NA	NA	NA	NA	NA
1928	1.3	1.3	3	2.2	1.7	1.7	3.1	5.8	7	6	6.8	NA	NA	NA	NA	NA	NA
1929	1.8	1	4.1	6	1.5	3	1.3	6.6	6	6	4.1	NA	NA	NA	NA	NA	NA
1930	3	3.5	1.9	4.2	2.3	3.5	3.5	3	7.5	4.2	2.5	NA	NA	NA	NA	NA	NA
1931	1.3	3	2.1	1.8	3	4.2	1.9	2	9.3	3	3.5	NA	NA	NA	NA	NA	NA
1932	3	1.9	2.6	2.3	4.3	4	2	5	9	2.1	6.2	NA	NA	NA	NA	NA	NA
1933	1.5	1	3.8	2	3	4	2.7	4.5	7.5	3	4.8	NA	NA	NA	NA	NA	NA
1934	2	2	4	3	4	4.4	3.8	4	6	1.5	7.9	NA	NA	NA	NA	NA	NA
1935	1.7	3.5	3	4.7	4	3	2.8	1.8	7	1.9	10.2	NA	NA	NA	NA	NA	NA
1936	3.4	2	4	3.2	2.9	3.7	4.5	1.2	2	3.4	9.2	NA	NA	NA	NA	NA	NA
1937	3.9	2	4.5	3	3	2	5.3	2	4.1	2.6	5	NA	NA	NA	NA	NA	NA
1938	3	1	2.8	4	3.5	2.8	3	2	2.5	1.5	3.5	NA	NA	NA	NA	1.4	NA
1939	3.7	2	2	2.8	2.5	1.5	2.5	3.5	2	1	4.9	NA	NA	NA	NA	1.7	NA
1940	2.5	1.8	2.8	3	1.9	2	2.5	1.7	5	2.5	8	NA	NA	NA	NA	1	NA
1941	2.1	3	2.5	2.5	2	1.7	2	4	3	2.8	7.3	NA	NA	NA	NA	1	NA
1942	3.2	5	2.5	3.5	1.2	2	2.1	5.5	4.1	4.2	8	NA	NA	3.2	NA	2.3	NA
1943	1.7	2.5	1.8	2	1.2	2	2.3	3	3.5	3.5	7	NA	NA	1.4	NA	1.5	NA
1944	1.8	2.4	1.8	1.2	2.3	2	2	2.9	2	4	7.8	NA	NA	2.3	NA	2.1	NA
1945	2.2	2.6	1.5	1.4	2.9	2.1	1.5	4.5	2.4	7	2	NA	NA	0.9	8.1	2.9	NA
1946	1.9	2.3	2	1.2	2	2.1	2.1	4	2.5	6	4	NA	NA	2.2	2.4	3.7	3.3
1947	1.3	4.2	2	2	1.4	1.3	1	7	5.6	5	3	NA	NA	2.9	6.1	5.3	3.2
1948	0.9	2	1.5	1.5	2.9	3.1	2.3	7.5	2.1	4	3	NA	NA	4.5	6	6	3
1949	1.7	2	2.5	1.5	2.7	3.5	2.5	6.5	4.5	4	4.9	NA	NA	1.9	3	6.2	3
1950	1.8	1.8	2	2	2.9	1.7	1	4	5	2.8	4.5	6.7	NA	2.5	8	1.2	2.7
1951	1	1	2.8	1.2	1.4	2	2.7	3	3.2	5.5	5	8	NA	4	9.5	3.5	5.7
1952	1.7	2	4	1.1	1.5	1	2.2	4	3.3	6	3.5	4.7	NA	4.2	5.7	1	2.5
1953	0.8	1.7	2.5	2.7	1.5	2.5	2.2	2.5	4.7	6.5	3	5	7	1.2	4.1	1.8	4.9
1954	2.5	1.3	2.8	3	1.8	2	1.7	3	2.8	4	2.2	11.1	9.5	3.2	1.4	1.9	5.3
1955	1	1.4	1.5	2	1.8	2.8	1.7	3.5	5	5	2	5.6	11.5	2.9	3	2.4	4.5
1956	2	2.2	1	1.5	2.5	2.5	2	3.9	9	2	4.9	2	7.9	1.7	1.3	1	3.3
1957	0.9	1.8	1.5	1.5	2	1.5	1.9	5.5	7.1	4.7	1.8	8	3	7	3	2.2	2.1
1958	1.8	1.5	2.5	1	2.3	0.7	1.5	5.2	5	5	4.5	4.5	6.6	4.1	2	1.9	1.4
1959	2	3.9	2.1	1	1.4	1	3	4	4.2	9	5.7	1.8	3	1.8	2	1.9	2
1960	1	2	2.5	1.1	1.2	2	2	6	3.7	9.4	4.7	5	3.7	1.9	1.7	1.5	1.3
1961	0.5	2.2	1	3	1.6	1	2.1	5.3	1.5	6.8	2.5	3.4	2.3	5.5	1.4	1.8	1
1962	0.6	1.2	1	2.6	1.2	1.5	1.8	3	3.1	12.3	5.2	4	5.7	4.2	2.5	3	0.7
1963	0.8	2.8	1.5	3	2	1.3	0.9	2	3.2	5	3	2.6	3	1.6	1.2	1.7	2.1
1964	1	2	1.5	2	3	2	1	1.7	7.7	8	4.9	5.3	4	4.5	1.4	1.5	2
