# Aragão - Monumento Natural Grota do Angico - ASPY - ITRDB BRA016
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40446
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40446.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra016-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra016.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/bra016.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-01-14
#--------------------
# File_Last_Modified_Date
#   Date: 2025-01-14
#--------------------
# Title
#   Study_Name: Aragão - Monumento Natural Grota do Angico - ASPY - ITRDB BRA016
#--------------------
# Investigators
#   Investigators: Aragão, José Roberto Vieira; Lisi, Claudio Sergio
#--------------------
# Description_Notes_and_Keywords
#   Description: Tropical Tree Ring Network SiteID = ASPYR_BRA_01
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Pieter A. ZUIDEMA, Peter GROENENDIJK, Mizanur RAHMAN, Valerie TROUET,, Abrham ABIYU, Rodolfo ACUÑA-SOTO,, Eduardo ADENESKY-FILHO, Raquel ALFARO-SÁNCHEZ,, Claudio Roberto ANHOLETTO JUNIOR, José Roberto Vieira ARAGÃO, Gabriel ASSIS-PEREIRA,, Claudia C. ASTUDILLO-SÁNCHEZ, Ana Carolina BARBOSA, Giovanna BATTIPAGLIA, Hans BEECKMAN, Paulo Cesar BOTOSSO, Nils BOURLAND, Achim BRÄUNING, Roel BRIENEN, Matthew BROOKHOUSE, Supaporn BUAJAN, Brendan M. BUCKLEY, J. Julio CAMARERO, Artemio CARRILLO-PARRA, Gregório CECCANTINI, Librado R. CENTENO-ERGUERA, Julián CERANO-PAREDES, Wirong CHANTHORN, Ya-Jun CHEN, Bruno Barçante Ladvocat CINTRA,, Eladio Heriberto CORNEJO-OVIEDO, Otoniel CORTÉS-CORTÉS, Clayane Matos COSTA, Camille COURALET, Doris Bianca CRISPÍN-DE-LA-CRUZ,, Rosanne D'ARRIGO, Diego A. DAVID, Maaike DE RIDDER, Jorge Ignacio DEL VALLE, Mário DOBNER JR, Jean-Louis DOUCET, Oliver DÜNISCH, Brian J. ENQUIST,, Karin ESEMANN-QUADROS,, Gerardo ESQUIVEL-ARRIAGA, Ze-Xin FAN, Adeline FAYOLLE,, Tatiele Anete Bergamo FENILLI, M. Eugenia FERRERO,, Esther FICHTLER, Patrick M. FINNEGAN, Claudia FONTANA, Kainana S. FRANCISCO, Pei-Li FU, Franklin GALVÃO, Aster GEBREKIRSTOS, Jorge A. GIRALDO, Emanuel GLOOR, Milena GODOY-VEIGA, Daniela GRANATO-SOUZA, Anthony GUERRA, Kristof HANECA, Grant Logan HARLEY, Ingo HEINRICH,, Gerhard HELLE, Bruna HORNINK,, Wannes HUBAU, Janet G. INGA, Mahmuda ISLAM,, Yu-mei JIANG, Mark KAIB, Zakia Hassan KHAMISI, Marcin KOPROWSKI,, Eva LAYME, A. Joshua LEFFLER, Gauthier LIGOT, Claudio Sergio LISI, Neil J. LOADER, Francisco de Almeida LOBO, Giuliano Maselli LOCOSSELLI,, Tomaz LONGHI-SANTOS, Lidio LOPEZ, María I. LÓPEZ-HERNÁNDEZ, José Luís Penetra Cerveira LOUSADA, Rubén D. MANZANEDO,, Amanda K. MARCON, Justin T. MAXWELL, Omar N. MENDOZA-VILLA, Ítallo Romany Nunes MENEZES,, Mulugeta MOKRIA,, Valdinez Ribeiro MONTÓIA, Eddy MOORS,, Miyer MORENO, Miguel Angel MUÑIZ-CASTRO, Cristina NABAIS, Anuttara NATHALANG, Justine NGOMA, Francisco de Carvalho NOGUEIRA JR., Juliano Morales OLIVEIRA,, Gabriela Morais OLMEDO, Daigard Ricardo ORTEGA-RODRIGUEZ, Carmen Eugenia Rodríguez ORTÍZ, Mariana Alves PAGOTTO, Shankar PANTHI, Kathelyn PAREDES-VILLANUEVA,, Gonzalo PÉREZ-DE-LIS, Laura Patricia PONCE CALDERÓN, Leif Armando PORTAL-CAHUANA,, Darwin Alexander PUCHA-COFREP, Nathsuda PUMIJUMNONG, Paulo QUADRI, Jorge Andrés RAMÍREZ, Edilson Jimmy REQUENA-ROJAS, Judith REYES-FLORES, Adauto de Souza RIBEIRO, Iain ROBERTSON, Fidel Alejandro ROIG,, José Guilherme ROQUETTE, Ernesto Alonso RUBIO-CAMACHO, Raúl SÁNCHEZ-SALGUERO, Ute SASS-KLAASSEN,, Jochen SCHÖNGART, Marcelo Callegari SCIPIONI, Paul R. SHEPPARD, Lucas C.R. SILVA, Franziska SLOTTA, Leroy SORIA-DÍAZ, Luciana K.V.S. SOUSA, James H. SPEER, Matthew D. THERRELL, Ginette TICSE-OTAROLA,, Mario TOMAZELLO-FILHO, Max C.A. TORBENSON, Pantana TOR-NGERN,, Ramzi TOUCHAN, Jan VAN DEN BULCKE, Lorenzo VÁZQUEZ-SELEM, Adín H. VELÁZQUEZ-PÉREZ, Alejandro VENEGAS-GONZÁLEZ, Ricardo VILLALBA, Jose VILLANUEVA-DIAZ, Mart VLAM, George VOURLITIS, Christian WEHENKEL, Tommy WILS,, Erika S. ZAVALETA, Eshetu Asfaw ZEWDU, Yong-Jiang ZHANG, Zhe-Kun ZHOU, Flurin BABST. Pantropical tree rings show small effects of drought on growth. Science, in revision.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Monumento Natural Grota do Angico
#   Location: Brazil
#   Northernmost_Latitude: -9.659139
#   Southernmost_Latitude: -9.659139
#   Easternmost_Longitude: -37.680203
#   Westernmost_Longitude: -37.680203
#   Elevation_m: 128.0
#--------------------
# Data_Collection
#   Collection_Name: BRA016
#   First_Year: 1983
#   Last_Year: 2015
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Aspidosperma pyrifolium Mart.
#   Common_Name: Aspidosperma pyrifolium
#   Tree_Species_Code: ASPY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## APM05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM05b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM05b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM09b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM09b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM15a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM15a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM15b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM15b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM19a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM19a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM19b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM19b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM23a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM23a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM23b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM23b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM24a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM24a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APM24b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APM24b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	APM05a_raw	APM05b_raw	APM09a_raw	APM09b_raw	APM15a_raw	APM15b_raw	APM19a_raw	APM19b_raw	APM23a_raw	APM23b_raw	APM24a_raw	APM24b_raw
1983	NA	NA	NA	0.83	NA	NA	NA	NA	NA	NA	NA	NA
1984	NA	0.96	NA	1.04	NA	NA	NA	NA	NA	NA	NA	NA
1985	NA	1.6	NA	2.43	NA	NA	NA	NA	NA	NA	NA	NA
1986	NA	1.58	NA	1.79	NA	NA	NA	1.4	NA	NA	NA	NA
1987	NA	0.69	NA	0.98	NA	NA	NA	0.5	NA	NA	NA	NA
1988	NA	1.66	1.98	2.1	NA	NA	NA	2.37	NA	NA	NA	NA
1989	NA	1.37	1.77	1.44	NA	NA	2.15	2.27	NA	NA	1.98	1.6
1990	NA	1.2	0.81	0.6	1.11	0.35	1.12	0.91	NA	0.66	0.78	0.72
1991	NA	1.38	1.87	1.17	1.62	1.58	1.25	1.97	NA	1.16	1.05	1.73
1992	2.07	2.5	2.91	2.76	1.81	2.53	1.39	3.11	2.06	2.66	1.43	2.74
1993	0.96	0.83	1.09	0.67	0.46	0.78	0.57	1.39	1.49	1.24	0.53	1.41
1994	2.9	2.27	2.82	3.56	2.32	2.15	2.45	2.45	3.16	3.18	2.48	2.24
1995	2.11	1.81	1.62	1	1.22	0.83	1.39	1.36	1.03	0.96	1.25	1.6
1996	2.26	1.91	1.79	0.94	1.28	1.26	1.77	1.99	1.33	1.11	1.54	1.72
1997	2.79	2.72	2.58	2.73	2.45	2.9	2.98	2.52	1.97	2.77	1.65	3.04
1998	0.53	1.16	0.72	0.67	0.61	0.49	1.3	1.43	1.07	0.98	0.59	0.9
1999	1.2	1.4	1.09	1.27	1.03	1.63	1.96	1.74	2.43	2.35	1.43	1.6
2000	1.76	1.5	1.7	3.39	2.19	1.73	2.19	2.45	2.89	2.37	1.54	2.18
2001	0.85	0.96	1.26	0.95	1.49	0.66	0.68	1.36	1.86	1.58	1.07	0.4
2002	1.78	2.85	2	2.06	2.07	1.49	2.36	2.54	2.38	2.47	2.44	2.28
2003	1.61	1.22	0.83	1.12	1.11	1.31	1.94	1.3	0.89	1.68	1.71	1.19
2004	2.26	3.63	2.77	4.25	3.51	2.37	3.16	2.96	3.03	3.8	2.65	2.88
2005	2.81	3.77	3.23	4.32	3.54	2.81	3.21	3.11	3.89	3.83	2.88	2.99
2006	2.14	2.85	1.68	2.1	1.26	1.65	2.01	1.81	1.79	1.79	1.54	1.54
2007	1.98	2.38	1.43	1.62	1.11	1.54	1.45	1.54	1.49	1.32	1.43	1.38
2008	1.01	1	1.13	1.58	1.01	1.31	1.28	1.49	1.07	0.68	1.38	1.24
2009	0.75	0.83	0.68	1.11	0.96	1.04	0.9	1.34	0.49	NA	1.36	1.19
2010	1.86	2.22	2.64	NA	3.01	2.09	2.82	2.43	2.13	NA	1.97	3.67
2011	1.26	1.52	2.02	NA	2.59	2.01	2.49	2.36	1.7	NA	1.89	2.16
2012	NA	NA	0.87	NA	1.12	0.7	0.96	0.62	0.49	NA	0.92	0.88
2013	NA	NA	NA	NA	1.82	1.67	2.48	1.79	NA	NA	2.82	2.32
2014	NA	NA	NA	NA	2.26	2.17	2.85	1.85	NA	NA	2.96	2.62
2015	NA	NA	NA	NA	0.62	0.98	1.07	1.11	NA	NA	0.94	1.07
