# González-Méndez - Cielo Rojo - SWMC - ITRDB GTM003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40390
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40390.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/centralamerica/gtm003-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/centralamerica/gtm003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/gtm003.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2024-12-19
#--------------------
# File_Last_Modified_Date
#   Date: 2024-12-19
#--------------------
# Title
#   Study_Name: González-Méndez - Cielo Rojo - SWMC - ITRDB GTM003
#--------------------
# Investigators
#   Investigators: González-Méndez, I.; Anchukaitis, K.; Pearson, C.; Frank, D.; Pons, D.; Edwards, J.; Luna, E.; Perez, W.
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: González-Méndez et al, accepted for publication in Paleoceanography and Paleoclimatology. DOI will be provided upon publication. 
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: University of Arizona Social & Behavioral Sciences Research Institute
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Cielo Rojo
#   Location: Guatemala
#   Northernmost_Latitude: 17.738084
#   Southernmost_Latitude: 17.738084
#   Easternmost_Longitude: -89.280094
#   Westernmost_Longitude: -89.280094
#   Elevation_m: 156
#--------------------
# Data_Collection
#   Collection_Name: GTM003
#   First_Year: 1857
#   Last_Year: 2022
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Swietenia macrophylla King
#   Common_Name: Honduras mahogany
#   Tree_Species_Code: SWMC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## clr06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr09b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr09b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr20a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr20a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr16b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr16b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr19c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr19c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr15a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr15a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr17b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr17b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr17a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr17a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr18b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr18b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr16a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr16a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr19b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr19b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr06c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr06c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## clr02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: clr02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	clr06a_raw	clr09b_raw	clr09a_raw	clr20a_raw	clr16b_raw	clr19c_raw	clr15a_raw	clr10a_raw	clr17b_raw	clr17a_raw	clr02b_raw	clr18b_raw	clr16a_raw	clr19b_raw	clr04b_raw	clr06b_raw	clr06c_raw	clr02a_raw
1857	NA	NA	NA	4.743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1858	NA	NA	NA	0.796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1859	NA	NA	NA	1.179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1860	NA	NA	NA	3.281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1861	NA	NA	NA	0.753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1862	NA	NA	NA	10.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1863	NA	NA	NA	1.346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1864	NA	NA	NA	7.982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1865	NA	NA	NA	0.665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1866	NA	NA	NA	2.838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1867	NA	NA	NA	1.042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1868	NA	NA	NA	6.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1869	NA	NA	NA	1.572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1870	NA	NA	NA	2.152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1871	NA	NA	NA	6.049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1872	NA	NA	NA	0.431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1873	NA	NA	NA	0.643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1874	NA	NA	NA	1.806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1875	NA	NA	NA	0.609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1876	NA	NA	NA	3.374	NA	NA	NA	NA	NA	NA	NA	NA	1.431	NA	NA	NA	NA	NA
1877	NA	NA	NA	5.432	NA	NA	NA	NA	NA	NA	NA	NA	1.756	NA	NA	NA	NA	NA
1878	NA	NA	NA	3.982	NA	NA	NA	NA	NA	NA	NA	NA	1.755	NA	NA	NA	NA	NA
1879	NA	NA	NA	6.236	NA	NA	NA	NA	NA	NA	NA	NA	0.431	NA	NA	NA	NA	NA
1880	NA	NA	NA	3.402	NA	NA	NA	NA	NA	NA	NA	NA	2.081	NA	NA	NA	NA	NA
1881	NA	NA	NA	5.587	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
1882	NA	NA	NA	0.738	NA	NA	NA	NA	NA	NA	NA	NA	1.65	NA	NA	NA	NA	NA
1883	NA	NA	NA	0.686	NA	NA	NA	NA	NA	NA	NA	NA	0.375	NA	NA	NA	NA	NA
1884	NA	NA	NA	3.919	NA	NA	NA	NA	NA	NA	NA	NA	2.746	NA	NA	NA	NA	NA
1885	NA	NA	NA	1.027	NA	NA	NA	NA	NA	NA	NA	NA	0.877	NA	NA	NA	NA	NA
1886	NA	NA	NA	3.83	NA	0.899	NA	NA	NA	NA	NA	NA	1.89	NA	NA	NA	NA	NA
1887	NA	NA	NA	1.729	NA	0.986	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA	NA
1888	NA	NA	NA	1.207	NA	0.68	NA	NA	NA	NA	NA	NA	1.335	NA	NA	NA	NA	NA
1889	NA	NA	NA	1.119	NA	0.655	NA	NA	NA	NA	NA	NA	1.498	NA	NA	NA	NA	NA
1890	NA	NA	NA	0	NA	0.883	NA	NA	NA	NA	NA	NA	0.552	NA	NA	NA	NA	NA
1891	NA	NA	NA	2.285	NA	0.412	NA	NA	NA	NA	NA	NA	0.812	NA	NA	NA	NA	NA
1892	NA	NA	NA	1.939	NA	0.548	NA	NA	NA	NA	NA	NA	1.435	NA	NA	NA	NA	NA
1893	NA	NA	NA	3.78	NA	0.856	NA	NA	NA	NA	NA	2.416	1.462	NA	NA	NA	NA	NA
1894	NA	NA	NA	1.518	NA	0.793	NA	NA	NA	NA	NA	3.421	1.338	NA	NA	NA	NA	NA
1895	NA	NA	NA	0.718	NA	0.487	NA	NA	NA	NA	NA	0.735	0.44	NA	NA	NA	NA	NA
1896	NA	NA	NA	0.631	NA	0.347	NA	NA	NA	NA	NA	0.677	0.248	NA	NA	NA	NA	NA
1897	NA	NA	NA	1.985	NA	0.754	NA	NA	NA	NA	NA	1.761	0.772	NA	NA	NA	NA	NA
1898	NA	NA	NA	1.043	NA	0.299	NA	NA	NA	NA	NA	0.565	1.161	1.978	NA	NA	NA	NA
1899	NA	NA	NA	0.68	NA	0.253	NA	NA	NA	NA	NA	0.79	0.806	1.046	NA	NA	NA	NA
1900	NA	NA	NA	0.451	NA	0.377	NA	NA	NA	NA	NA	0.536	0.477	1.795	NA	NA	NA	NA
1901	NA	NA	NA	0.476	NA	0.582	NA	NA	NA	NA	NA	0.801	0	1.03	NA	NA	NA	NA
1902	NA	NA	NA	0.696	NA	2.314	NA	NA	NA	NA	NA	1.013	3.202	2.1	NA	NA	NA	NA
1903	NA	NA	NA	2.898	NA	2.375	NA	NA	NA	NA	NA	1.259	1.751	1.72	NA	NA	NA	NA
1904	NA	NA	NA	2.018	NA	1.801	NA	NA	NA	NA	NA	3.286	2.333	2.088	NA	NA	NA	NA
1905	NA	NA	NA	1.115	NA	1.594	NA	NA	NA	NA	NA	1.093	1.43	1.436	NA	NA	NA	NA
1906	NA	NA	NA	1.197	NA	2.9	NA	NA	NA	NA	NA	2.113	0.954	2.243	NA	NA	NA	NA
1907	NA	NA	NA	1.839	NA	2.023	NA	NA	NA	NA	NA	3.519	1.232	0	NA	NA	NA	NA
1908	NA	NA	NA	1.619	NA	2.505	NA	NA	NA	NA	NA	2.847	3.36	3.597	NA	NA	NA	NA
1909	NA	NA	NA	2.651	NA	3.589	NA	NA	NA	NA	NA	2.439	1.677	0.881	NA	NA	NA	NA
1910	NA	NA	NA	1.65	NA	2.033	NA	NA	NA	NA	NA	2.957	1.034	1.876	NA	NA	NA	NA
1911	NA	NA	NA	2.161	NA	0.798	NA	NA	NA	NA	NA	1.84	0.787	1.631	NA	NA	NA	NA
1912	NA	NA	NA	0.624	NA	1.767	NA	NA	NA	NA	NA	3.007	2.379	3.457	NA	NA	NA	NA
1913	NA	NA	NA	0.761	NA	2.6	NA	NA	NA	NA	NA	4.094	0.617	1.176	NA	NA	NA	NA
